# REFUSED ('double', 64, 32, 512): relsd 0.1530 > 0.10
# REFUSED ('double', 64, 64, 128): relsd 0.2138 > 0.10
# REFUSED ('double', 64, 64, 512): relsd 0.1078 > 0.10
# REFUSED ('double', 128, 32, 128): relsd 0.2104 > 0.10
# REFUSED ('double', 512, 16, 32): relsd 0.2658 > 0.10
# REFUSED ('cfloat', 256, 32, 128): relsd 0.4179 > 0.10
# REFUSED ('cfloat', 256, 32, 256): relsd 0.1064 > 0.10
# REFUSED ('cdouble', 64, 16, 256): relsd 0.2576 > 0.10
# REFUSED ('cdouble', 64, 128, 512): relsd 0.1579 > 0.10
# REFUSED ('cdouble', 128, 32, 512): relsd 0.1803 > 0.10
# REFUSED ('cdouble', 512, 32, 128): relsd 0.1066 > 0.10
# REFUSED ('cfloat', 128, 32, 1024): relsd 0.1122 > 0.10
# REFUSED ('cfloat', 128, 32, 2048): relsd 0.1030 > 0.10
# REFUSED ('cfloat', 128, 64, 1024): relsd 0.1420 > 0.10
# 135 cells paired across all four sweeps
type,n,nrhs,batch,nat_p1,ven_p1,r_p1,nat_p2,ven_p2,r_p2,QUOTED,spread_nat,spread_ven
cfloat,256,128,4096,31.7795,96.3237,3.0310,31.7907,92.1764,2.8995,2.8995,1.0004,1.0450
cfloat,512,64,512,5.6396,7.6747,1.3609,5.6558,7.0884,1.2533,1.2533,1.0029,1.0827
cfloat,512,64,1024,10.8741,15.4499,1.4208,10.8761,15.4995,1.4251,1.4208,1.0002,1.0032
cfloat,512,64,2048,21.7356,36.3661,1.6731,21.7302,36.3068,1.6708,1.6708,1.0002,1.0016
cfloat,512,128,256,4.8604,8.4835,1.7454,4.8741,8.4858,1.7410,1.7410,1.0028,1.0003
cfloat,512,128,512,9.5316,15.8185,1.6596,9.5630,15.7579,1.6478,1.6478,1.0033,1.0038
cfloat,512,128,1024,18.8802,34.8154,1.8440,18.8657,34.7174,1.8402,1.8402,1.0008,1.0028
cfloat,512,128,2048,37.9809,93.0422,2.4497,37.9626,93.2752,2.4570,2.4497,1.0005,1.0025
cfloat,1024,64,128,4.8258,7.6276,1.5806,4.8425,7.6150,1.5725,1.5725,1.0035,1.0017
cfloat,1024,64,256,8.3189,10.3894,1.2489,8.2987,10.4251,1.2562,1.2489,1.0024,1.0034
cfloat,1024,64,512,15.3803,19.5154,1.2689,15.3886,19.3718,1.2588,1.2588,1.0005,1.0074
cfloat,1024,128,128,7.8521,15.2479,1.9419,7.8351,14.3920,1.8369,1.8369,1.0022,1.0595
cfloat,1024,128,256,13.9291,21.0956,1.5145,13.9239,21.1001,1.5154,1.5145,1.0004,1.0002
cfloat,1024,128,512,26.8046,43.6652,1.6290,26.9482,40.0628,1.4867,1.4867,1.0054,1.0899
double,64,64,2048,2.5199,2.6382,1.0469,2.5203,2.5163,0.9984,0.9984,1.0002,1.0484
double,64,64,4096,5.0644,7.0659,1.3952,5.0666,7.0411,1.3897,1.3897,1.0004,1.0035
double,64,64,8192,10.0287,18.2238,1.8172,10.0231,16.8804,1.6841,1.6841,1.0006,1.0796
double,64,128,2048,3.2809,7.5204,2.2922,3.2782,6.8826,2.0995,2.0995,1.0008,1.0927
double,64,128,4096,6.4729,17.7854,2.7477,6.4720,16.3026,2.5189,2.5189,1.0001,1.0910
double,64,128,8192,12.6626,36.9270,2.9162,12.6546,34.9984,2.7657,2.7657,1.0006,1.0551
double,128,64,1024,3.4171,3.6979,1.0822,3.4109,3.7154,1.0893,1.0822,1.0018,1.0047
double,128,64,2048,6.8161,8.5794,1.2587,6.8143,8.5657,1.2570,1.2570,1.0003,1.0016
double,128,64,4096,13.5009,26.1843,1.9394,13.5075,23.9851,1.7757,1.7757,1.0005,1.0917
double,128,128,1024,4.9408,8.9092,1.8032,4.9447,8.9480,1.8096,1.8032,1.0008,1.0044
double,128,128,2048,9.9183,25.8417,2.6055,9.9212,24.0242,2.4215,2.4215,1.0003,1.0757
double,128,128,4096,19.5442,54.9084,2.8094,19.5335,54.8992,2.8105,2.8094,1.0005,1.0002
double,256,64,1024,10.1442,13.1901,1.3003,10.1427,12.1043,1.1934,1.1934,1.0001,1.0897
double,256,64,2048,20.1408,27.1115,1.3461,20.1302,26.9784,1.3402,1.3402,1.0005,1.0049
double,256,64,4096,39.9819,68.2744,1.7076,39.9861,66.6255,1.6662,1.6662,1.0001,1.0247
double,256,128,1024,16.4013,29.8211,1.8182,16.4197,27.3478,1.6655,1.6655,1.0011,1.0904
double,256,128,2048,32.7772,67.2936,2.0531,32.8020,67.0411,2.0438,2.0438,1.0008,1.0038
double,256,128,4096,65.0507,145.9673,2.2439,65.0948,146.8967,2.2567,2.2439,1.0007,1.0064
double,512,64,512,16.7271,21.2063,1.2678,16.7292,19.8202,1.1848,1.1848,1.0001,1.0699
double,512,64,1024,33.0866,41.9171,1.2669,33.0898,40.2442,1.2162,1.2162,1.0001,1.0416
double,512,64,2048,66.2729,88.1643,1.3303,65.7725,85.3959,1.2984,1.2984,1.0076,1.0324
double,512,128,512,29.2778,41.2649,1.4094,29.2736,41.2200,1.4081,1.4081,1.0001,1.0011
double,512,128,1024,58.3540,92.6952,1.5885,58.3502,85.2552,1.4611,1.4611,1.0001,1.0873
double,512,128,2048,117.1446,202.9307,1.7323,117.9809,195.2182,1.6547,1.6547,1.0071,1.0395
double,1024,64,128,15.0954,20.2409,1.3409,15.0943,20.2600,1.3422,1.3409,1.0001,1.0009
double,1024,64,256,27.7602,37.5383,1.3522,27.7679,35.6152,1.2826,1.2826,1.0003,1.0540
double,1024,64,512,58.9652,69.0291,1.1707,58.9635,69.2157,1.1739,1.1707,1.0000,1.0027
double,1024,128,128,27.7187,39.8715,1.4384,27.7251,39.9091,1.4395,1.4384,1.0002,1.0009
double,1024,128,256,53.5220,71.7946,1.3414,53.4472,71.9332,1.3459,1.3414,1.0014,1.0019
double,1024,128,512,110.4815,141.5726,1.2814,110.6582,141.5467,1.2791,1.2791,1.0016,1.0002
float,64,32,2048,0.4644,0.4748,1.0224,0.4752,0.4768,1.0034,1.0034,1.0233,1.0042
float,64,32,4096,1.0474,0.9499,0.9069,1.0394,0.9443,0.9085,0.9069,1.0077,1.0059
float,64,32,8192,2.2361,2.7492,1.2295,2.2475,2.7556,1.2261,1.2261,1.0051,1.0023
float,64,64,2048,0.4467,0.9275,2.0763,0.4461,0.9266,2.0771,2.0763,1.0013,1.0010
float,64,64,4096,0.9723,2.7405,2.8186,0.9758,2.8023,2.8718,2.8186,1.0036,1.0226
float,64,64,8192,2.0653,8.4133,4.0736,2.0626,8.4738,4.1083,4.0736,1.0013,1.0072
float,64,128,2048,0.6888,2.6527,3.8512,0.6901,2.5418,3.6832,3.6832,1.0019,1.0436
float,64,128,4096,1.5685,8.0042,5.1031,1.5666,7.9494,5.0743,5.0743,1.0012,1.0069
float,64,128,8192,3.1539,20.0753,6.3652,3.1543,19.9822,6.3349,6.3349,1.0001,1.0047
float,128,32,1024,0.5648,0.6607,1.1698,0.5682,0.6647,1.1698,1.1698,1.0060,1.0061
float,128,32,2048,1.0629,1.2165,1.1445,1.0677,1.2238,1.1462,1.1445,1.0045,1.0060
float,128,32,4096,2.3275,2.6258,1.1282,2.3274,2.6297,1.1299,1.1282,1.0000,1.0015
float,128,64,1024,0.6284,1.1754,1.8705,0.6260,1.1796,1.8843,1.8705,1.0038,1.0036
float,128,64,2048,1.3243,2.3510,1.7753,1.3248,2.3712,1.7899,1.7753,1.0004,1.0086
float,128,64,4096,2.7823,8.8119,3.1671,2.7828,8.9230,3.2065,3.1671,1.0002,1.0126
float,128,128,1024,0.9737,2.5407,2.6093,0.9739,2.5521,2.6205,2.6093,1.0002,1.0045
float,128,128,2048,2.1504,8.7798,4.0829,2.1495,8.4499,3.9311,3.9311,1.0004,1.0390
float,128,128,4096,4.4807,24.6759,5.5072,4.4769,22.4155,5.0069,5.0069,1.0008,1.1008
float,256,32,1024,1.4662,1.6783,1.1447,1.4619,1.6820,1.1506,1.1447,1.0029,1.0022
float,256,32,2048,2.9276,3.4409,1.1753,2.9252,3.4141,1.1671,1.1671,1.0008,1.0078
float,256,32,4096,6.4890,9.8599,1.5195,6.4804,9.9872,1.5411,1.5195,1.0013,1.0129
float,256,64,1024,1.7526,3.2399,1.8486,1.7554,3.2610,1.8577,1.8486,1.0016,1.0065
float,256,64,2048,3.6843,9.0591,2.4588,3.6926,8.9585,2.4261,2.4261,1.0023,1.0112
float,256,64,4096,8.3767,32.4503,3.8739,8.3813,32.3556,3.8605,3.8605,1.0005,1.0029
float,256,128,1024,2.9128,9.0894,3.1205,2.9105,9.1012,3.1270,3.1205,1.0008,1.0013
float,256,128,2048,7.1391,33.6259,4.7101,7.1295,31.8182,4.4629,4.4629,1.0013,1.0568
float,256,128,4096,16.1056,82.5734,5.1270,16.1015,78.6990,4.8877,4.8877,1.0003,1.0492
float,512,32,512,2.0418,2.7303,1.3372,2.0326,2.7363,1.3462,1.3372,1.0045,1.0022
float,512,32,1024,3.9212,4.9090,1.2519,3.9258,4.6603,1.1871,1.1871,1.0012,1.0534
float,512,32,2048,7.6817,11.7389,1.5282,7.6821,10.9178,1.4212,1.4212,1.0001,1.0752
float,512,64,512,2.4607,4.8025,1.9517,2.4421,4.7974,1.9645,1.9517,1.0076,1.0011
float,512,64,1024,4.7322,9.8058,2.0721,4.7273,9.7717,2.0671,2.0671,1.0010,1.0035
float,512,64,2048,9.7317,26.8789,2.7620,9.7333,25.4966,2.6195,2.6195,1.0002,1.0542
float,512,128,512,4.2216,10.5587,2.5011,4.1972,10.5769,2.5200,2.5011,1.0058,1.0017
float,512,128,1024,8.8374,25.3903,2.8731,8.8354,25.0867,2.8393,2.8393,1.0002,1.0121
float,512,128,2048,20.6337,76.6677,3.7157,20.6485,76.1741,3.6891,3.6891,1.0007,1.0065
float,1024,32,128,2.7237,4.0275,1.4787,2.7291,4.0292,1.4764,1.4764,1.0020,1.0004
