typ,tag,transA,m,nnzrow,nrhs,batch,transB,beta,pattern,t_vendor,t_native,ratio,relsd,sd_v,sd_n,chk_v,chk_n,agree,gbs_v,gbs_n,roof_v,roof_n,fp_mb,l2res
cfloat,satext_ta0,0,1024,3,2,1024,0,0,0,0.319413,0.0238638,0.07471142376797438,0.01367502241889389,0.0006549670802378112,0.01367502241889389,1907.93,1907.93,True,236.376,3163.85,0.23450000000000001,3.1387400793650793,75.501568,False
cfloat,satext_ta0,0,1024,3,2,1024,0,0,1,0.319038,0.0406436,0.12739422890063254,0.010330556348354968,0.0007062951748694514,0.010330556348354968,4985.47,4985.47,True,236.654,1857.65,0.23477579365079365,1.842906746031746,75.501568,False
cfloat,satext_ta0,0,1024,3,2,2048,0,0,0,0.629964,0.164726,0.261484783257456,0.008139455823610116,0.0005300842587830415,0.008139455823610116,1907.93,1907.93,True,239.701,916.693,0.2377986111111111,0.9094176587301587,151.003136,False
cfloat,satext_ta0,0,1024,3,2,2048,0,0,1,0.62912,0.165417,0.2629339394710071,0.0006769679053543468,0.0005027753051881994,0.0006769679053543468,4985.47,4985.47,True,240.023,912.862,0.23811805555555554,0.9056170634920635,151.003136,False
cfloat,satext_ta0,0,1024,3,2,4096,0,0,0,1.28657,0.325705,0.2531576206502561,0.0010545481396270705,0.0010545481396270705,0.00018120876253051074,1907.93,1907.93,True,234.737,927.238,0.23287400793650792,0.9198789682539683,302.006272,False
cfloat,satext_ta0,0,1024,3,2,4096,0,0,1,1.28205,0.327853,0.2557255957255957,0.004041140389137814,0.0010395460395460395,0.004041140389137814,4985.47,4985.47,True,235.565,921.163,0.2336954365079365,0.9138521825396826,302.006272,False
cfloat,satext_ta0,0,1024,3,2,8192,0,0,0,2.5923,0.648485,0.2501581607067083,0.0006948308451953863,0.0006948308451953863,0.00012074373347109032,1907.93,1907.93,True,233.003,931.421,0.23115376984126984,0.9240287698412699,604.012544,False
cfloat,satext_ta0,0,1024,3,2,8192,0,0,1,2.58944,0.651202,0.2514837184873949,0.008978736715274344,0.008978736715274344,0.00024292462246737573,4985.47,4985.47,True,233.26,927.535,0.23140873015873015,0.9201736111111111,604.012544,False
double,satext_ta0,0,1024,3,1,1024,0,0,0,0.320207,0.0149467,0.04667824251187513,0.0019100470337934125,0.0007033450236878019,0.0019100470337934125,440.696,440.696,True,183.395,3928.91,0.18193948412698413,3.8977281746031744,58.724352,True
double,satext_ta0,0,1024,3,1,1024,0,0,1,0.319834,0.0302942,0.09471851022718035,0.0007033930101240018,0.0007033930101240018,0.0005091634702352266,1134.05,1134.05,True,183.609,1938.47,0.18215178571428572,1.9230853174603175,58.724352,True
double,satext_ta0,0,1024,3,1,2048,0,0,0,0.630644,0.129188,0.2048509143034739,0.0004883373186774154,0.0004883373186774154,0.00041694507229773665,440.696,440.696,True,186.236,909.132,0.1847579365079365,0.9019166666666666,117.448704,False
double,satext_ta0,0,1024,3,1,2048,0,0,1,0.629773,0.132046,0.2096723740141289,0.000613053026975448,0.0004121993162615736,0.000613053026975448,1134.05,1134.05,True,186.494,889.453,0.1850138888888889,0.8823938492063492,117.448704,False
double,satext_ta0,0,1024,3,1,4096,0,0,0,1.272,0.255022,0.20048899371069184,0.0010543474842767296,0.0010543474842767296,0.00022536212562053467,440.696,440.696,True,184.667,921.086,0.1832013888888889,0.9137757936507936,234.897408,False
double,satext_ta0,0,1024,3,1,4096,0,0,1,1.27093,0.259192,0.2039388479302558,0.008541304399140788,0.008541304399140788,0.0007215307571221335,1134.05,1134.05,True,184.823,906.268,0.1833561507936508,0.8990753968253968,234.897408,False
double,satext_ta0,0,1024,3,1,8192,0,0,0,2.53996,0.506223,0.19930353233909193,0.0007358186743098317,0.0007358186743098317,0.0005325676628679456,440.696,440.696,True,184.962,928.039,0.1834940476190476,0.9206736111111111,469.794816,False
double,satext_ta0,0,1024,3,1,8192,0,0,1,2.53573,0.515808,0.20341597883055373,0.0014500822011291022,0.0010958185611244099,0.0014500822011291022,1134.05,1134.05,True,185.27,910.793,0.18379960317460317,0.9035644841269841,469.794816,False
