shape,route,pad,m,k,ms,rsd,gflops
outer,vendor,3,128,256,1.28278,3.08,26785.4
outer,vendor,4,128,256,1.28374,3.08,26765.4
outer,vendor,8,128,256,1.29503,3.15,26532.0
outer,vendor,16,128,256,1.33968,3.15,25647.7
outer,vendor,32,128,256,1.27247,3.1,27002.3
outer,vendor,64,128,256,1.30568,3.05,26315.6
outer,vendor,128,128,256,1.27392,3.08,26971.6
outer,vendor,129,128,256,1.48769,2.83,23096.1
outer,vendor,132,128,256,1.46731,2.94,23416.8
outer,vendor,256,128,256,1.28118,3.16,26818.9
outer,vendor,384,128,256,1.3191,3.03,26047.9
outer,vendor,512,128,256,1.30939,2.98,26241.0
