shape,route,beta,pad,m,n,k,batch,iters,ms,sd_ms,rsd_pct,gflops
outer,native,0,1,128,1024,128,512,161,1.87353,0.0507833,2.71,9169.77
outer,native,0,2,128,1024,128,512,158,1.90007,0.0506966,2.67,9041.69
outer,native,0,3,128,1024,128,512,159,1.89848,0.0500811,2.64,9049.29
outer,native,0,4,128,1024,128,512,300,0.786473,0.00874917,1.11,21844.2
outer,native,0,8,128,1024,128,512,300,0.788878,0.00825297,1.05,21777.6
outer,native,0,16,128,1024,128,512,300,0.801595,0.00854356,1.07,21432.1
outer,native,0,32,128,1024,128,512,300,0.902846,0.00939057,1.04,19028.6
outer,native,0,64,128,1024,128,512,268,1.11976,0.0414748,3.7,15342.4
outer,native,0,128,128,1024,128,512,238,1.2627,0.0415058,3.29,13605.7
outer,native,0,384,128,1024,128,512,218,1.37701,0.0442279,3.21,12476.2
outer,vendor,0,0,128,1024,128,512,300,0.645896,0.008911,1.38,26598.5
outer,vendor,0,1,128,1024,128,512,300,0.645106,0.00820851,1.27,26631.1
outer,vendor,0,2,128,1024,128,512,300,0.655725,0.00847466,1.29,26199.8
outer,vendor,0,3,128,1024,128,512,300,0.675502,0.00925836,1.37,25432.7
outer,vendor,0,4,128,1024,128,512,300,0.661741,0.00876757,1.32,25961.6
outer,vendor,0,8,128,1024,128,512,300,0.674884,0.00926624,1.37,25456.0
outer,vendor,0,16,128,1024,128,512,300,0.689338,0.00865844,1.26,24922.3
outer,vendor,0,32,128,1024,128,512,300,0.675031,0.00976377,1.45,25450.5
outer,vendor,0,64,128,1024,128,512,300,0.668475,0.00870866,1.3,25700.1
outer,vendor,0,128,128,1024,128,512,300,0.664377,0.0100872,1.52,25858.6
outer,vendor,0,384,128,1024,128,512,300,0.700366,0.00900888,1.29,24529.8
outer,native,1,0,128,1024,128,512,300,0.984261,0.00867814,0.88,17454.6
outer,native,1,1,128,1024,128,512,161,1.8737,0.0484208,2.58,9168.95
outer,native,1,2,128,1024,128,512,159,1.89571,0.0482988,2.55,9062.52
outer,native,1,3,128,1024,128,512,159,1.88815,0.0465377,2.46,9098.8
outer,native,1,4,128,1024,128,512,288,1.04358,0.0384731,3.69,16462.4
outer,native,1,8,128,1024,128,512,291,1.03343,0.0357633,3.46,16624.1
outer,native,1,16,128,1024,128,512,287,1.04918,0.0378818,3.61,16374.6
outer,native,1,32,128,1024,128,512,267,1.12732,0.0408914,3.63,15239.5
outer,native,1,64,128,1024,128,512,245,1.22474,0.0433524,3.54,14027.3
outer,native,1,128,128,1024,128,512,205,1.46548,0.0455567,3.11,11723.1
outer,native,1,384,128,1024,128,512,194,1.54742,0.0476734,3.08,11102.2
outer,vendor,1,0,128,1024,128,512,300,0.927057,0.00811625,0.88,18531.6
outer,vendor,1,1,128,1024,128,512,300,0.928921,0.00908316,0.98,18494.4
outer,vendor,1,2,128,1024,128,512,300,0.937292,0.0091949,0.98,18329.3
outer,vendor,1,3,128,1024,128,512,300,0.960024,0.0091696,0.96,17895.2
outer,vendor,1,4,128,1024,128,512,300,0.950575,0.00874106,0.92,18073.1
outer,vendor,1,8,128,1024,128,512,300,0.962034,0.00865655,0.9,17857.9
outer,vendor,1,16,128,1024,128,512,299,1.00613,0.0087456,0.87,17075.2
outer,vendor,1,32,128,1024,128,512,300,0.958987,0.00857037,0.89,17914.6
outer,vendor,1,64,128,1024,128,512,300,0.940589,0.00949094,1.01,18265.0
outer,vendor,1,128,128,1024,128,512,300,0.936715,0.00910157,0.97,18340.6
outer,vendor,1,384,128,1024,128,512,300,0.961998,0.00875706,0.91,17858.5
outer,native,0,0,128,1024,256,512,137,2.19474,0.0815693,3.72,15655.5
outer,native,0,1,128,1024,256,512,101,2.99019,0.110875,3.71,11490.8
outer,native,0,2,128,1024,256,512,100,3.00736,0.109596,3.64,11425.2
outer,native,0,3,128,1024,256,512,101,2.99421,0.100967,3.37,11475.4
outer,native,0,4,128,1024,256,512,153,1.96869,0.0472785,2.4,17453.1
outer,native,0,8,128,1024,256,512,143,2.10499,0.0620013,2.95,16323.0
outer,native,0,16,128,1024,256,512,145,2.08246,0.0506258,2.43,16499.6
outer,native,0,32,128,1024,256,512,148,2.03792,0.0479161,2.35,16860.2
outer,native,0,64,128,1024,256,512,142,2.12329,0.0631568,2.97,16182.3
outer,native,0,128,128,1024,256,512,127,2.37158,0.0948602,4.0,14488.1
outer,native,0,384,128,1024,256,512,118,2.56119,0.0834805,3.26,13415.5
outer,vendor,0,0,128,1024,256,512,300,0.983664,0.00991525,1.01,34930.4
outer,vendor,0,1,128,1024,256,512,300,0.989885,0.00900928,0.91,34710.8
outer,vendor,0,2,128,1024,256,512,300,0.991278,0.00882214,0.89,34662.0
outer,vendor,0,3,128,1024,256,512,300,1.00217,0.00949377,0.95,34285.3
outer,vendor,0,4,128,1024,256,512,300,0.999576,0.00929997,0.93,34374.3
outer,vendor,0,8,128,1024,256,512,298,1.00951,0.0365105,3.62,34036.2
outer,vendor,0,16,128,1024,256,512,294,1.02119,0.0378036,3.7,33646.7
outer,vendor,0,32,128,1024,256,512,300,0.987553,0.00944771,0.96,34792.8
outer,vendor,0,64,128,1024,256,512,293,1.02549,0.0384911,3.75,33505.8
outer,vendor,0,128,128,1024,256,512,300,0.998398,0.00890472,0.89,34414.9
outer,vendor,0,384,128,1024,256,512,284,1.05662,0.038372,3.63,32518.6
outer,native,1,0,128,1024,256,512,126,2.38319,0.0764752,3.21,14417.5
outer,native,1,1,128,1024,256,512,101,2.97504,0.0942389,3.17,11549.3
outer,native,1,2,128,1024,256,512,100,3.00442,0.111962,3.73,11436.4
outer,native,1,3,128,1024,256,512,101,2.99513,0.102834,3.43,11471.9
outer,native,1,4,128,1024,256,512,134,2.24221,0.0872913,3.89,15324.1
