type,tag,m,n,k,batch,beta,pad,arm,reps,median_ms,min_ms,max_ms,rel_spread,worst_within_run_rsd
cdouble,P_k64,1024,1024,64,128,1,0,auto,2,179.80800,179.80800,179.91400,0.0006,0.0018
cdouble,P_k64,1024,1024,64,128,1,0,vendor,2,58.29640,58.29640,58.39190,0.0016,0.0037
cdouble,P_k64,1024,1024,64,128,1,0,wide,2,52.33910,52.33910,52.45640,0.0022,0.0047
cdouble,P_k64,1024,1024,64,128,1,384,auto,2,178.97400,178.97400,179.46300,0.0027,0.0015
cdouble,P_k64,1024,1024,64,128,1,384,vendor,2,57.96170,57.96170,58.00640,0.0008,0.0036
cdouble,P_k64,1024,1024,64,128,1,384,wide,2,52.10520,52.10520,52.43990,0.0064,0.0051
cdouble,P_k8,1024,1024,8,128,0,0,auto,2,26.73260,26.73260,26.92500,0.0072,0.0080
cdouble,P_k8,1024,1024,8,128,0,0,vendor,2,15.42970,15.42970,15.47610,0.0030,0.0147
cdouble,P_k8,1024,1024,8,128,0,0,wide,2,14.33900,14.33900,14.42790,0.0062,0.0165
cdouble,P_k8,1024,1024,8,128,0,384,auto,2,26.71640,26.71640,26.85530,0.0052,0.0088
cdouble,P_k8,1024,1024,8,128,0,384,vendor,2,15.41340,15.41340,15.41570,0.0001,0.0159
cdouble,P_k8,1024,1024,8,128,0,384,wide,2,14.42410,14.42410,14.42570,0.0001,0.0174
cdouble,P_k8,1024,1024,8,128,1,0,auto,2,26.81160,26.81160,26.87190,0.0022,0.0087
cdouble,P_k8,1024,1024,8,128,1,0,vendor,2,16.50050,16.50050,16.50420,0.0002,0.0143
cdouble,P_k8,1024,1024,8,128,1,0,wide,2,14.80220,14.80220,14.80980,0.0005,0.0166
cdouble,P_k8,1024,1024,8,128,1,384,auto,2,26.87920,26.87920,26.90890,0.0011,0.0063
cdouble,P_k8,1024,1024,8,128,1,384,vendor,2,16.41810,16.41810,16.46330,0.0028,0.0141
cdouble,P_k8,1024,1024,8,128,1,384,wide,2,14.68380,14.68380,14.70750,0.0016,0.0168
cdouble,P_k96,1024,1024,96,128,0,0,auto,2,266.57300,266.57300,267.18600,0.0023,0.0002
cdouble,P_k96,1024,1024,96,128,0,0,vendor,2,85.30670,85.30670,85.46950,0.0019,0.0031
cdouble,P_k96,1024,1024,96,128,0,0,wide,2,77.37790,77.37790,77.43770,0.0008,0.0029
cdouble,P_k96,1024,1024,96,128,0,384,auto,2,265.69300,265.69300,265.71200,0.0001,0.0003
cdouble,P_k96,1024,1024,96,128,0,384,vendor,2,84.87310,84.87310,85.23200,0.0042,0.0029
cdouble,P_k96,1024,1024,96,128,0,384,wide,2,76.93100,76.93100,76.94080,0.0001,0.0029
cdouble,P_k96,1024,1024,96,128,1,0,auto,2,266.72800,266.72800,267.15800,0.0016,0.0009
cdouble,P_k96,1024,1024,96,128,1,0,vendor,2,86.13380,86.13380,86.17790,0.0005,0.0026
cdouble,P_k96,1024,1024,96,128,1,0,wide,2,77.14450,77.14450,77.19960,0.0007,0.0027
cdouble,P_k96,1024,1024,96,128,1,384,auto,2,265.74900,265.74900,266.49800,0.0028,0.0002
cdouble,P_k96,1024,1024,96,128,1,384,vendor,2,85.87440,85.87440,86.01460,0.0016,0.0026
cdouble,P_k96,1024,1024,96,128,1,384,wide,2,76.89100,76.89100,77.00970,0.0015,0.0030
cdouble,S_128,128,128,128,512,0,0,auto,2,22.16370,22.16370,22.19650,0.0015,0.0119
cdouble,S_128,128,128,128,512,0,0,vendor,2,7.07515,7.07515,7.10076,0.0036,0.0263
cdouble,S_128,128,128,128,512,0,0,wide,2,6.37826,6.37826,6.42472,0.0073,0.0319
cdouble,S_128,128,128,128,512,0,384,auto,2,22.05750,22.05750,22.19660,0.0063,0.0120
