bin,op,type,m,n,batch,med_ms,mean_ms,relsd,GFLOPs,geqrf_res,ortho,recon,ws_bytes,route,cta_max_elems,flag
qrbench_nv,orgqr,double,160,160,2048,24.0889,24.0888,0.0001,464.31,2.132e-15,1.929e-15,1.544e-15,549453824,native:blocked,12160,ok
qrbench_v,orgqr,cfloat,160,160,2048,333.0550,329.6999,0.0186,33.58,4.730e-07,1.574e-06,7.330e-07,1280311296,vendor:auto,12160,ok
qrbench_nv,orgqr,cfloat,160,160,2048,24.3225,24.3223,0.0008,459.85,6.449e-07,2.124e-06,6.291e-07,687865856,native:blocked,12160,ok
qrbench_v,orgqr,cdouble,160,160,2048,1539.7146,1540.9994,0.0016,7.26,2.377e-15,3.179e-15,1.769e-15,2559574016,vendor:auto,6080,ok
qrbench_nv,orgqr,cdouble,160,160,2048,246.2667,246.2682,0.0001,45.42,2.240e-15,2.655e-15,1.631e-15,1375731712,native:blocked,6080,ok
qrbench_v,orgqr,float,256,256,2048,308.3242,308.3818,0.0015,148.59,3.857e-07,1.710e-06,4.387e-07,942669824,vendor:auto,24320,ok
qrbench_nv,orgqr,float,256,256,2048,32.3271,32.3303,0.0004,1417.17,6.324e-07,1.285e-06,7.091e-07,746586112,native:blocked,24320,ok
qrbench_v,orgqr,double,256,256,2048,1219.0326,1219.0128,0.0002,37.58,1.972e-15,4.349e-15,2.528e-15,1884291072,vendor:auto,12160,ok
qrbench_nv,orgqr,double,256,256,2048,79.7716,79.7526,0.0004,574.30,2.020e-15,2.683e-15,1.985e-15,1279262720,native:blocked,12160,ok
qrbench_v,orgqr,cfloat,256,256,2048,383.9638,383.9682,0.0020,119.32,4.592e-07,2.503e-06,8.688e-07,1884291072,vendor:auto,12160,ok
qrbench_nv,orgqr,cfloat,256,256,2048,65.7680,65.7547,0.0004,696.58,6.783e-07,1.159e-06,7.591e-07,1493172224,native:blocked,12160,ok
qrbench_v,orgqr,cdouble,256,256,2048,2398.2062,2398.1232,0.0001,19.10,2.055e-15,4.392e-15,2.062e-15,3767533568,vendor:auto,6080,ok
qrbench_nv,orgqr,cdouble,256,256,2048,714.6382,714.7723,0.0005,64.11,2.772e-15,3.016e-15,1.987e-15,2986344448,native:blocked,6080,ok
qrbench_v,orgqr,float,512,512,512,173.5090,172.8153,0.0098,528.08,5.034e-07,1.404e-06,6.040e-07,436994048,vendor:auto,24320,ok
qrbench_nv,orgqr,float,512,512,512,45.0953,45.0971,0.0001,2031.83,9.556e-07,1.601e-06,9.136e-07,639631360,native:blocked,24320,ok
qrbench_v,orgqr,double,512,512,512,807.1230,807.4588,0.0010,113.52,4.148e-15,5.053e-15,3.234e-15,873725952,vendor:auto,12160,ok
qrbench_nv,orgqr,double,512,512,512,135.7317,135.7305,0.0001,675.05,3.279e-15,3.676e-15,2.285e-15,1175453696,native:blocked,12160,ok
qrbench_v,orgqr,cfloat,512,512,512,216.3049,217.1092,0.0076,423.60,6.431e-07,1.942e-06,8.879e-07,873725952,vendor:auto,12160,ok
qrbench_nv,orgqr,cfloat,512,512,512,92.7966,92.7984,0.0006,987.39,8.452e-07,1.764e-06,1.061e-06,1279262720,native:blocked,12160,ok
qrbench_v,orgqr,cdouble,512,512,512,1883.0056,1882.9822,0.0001,48.66,4.258e-15,5.314e-15,2.435e-15,1747189760,vendor:auto,6080,ok
qrbench_nv,orgqr,cdouble,512,512,512,1140.0189,1140.0853,0.0001,80.37,3.864e-15,3.261e-15,2.347e-15,2558525440,native:blocked,6080,ok
qrbench_v,orgqr,float,1024,1024,128,93.3818,93.3019,0.0018,1962.39,6.388e-07,1.816e-06,6.535e-07,209911808,vendor:auto,24320,ok
qrbench_nv,orgqr,float,1024,1024,128,73.9158,73.9185,0.0002,2479.20,1.408e-06,2.152e-06,1.358e-06,587726848,native:blocked,24320,ok
qrbench_v,orgqr,double,1024,1024,128,595.5038,595.5917,0.0007,307.73,3.905e-15,5.777e-15,3.632e-15,419758080,vendor:auto,12160,ok
qrbench_nv,orgqr,double,1024,1024,128,244.4089,244.4073,0.0000,749.78,6.183e-15,5.442e-15,3.880e-15,1124335616,native:blocked,12160,ok
qrbench_v,orgqr,cfloat,1024,1024,128,127.0956,127.0902,0.0014,1441.84,8.686e-07,2.398e-06,1.130e-06,419758080,vendor:auto,12160,ok
qrbench_nv,orgqr,cfloat,1024,1024,128,155.4663,155.4687,0.0002,1178.72,1.398e-06,2.059e-06,1.341e-06,1175453696,native:blocked,12160,ok
qrbench_v,orgqr,cdouble,1024,1024,128,1603.6821,1604.0149,0.0009,114.27,5.023e-15,7.679e-15,3.900e-15,839450624,vendor:auto,6080,ok
qrbench_nv,orgqr,cdouble,1024,1024,128,2050.8324,2050.8544,0.0000,89.35,5.214e-15,4.654e-15,4.293e-15,2350907392,native:blocked,6080,ok
qrbench_v,orgqr,float,2048,2048,32,57.3089,57.2640,0.0022,6395.24,8.438e-07,1.867e-06,1.029e-06,102809600,vendor:auto,24320,ok
qrbench_nv,orgqr,float,2048,2048,32,140.2721,140.2537,0.0002,2612.81,1.920e-06,3.243e-06,2.080e-06,562167808,native:blocked,24320,ok
qrbench_v,orgqr,double,2048,2048,32,643.6396,643.5742,0.0008,569.42,6.684e-15,8.551e-15,6.150e-15,205602816,vendor:auto,12160,ok
qrbench_nv,orgqr,double,2048,2048,32,479.5676,479.5651,0.0000,764.24,5.865e-15,7.328e-15,7.084e-15,1098973184,native:blocked,12160,ok
qrbench_v,orgqr,cfloat,2048,2048,32,93.0434,93.1138,0.0015,3939.06,1.093e-06,2.767e-06,1.502e-06,205602816,vendor:auto,12160,ok
qrbench_nv,orgqr,cfloat,2048,2048,32,297.8866,298.0896,0.0011,1230.35,1.951e-06,2.668e-06,1.926e-06,1124335616,native:blocked,12160,ok
qrbench_v,orgqr,cdouble,2048,2048,32,1845.0175,1845.0084,0.0002,198.65,5.660e-15,7.763e-15,4.918e-15,411189248,vendor:auto,6080,ok
qrbench_nv,orgqr,cdouble,2048,2048,32,3992.9322,3992.9576,0.0000,91.79,5.718e-15,6.443e-15,5.744e-15,2248671232,native:blocked,6080,ok
