bin,op,type,m,n,batch,med_ms,mean_ms,relsd,GFLOPs,geqrf_res,ortho,recon,ws_bytes,route,cta_max_elems,flag,pin
qrbench_nv,geqrf,cdouble,192,192,2048,267.6560,267.6510,0.0000,72.21,2.405e-15,-1,-1,570425344,native:blocked,6080,ok,cta
qrbench_nv,geqrf,cdouble,192,192,2048,267.6109,267.4489,0.0008,72.22,2.405e-15,-1,-1,570425344,native:blocked,6080,ok,blocked
qrbench_nv,geqrf,float,256,256,2048,21.6265,21.6252,0.0004,2118.37,6.324e-07,-1,-1,192937984,native:blocked,24320,ok,cta
qrbench_nv,geqrf,float,256,256,2048,21.6387,21.6391,0.0003,2117.18,6.324e-07,-1,-1,192937984,native:blocked,24320,ok,blocked
qrbench_nv,geqrf,double,256,256,2048,72.2675,72.2496,0.0003,633.94,2.020e-15,-1,-1,197132288,native:blocked,12160,ok,cta
qrbench_nv,geqrf,double,256,256,2048,72.2671,72.2526,0.0004,633.94,2.020e-15,-1,-1,197132288,native:blocked,12160,ok,blocked
qrbench_nv,geqrf,cfloat,256,256,2048,44.4052,44.4016,0.0009,1031.70,6.783e-07,-1,-1,385875968,native:blocked,12160,ok,cta
qrbench_nv,geqrf,cfloat,256,256,2048,44.4908,44.4937,0.0004,1029.72,6.783e-07,-1,-1,385875968,native:blocked,12160,ok,blocked
qrbench_nv,geqrf,cdouble,256,256,2048,520.6706,520.2738,0.0010,87.99,2.772e-15,-1,-1,771751936,native:blocked,6080,ok,cta
qrbench_nv,geqrf,cdouble,256,256,2048,519.6355,519.8023,0.0007,88.16,2.772e-15,-1,-1,771751936,native:blocked,6080,ok,blocked
