bin,op,type,m,n,batch,med_ms,mean_ms,relsd,GFLOPs,geqrf_res,ortho,recon,ws_bytes,route,cta_max_elems,flag
qrbench_v,geqrf,cfloat,2048,64,256,41.3417,41.3654,0.0013,102.81,4.239e-07,-1,-1,3072,vendor:auto,12160,ok
qrbench_nv,geqrf,cfloat,2048,64,256,12.6045,12.6053,0.0016,337.20,7.371e-07,-1,-1,140509184,native:blocked,12160,ok
qrbench_v,geqrf,cdouble,2048,64,256,65.2882,65.2759,0.0011,65.10,1.946e-14,-1,-1,3072,vendor:auto,6080,ok
qrbench_nv,geqrf,cdouble,2048,64,256,51.2257,51.2409,0.0009,82.97,1.699e-14,-1,-1,281018368,native:blocked,6080,ok
qrbench_v,geqrf,float,1024,128,256,56.4673,56.4683,0.0008,145.78,2.898e-07,-1,-1,3072,vendor:auto,24320,ok
qrbench_nv,geqrf,float,1024,128,256,5.2037,5.2059,0.0011,1581.95,8.967e-07,-1,-1,40894464,native:blocked,24320,ok
qrbench_v,geqrf,double,1024,128,256,102.0222,102.0285,0.0004,80.69,7.939e-15,-1,-1,3072,vendor:auto,12160,ok
qrbench_nv,geqrf,double,1024,128,256,12.2943,12.2847,0.0013,669.58,8.360e-15,-1,-1,41418752,native:blocked,12160,ok
qrbench_v,geqrf,cfloat,1024,128,256,81.5400,81.5194,0.0007,100.96,4.429e-07,-1,-1,3072,vendor:auto,12160,ok
qrbench_nv,geqrf,cfloat,1024,128,256,11.2227,11.2258,0.0014,733.52,1.043e-06,-1,-1,81788928,native:blocked,12160,ok
qrbench_v,geqrf,cdouble,1024,128,256,136.2648,136.2854,0.0006,60.41,8.032e-15,-1,-1,3072,vendor:auto,6080,ok
qrbench_nv,geqrf,cdouble,1024,128,256,81.5593,81.5409,0.0004,100.93,8.124e-15,-1,-1,163577856,native:blocked,6080,ok
