typ,tag,transA,m,nnzrow,nrhs,batch,transB,beta,pattern,t_vendor,t_native,ratio,relsd,sd_v,sd_n,chk_v,chk_n,agree,gbs_v,gbs_n,roof_v,roof_n,fp_mb,l2res
double,lanczos_ta1,1,1024,3,1,512,0,0,1,0.165257,0.0321476,0.19453094271347054,0.000976772760641541,0.0008768282130257721,0.000976772760641541,1134.05,1134.05,True,177.676,913.355,0.17626587301587301,0.9061061507936509,29.362176,True
double,lanczos_ta1,1,1024,3,1,1024,0,0,0,0.321667,0.0441713,0.13731996132646496,0.0006689122601945491,0.0006689122601945491,0.000279831021500386,458.725,458.725,True,182.563,1329.47,0.1811140873015873,1.3189186507936508,58.724352,True
double,lanczos_ta1,1,1024,3,1,1024,0,0,1,0.32119,0.059128,0.18409041377377877,0.0008212833525327688,0.0008212833525327688,0.00043840312542281154,1134.05,1134.05,True,182.834,993.173,0.18138293650793652,0.9852906746031747,58.724352,True
double,lanczos_ta1,1,1024,3,2,8,0,0,0,0.0199162,0.00517177,0.2596765447223868,0.021719906407848887,0.021719906407848887,0.01284188972054055,885.778,885.778,True,29.6168,114.053,0.029381746031746033,0.11314781746031746,0.589856,True
double,lanczos_ta1,1,1024,3,2,8,0,0,1,0.0203292,0.00538534,0.2649066367589477,0.002076043481005842,0.0015361450524368889,0.002076043481005842,2210.61,2210.61,True,29.0152,109.53,0.028784920634920635,0.10866071428571429,0.589856,True
double,lanczos_ta1,1,1024,3,2,32,0,0,0,0.027265,0.00552571,0.20266678892352832,0.008442912158444893,0.008442912158444893,0.0021943605437129347,885.778,885.778,True,86.5367,426.99,0.08584990079365079,0.4236011904761905,2.359424,True
double,lanczos_ta1,1,1024,3,2,32,0,0,1,0.0276158,0.00756657,0.2739942351842061,0.002049500648179665,0.002049500648179665,0.000429564518665657,2210.61,2210.61,True,85.4376,311.822,0.08475952380952381,0.3093472222222222,2.359424,True
double,lanczos_ta1,1,1024,3,2,64,0,0,0,0.0327944,0.00815206,0.24858085526797255,0.005888596833605737,0.005888596833605737,0.005243815673584346,885.778,885.778,True,143.892,578.853,0.14275,0.5742589285714286,4.718848,True
double,lanczos_ta1,1,1024,3,2,64,0,0,1,0.0330085,0.010712,0.32452247148461755,0.0013006348020911129,0.0010380659527091504,0.0013006348020911129,2210.61,2210.61,True,142.958,440.52,0.1418234126984127,0.4370238095238095,4.718848,True
double,lanczos_ta1,1,1024,3,2,128,0,0,0,0.0508429,0.013737,0.270185217601671,0.03768719516633909,0.0007817256686774357,0.03768719516633909,885.778,885.778,True,185.624,687.026,0.18415079365079365,0.6815734126984127,9.437696,True
double,lanczos_ta1,1,1024,3,2,128,0,0,1,0.0507953,0.0175698,0.3458942067474747,0.007661214128789172,0.000766913474278132,0.007661214128789172,2210.61,2210.61,True,185.799,537.154,0.18432440476190476,0.532890873015873,9.437696,True
double,lanczos_ta1,1,1024,3,2,256,0,0,0,0.0894553,0.023941,0.2676308726257695,0.006335700263146903,0.0006036523269163481,0.006335700263146903,885.778,885.778,True,211.004,788.413,0.20932936507936506,0.782155753968254,18.875392,True
double,lanczos_ta1,1,1024,3,2,256,0,0,1,0.0894755,0.0319143,0.35668199674771306,0.0010629185036175005,0.0005773815178456672,0.0010629185036175005,2210.61,2210.61,True,210.956,591.44,0.209281746031746,0.5867460317460318,18.875392,True
double,lanczos_ta1,1,1024,3,2,512,0,0,0,0.16725,0.0442765,0.2647324364723468,0.005830542161191602,0.0008864633781763827,0.005830542161191602,885.778,885.778,True,225.714,852.615,0.22392261904761904,0.8458482142857143,37.750784,True
double,lanczos_ta1,1,1024,3,2,512,0,0,1,0.166963,0.0584844,0.35028359576672674,0.003667251437990302,0.001077604020052347,0.003667251437990302,2210.61,2210.61,True,226.103,645.485,0.22430853174603174,0.6403621031746032,37.750784,True
double,lanczos_ta1,1,1024,3,2,1024,0,0,0,0.32357,0.0860167,0.265836449609049,0.000802567408421853,0.0006448805513490126,0.000802567408421853,885.778,885.778,True,233.339,877.755,0.23148710317460316,0.8707886904761905,75.501568,False
double,lanczos_ta1,1,1024,3,2,1024,0,0,1,0.322962,0.11152,0.34530378186907434,0.001411764705882353,0.0005775199559081254,0.001411764705882353,2210.61,2210.61,True,233.779,677.023,0.2319236111111111,0.6716498015873016,75.501568,False
double,lobpcg_ta0,0,1024,16,12,8,0,0,1,0.0382394,0.0156069,0.4081366339430012,0.0008728318884595916,0.0006355879014838099,0.0008728318884595916,53883.0,53883.0,True,83.1218,203.662,0.08246210317460317,0.20204563492063493,3.178528,True
double,lobpcg_ta0,0,1024,16,12,32,0,0,1,0.104873,0.0508983,0.4853327357851878,0.0036318501796720123,0.0017987565913056747,0.0036318501796720123,53883.0,53883.0,True,121.233,249.794,0.12027083333333334,0.24781150793650794,12.714112,True
double,lobpcg_ta0,0,1024,16,12,128,0,0,1,0.375897,0.133903,0.35622258224992487,0.0038048886133992517,0.0013415643115002249,0.0038048886133992517,53883.0,53883.0,True,135.293,379.802,0.13421924603174604,0.37678769841269844,50.856448,True
double,lobpcg_ta0,0,1024,16,12,512,0,0,1,1.47678,0.530478,0.3592126112217121,0.012340836143501403,0.012340836143501403,0.003304208657097938,53883.0,53883.0,True,137.75,383.476,0.13665674603174602,0.3804325396825397,203.425792,False
double,lobpcg_ta0,0,1024,16,25,8,0,0,1,0.0612955,0.0259995,0.4241665375109102,0.023081466013002584,0.023081466013002584,0.0008585895882613127,111275.0,111275.0,True,79.6546,187.79,0.07902242063492064,0.18629960317460317,4.882464,True
double,lobpcg_ta0,0,1024,16,25,32,0,0,1,0.20076,0.0816064,0.40648734807730624,0.0024808348364834133,0.0019760011954572626,0.0024808348364834133,111275.0,111275.0,True,97.2796,239.318,0.09650753968253968,0.2374186507936508,19.529856,True
double,lobpcg_ta0,0,1024,16,25,128,0,0,1,0.739497,0.270964,0.3664166318457005,0.009591871231391068,0.009591871231391068,0.0025310225712640794,111275.0,111275.0,True,105.639,288.302,0.10480059523809523,0.2860138888888889,78.119424,False
double,lobpcg_ta0,0,1024,16,25,512,0,0,1,3.00017,1.07495,0.35829636320608504,0.008417926415182101,0.0006849078552215375,0.008417926415182101,111275.0,111275.0,True,104.153,290.692,0.1033263888888889,0.28838492063492066,312.477696,False
double,lobpcg_ta0,0,1024,16,50,8,0,0,1,0.104204,0.0547508,0.5254193696979003,0.0038262830601512414,0.0038262830601512414,0.001352361974619549,222439.0,222439.0,True,78.3009,149.026,0.07767946428571429,0.14784325396825398,8.159264,True
double,lobpcg_ta0,0,1024,16,50,32,0,0,1,0.367542,0.133584,0.36345234014071864,0.004550559947299078,0.0029692660974800157,0.004550559947299078,222439.0,222439.0,True,88.7981,244.319,0.08809335317460318,0.2423799603174603,32.637056,True
double,lobpcg_ta0,0,1024,16,50,128,0,0,1,1.42564,0.521878,0.3660657669537891,0.00170492912136553,0.0005990523554333493,0.00170492912136553,222439.0,222439.0,True,91.5715,250.151,0.09084474206349206,0.24816567460317462,130.548224,False
