double    1024   3    1         0.389/0.087 r=0.225     0.343/0.072 r=0.210     0.323/0.063 r=0.196     0.313/0.058 r=0.185
double    1024   3    2         0.397/0.140 r=0.353     0.349/0.125 r=0.357     0.326/0.115 r=0.353     0.315/0.109 r=0.347
double    1024   3    4         0.428/0.249 r=0.582     0.367/0.232 r=0.632     0.338/0.216 r=0.638     0.324/0.264 r=0.816
double    1024   3    8         0.571/0.455 r=0.797     0.509/0.446 r=0.877     0.478/0.481 r=1.006     0.664/0.664 r=0.999
double    1024   3    12        0.765/0.699 r=0.913     0.699/0.713 r=1.021     0.838/0.951 r=1.134     1.021/1.079 r=1.057
double    1024   16   1         0.672/0.565 r=0.840     0.631/0.557 r=0.882     0.618/0.574 r=0.930     0.609/0.565 r=0.928
double    1024   16   2         0.961/0.866 r=0.901     0.901/0.846 r=0.939     0.881/0.854 r=0.969     0.871/0.846 r=0.971
double    1024   16   4         1.473/1.442 r=0.979     1.395/1.423 r=1.020     1.374/1.440 r=1.048     1.366/1.406 r=1.030
double    1024   16   8         2.677/2.804 r=1.047     2.599/2.818 r=1.084     2.579/2.807 r=1.089     2.623/2.823 r=1.076
double    1024   16   12        3.706/4.330 r=1.168     3.617/4.466 r=1.234     3.623/4.333 r=1.196     3.664/4.321 r=1.179
double    2048   3    1         0.685/0.139 r=0.203     0.642/0.122 r=0.191     0.620/0.112 r=0.180     0.611/0.163 r=0.266
double    2048   3    2         0.697/0.240 r=0.345     0.648/0.222 r=0.343     0.623/0.215 r=0.345     0.613/0.293 r=0.477
double    2048   3    4         0.733/0.443 r=0.605     0.673/0.414 r=0.614     0.642/0.531 r=0.827     0.755/0.654 r=0.866
double    2048   3    8         1.007/0.853 r=0.847     0.940/0.965 r=1.027     1.344/1.345 r=1.001     1.385/1.368 r=0.988
double    2048   3    12        1.358/1.289 r=0.949     1.653/1.860 r=1.125     2.079/2.154 r=1.036     2.062/2.123 r=1.030
double    2048   16   1         1.249/1.108 r=0.887     1.226/1.184 r=0.966     1.205/1.156 r=0.960     1.198/1.146 r=0.957
double    2048   16   2         1.729/1.715 r=0.992     1.696/1.722 r=1.015     1.660/1.696 r=1.022     1.654/1.690 r=1.022
double    2048   16   4         2.688/2.873 r=1.068     2.619/2.872 r=1.097     2.599/2.861 r=1.101     2.694/2.850 r=1.058
double    2048   16   8         4.697/5.492 r=1.169     4.634/5.459 r=1.178     4.836/5.472 r=1.131     5.040/5.414 r=1.074
double    2048   16   12        6.763/8.337 r=1.233     6.776/8.413 r=1.241     7.180/8.286 r=1.154     7.151/8.118 r=1.135
float     1024   3    1         0.692/0.082 r=0.119     0.337/0.069 r=0.204     0.318/0.057 r=0.180     0.308/0.053 r=0.171
float     1024   3    2         0.383/0.126 r=0.329     0.338/0.114 r=0.337     0.318/0.102 r=0.321     0.309/0.098 r=0.317
float     1024   3    4         0.398/0.222 r=0.559     0.347/0.201 r=0.578     0.325/0.191 r=0.589     0.313/0.187 r=0.597
float     1024   3    8         0.532/0.423 r=0.796     0.481/0.395 r=0.821     0.456/0.383 r=0.840     0.446/0.398 r=0.893
float     1024   3    12        0.705/0.656 r=0.931     0.654/0.619 r=0.947     0.633/0.604 r=0.954     0.650/0.669 r=1.029
float     1024   16   1         0.736/0.400 r=0.543     0.694/0.445 r=0.641     0.674/0.411 r=0.610     0.668/0.419 r=0.628
float     1024   16   2         1.024/0.686 r=0.670     0.986/0.688 r=0.698     0.951/0.644 r=0.677     0.950/0.651 r=0.685
float     1024   16   4         1.532/1.170 r=0.764     1.488/1.161 r=0.781     1.468/1.128 r=0.769     1.460/1.131 r=0.775
float     1024   16   8         2.747/2.426 r=0.883     2.737/2.400 r=0.877     2.689/2.358 r=0.877     2.674/2.331 r=0.872
float     1024   16   12        3.927/4.050 r=1.031     3.861/3.856 r=0.999     3.848/3.770 r=0.980     3.854/3.730 r=0.968
float     2048   3    1         0.672/0.131 r=0.195     0.632/0.111 r=0.175     0.611/0.102 r=0.167     0.602/0.098 r=0.163
float     2048   3    2         0.673/0.225 r=0.335     0.633/0.199 r=0.314     0.612/0.190 r=0.310     0.603/0.197 r=0.327
float     2048   3    4         0.692/0.395 r=0.571     0.645/0.375 r=0.580     0.621/0.365 r=0.588     0.611/0.403 r=0.661
float     2048   3    8         0.933/0.803 r=0.861     0.884/0.765 r=0.865     0.861/0.808 r=0.938     0.986/0.909 r=0.921
float     2048   3    12        1.272/1.277 r=1.004     1.205/1.227 r=1.018     1.278/1.380 r=1.080     1.427/1.461 r=1.024
float     2048   16   1         1.383/0.963 r=0.696     1.338/0.891 r=0.666     1.327/0.917 r=0.691     1.322/0.902 r=0.682
float     2048   16   2         1.915/1.504 r=0.786     1.867/1.439 r=0.771     1.841/1.442 r=0.783     1.836/1.422 r=0.775
float     2048   16   4         2.826/2.686 r=0.950     2.770/2.558 r=0.923     2.765/2.570 r=0.929     2.746/2.479 r=0.903
float     2048   16   8         5.024/5.274 r=1.050     5.066/5.101 r=1.007     4.924/5.126 r=1.041     5.164/5.082 r=0.984
float     2048   16   12        7.158/8.266 r=1.155     7.088/8.242 r=1.163     7.090/7.719 r=1.089     7.145/7.514 r=1.052

