typ,tag,m,nnzrow,nrhs,batch,transB,beta,pattern,r1,r2,worst,best,spread,relsd1,relsd2,quiet,admitted,tv_us_mean,tn_us_mean,fp_mb,l2res
cfloat,sbL,1024,3,2,32,0,1,1,0.19848995370117656,0.19680368694685876,0.19848995370117656,0.19680368694685876,1.008568268107564,0.002469860571862867,0.001640354010398063,True,True,20.154650000000004,3.9835000000000003,2.359424,True
cfloat,sbL,1024,3,2,64,0,1,1,0.1690042350996798,0.1711087282265867,0.1711087282265867,0.1690042350996798,1.0124523100007858,0.029869331680611507,0.0007798121557381916,False,True,28.83655,4.903625,4.718848,True
cfloat,sbL,1024,3,2,128,0,1,1,0.1386884921360742,0.1414166180525807,0.1414166180525807,0.1386884921360742,1.019670888871081,0.010054553155968343,0.0025065063944564874,True,True,46.462999999999994,6.50725,9.437696,True
double,sbL,1024,3,2,1,0,0,0,0.2630671586515266,0.1782955915531628,0.2630671586515266,0.1782955915531628,1.4754552053693781,0.05567139465860041,0.17082083556507766,False,False,15.735050000000001,3.4292350000000003,0.073732,True
double,sbL,1024,3,2,2,0,0,0,0.1821054311060055,0.18720095079018373,0.18720095079018373,0.1821054311060055,1.0279811516506177,0.013746184389905413,0.02231460859240143,False,True,15.6175,2.88369,0.147464,True
double,sbL,1024,3,2,4,0,0,0,0.17811045999849098,0.18595902252566593,0.18595902252566593,0.17811045999849098,1.0440657024143414,0.013645622259720273,0.06972467139070698,False,True,15.905349999999999,2.89533,0.294928,True
double,sbL,1024,3,2,8,0,0,0,0.17007743989316992,0.17615627831074473,0.17615627831074473,0.17007743989316992,1.035741591720766,0.04046946817452889,0.015155681647889052,False,True,16.721,2.8945250000000002,0.589856,True
double,sbL,1024,3,2,16,0,0,0,0.14903370786516854,0.15373378249431957,0.15373378249431957,0.14903370786516854,1.031536990500184,0.025650378886856548,0.02257745710925096,False,True,19.05185,2.8839449999999998,1.179712,True
double,sbL,1024,3,2,32,0,0,0,0.1685481651676706,0.1275212944215597,0.1685481651676706,0.1275212944215597,1.3217256453693476,0.024360401079150676,0.02256948103942677,False,False,22.90495,3.390485,2.359424,True
double,sbL,1024,3,2,64,0,0,0,0.11335410557184751,0.09907409962320148,0.11335410557184751,0.09907409962320148,1.1441346023123675,0.09406725306945209,0.0069765649901438655,False,False,32.676449999999996,3.4711250000000002,4.718848,True
double,sbL,1024,3,2,128,0,0,0,0.08820639204185131,0.08794401804809958,0.08820639204185131,0.08794401804809958,1.0029834205847659,0.01121201395448643,0.0031099151160653895,True,True,51.20015,4.509469999999999,9.437696,True
double,sbL,1024,3,2,1,0,1,0,0.21340842325917833,0.18528073707819348,0.21340842325917833,0.18528073707819348,1.1518111738141144,0.02900297444056307,0.01797900181232311,False,False,14.6213,2.8995849999999996,0.073732,True
double,sbL,1024,3,2,2,0,1,0,0.19687666715165622,0.20104322928439813,0.20104322928439813,0.19687666715165622,1.021163310985615,0.015828623512271343,0.07809013007829357,False,True,14.5161,2.888295,0.147464,True
double,sbL,1024,3,2,4,0,1,0,0.19278672107075917,0.19697584860358933,0.19697584860358933,0.19278672107075917,1.021729336489377,0.013983881772599014,0.016443118242017104,True,True,14.8028,2.88484,0.294928,True
double,sbL,1024,3,2,8,0,1,0,0.18122802651812434,0.18803683549602343,0.18803683549602343,0.18122802651812434,1.0375703974088033,0.014600705569208453,0.014643261996006754,True,True,15.6004,2.880095,0.589856,True
double,sbL,1024,3,2,16,0,1,0,0.21812418918995474,0.16568682999796022,0.21812418918995474,0.16568682999796022,1.3164847754805864,0.029114236368122378,0.01320681613000301,False,False,17.65065,3.3872950000000004,1.179712,True
double,sbL,1024,3,2,32,0,1,0,0.11167132450634534,0.13445862381707083,0.13445862381707083,0.11167132450634534,1.204056855342758,0.014693737307431948,0.0034466618064876576,True,True,24.011900000000004,2.93018,2.359424,True
double,sbL,1024,3,2,64,0,1,0,0.1200072621641249,0.11257754441616251,0.1200072621641249,0.11257754441616251,1.0659964452635167,0.040997690898956926,0.003337527729884649,False,False,31.334,3.6441350000000003,4.718848,True
double,sbL,1024,3,2,128,0,1,0,0.10286556374139945,0.10348401484270753,0.10348401484270753,0.10286556374139945,1.0060122268212406,0.0040626361859839605,0.06494601750285073,False,True,49.26775,5.08318,9.437696,True
double,sbL,1024,3,2,1,0,0,1,0.25988664517223825,0.20045990106430817,0.25988664517223825,0.20045990106430817,1.2964520275247757,0.02088116841395954,0.009402991771282945,False,False,15.705,3.585975,0.073732,True
double,sbL,1024,3,2,2,0,0,1,0.213769515685862,0.21829375436886356,0.21829375436886356,0.213769515685862,1.0211640966135227,0.012650654149307676,0.10381090037368682,False,True,15.6397,3.378565,0.147464,True
double,sbL,1024,3,2,4,0,0,1,0.20908608759133196,0.2093086119174704,0.2093086119174704,0.20908608759133196,1.0010642713185842,0.0015404855647138836,0.004008160319254596,True,True,16.0226,3.351885,0.294928,True
double,sbL,1024,3,2,8,0,0,1,0.18915606282335148,0.22269013347137337,0.22269013347137337,0.18915606282335148,1.1772825578387016,0.10877938384371413,0.017035166454905423,False,False,17.6908,3.63136,0.589856,True
double,sbL,1024,3,2,16,0,0,1,0.17125012360994993,0.1915676073361711,0.1915676073361711,0.17125012360994993,1.1186421550999726,0.050498934706976986,0.0014946870565978243,False,False,20.6382,3.727605,1.179712,True
double,sbL,1024,3,2,32,0,0,1,0.15089809775604437,0.1809127524987768,0.1809127524987768,0.15089809775604437,1.1989067800659545,0.015405758906783798,0.08893659252748527,False,False,25.0243,4.119655,2.359424,True
double,sbL,1024,3,2,64,0,0,1,0.15021056269324518,0.15029950524477123,0.15029950524477123,0.15021056269324518,1.0005921191554796,0.001428056030621386,0.023747981924534117,False,True,32.75110000000001,4.9210199999999995,4.718848,True
double,sbL,1024,3,2,128,0,0,1,0.13367675228431736,0.13552079857798174,0.13552079857798174,0.13367675228431736,1.0137948166914041,0.007344666782314105,0.0024799272600978324,True,True,51.2842,6.90276,9.437696,True
double,sbL,1024,3,2,1,0,1,1,0.2619853161851361,0.26655559101400444,0.26655559101400444,0.2619853161851361,1.0174447747508057,0.0024997569194145954,0.03390363760388679,False,True,13.5678,3.5853550000000003,0.073732,True
double,sbL,1024,3,2,2,0,1,1,0.2490799815717098,0.2525166607598279,0.2525166607598279,0.2490799815717098,1.013797492542084,0.002535021172725158,0.07505352611909492,False,True,14.357949999999999,3.601005,0.147464,True
double,sbL,1024,3,2,4,0,1,1,0.239786279611861,0.23904099482198912,0.239786279611861,0.23904099482198912,1.0031178116139738,0.0015699503984387706,0.0012674590185925468,True,True,14.8334,3.55129,0.294928,True
double,sbL,1024,3,2,8,0,1,1,0.23547457369447894,0.23679819501717667,0.23679819501717667,0.23547457369447894,1.0056210796007856,0.04024495147845035,0.007496702858957726,False,True,15.738349999999999,3.716365,0.589856,True
double,sbL,1024,3,2,16,0,1,1,0.2196746157804076,0.2196634686179672,0.2196746157804076,0.2196634686179672,1.000050746546572,0.055994979467243064,0.00719002916068284,False,True,17.7685,3.90319,1.179712,True
double,sbL,1024,3,2,32,0,1,1,0.2044970621281612,0.20329266370606613,0.2044970621281612,0.20329266370606613,1.0059244559057796,0.11136921462573238,0.0635514551461987,False,True,21.644299999999998,4.413205,2.359424,True
double,sbL,1024,3,2,64,0,1,1,0.16470569510452113,0.16452663410095372,0.16470569510452113,0.16452663410095372,1.0010883405264193,0.005847771902962626,0.001353207340349938,True,True,31.3987,5.168735,4.718848,True
double,sbL,1024,3,2,128,0,1,1,0.14977008423498364,0.15018015951475686,0.15018015951475686,0.14977008423498364,1.0027380319765984,0.021980662292822344,0.0009357414147647574,False,True,49.335649999999994,7.399105,9.437696,True
float,sbL,1024,3,2,1,0,0,0,0.18503723634879748,0.24607542930508747,0.24607542930508747,0.18503723634879748,1.329869782756765,0.02366299684705639,0.04479500370443802,False,False,15.63055,3.367645,0.04506,True
float,sbL,1024,3,2,2,0,0,0,0.16856045277264597,0.16989460206053564,0.16989460206053564,0.16856045277264597,1.0079149602765316,0.013741666782647422,0.01207437491713247,True,True,16.959950000000003,2.87003,0.09012,True
float,sbL,1024,3,2,4,0,0,0,0.1899334662248683,0.18894995490844455,0.1899334662248683,0.18894995490844455,1.0052051418424541,0.00996191177850448,0.04012520103066042,False,True,15.2262,2.88444,0.18024,True
float,sbL,1024,3,2,8,0,0,0,0.17885935989290228,0.17805317990981184,0.17885935989290228,0.17805317990981184,1.0045277483024946,0.01160880985217578,0.012025605645119031,True,True,16.10615,2.8742550000000002,0.36048,True
float,sbL,1024,3,2,16,0,0,0,0.15896369263536222,0.15828979227730341,0.15896369263536222,0.15828979227730341,1.0042573835517974,0.013718257374337933,0.018324576541131253,True,True,18.03875,2.861425,0.72096,True
float,sbL,1024,3,2,32,0,0,0,0.13599541226185832,0.13551871164489288,0.13599541226185832,0.13551871164489288,1.0035175999770023,0.012177119985621359,0.008650442247387667,True,True,21.26145,2.886395,1.44192,True
float,sbL,1024,3,2,64,0,0,0,0.12122016364085673,0.09727669471328558,0.12122016364085673,0.09727669471328558,1.246137772239717,0.09918762985634817,0.010785165467175884,False,False,29.560999999999996,3.229245,2.88384,True
float,sbL,1024,3,2,128,0,0,0,0.0662629343798052,0.06478033847976045,0.0662629343798052,0.06478033847976045,1.022886510549925,0.09709004926850866,0.008858938124883312,False,True,48.00775,3.145585,5.76768,True
float,sbL,1024,3,2,1,0,1,0,0.19697570310631174,0.20013830481820288,0.20013830481820288,0.19697570310631174,1.016055796029748,0.01676639891743724,0.01652102078400421,True,True,14.437700000000001,2.8664,0.04506,True
float,sbL,1024,3,2,2,0,1,0,0.21111620928742061,0.20917172719841173,0.21111620928742061,0.20917172719841173,1.009296103804528,0.009826681523850264,0.013101520681689708,True,True,13.715600000000002,2.8822650000000003,0.09012,True
float,sbL,1024,3,2,4,0,1,0,0.21079539489799487,0.20056390578957412,0.21079539489799487,0.20056390578957412,1.0510136111886221,0.17089128305582765,0.017636598737245615,False,False,14.2199,2.925095,0.18024,True
float,sbL,1024,3,2,8,0,1,0,0.19392613734878694,0.19187876691369193,0.19392613734878694,0.19187876691369193,1.0106701250379408,0.01254484181568088,0.037096617620546675,False,True,15.013800000000002,2.8961799999999998,0.36048,True
float,sbL,1024,3,2,16,0,1,0,0.1718785494805055,0.17180073235526408,0.1718785494805055,0.17180073235526408,1.0004529499040813,0.011558423038797975,0.010373414503332939,True,True,16.720499999999998,2.873245,0.72096,True
float,sbL,1024,3,2,32,0,1,0,0.14582091798344618,0.14361257331929614,0.14582091798344618,0.14361257331929614,1.0153770983494612,0.04537073348607127,0.0111171386282395,False,True,19.941,2.88579,1.44192,True
float,sbL,1024,3,2,64,0,1,0,0.10323260144583772,0.10251818710381894,0.10323260144583772,0.10251818710381894,1.0069686595344816,0.1259903222598312,0.06268194251844064,False,True,28.2267,2.90384,2.88384,True
float,sbL,1024,3,2,128,0,1,0,0.07206212248222717,0.07279182650735429,0.07279182650735429,0.07206212248222717,1.0101260412542954,0.02026264559441396,0.002565947087071934,False,True,46.3897,3.3598600000000003,5.76768,True
float,sbL,1024,3,2,1,0,0,1,0.18561033465828952,0.18282718451540703,0.18561033465828952,0.18282718451540703,1.0152228463740738,0.013886430754883168,0.03543031040779063,False,True,15.6623,2.8852,0.04506,True
float,sbL,1024,3,2,2,0,0,1,0.19591836734693877,0.18999920465541695,0.19591836734693877,0.18999920465541695,1.0311536182599124,0.010722684265695684,0.01823896716399167,True,True,14.94535,2.8834150000000003,0.09012,True
float,sbL,1024,3,2,4,0,0,1,0.2454260907963349,0.18571372834625188,0.2454260907963349,0.18571372834625188,1.3215290704775091,0.03609153858162296,0.02270761700011905,False,False,15.38885,3.317685,0.18024,True
float,sbL,1024,3,2,8,0,0,1,0.179240383254463,0.17649373485975678,0.179240383254463,0.17649373485975678,1.0155622996866644,0.006529520618255851,0.007597261896467637,True,True,16.25745,2.891655,0.36048,True
float,sbL,1024,3,2,16,0,0,1,0.17084917474249486,0.16754350062499307,0.17084917474249486,0.16754350062499307,1.0197302438182951,0.006771241225840107,0.0013916604904813,True,True,17.904,3.029,0.72096,True
float,sbL,1024,3,2,32,0,0,1,0.1526151030177876,0.15297557555217953,0.15297557555217953,0.1526151030177876,1.0023619715694188,0.005178964071874702,0.0012148369755755524,True,True,21.34975,3.26215,1.44192,True
float,sbL,1024,3,2,64,0,0,1,0.12152675503190967,0.1320559316569955,0.1320559316569955,0.12152675503190967,1.0866408110898802,0.0039403967096726,0.06720474403181674,False,False,29.7597,3.7733749999999997,2.88384,True
float,sbL,1024,3,2,128,0,0,1,0.08639367002372099,0.08826587907183375,0.08826587907183375,0.08639367002372099,1.0216706738769024,0.000794757543512959,0.003431285738918896,True,True,48.676899999999996,4.25089,5.76768,True
float,sbL,1024,3,2,1,0,1,1,0.19750487011885126,0.19696296346478245,0.19750487011885126,0.19696296346478245,1.0027513124525347,0.014781701709407584,0.004096973574236686,True,True,14.7469,2.908585,0.04506,True
float,sbL,1024,3,2,2,0,1,1,0.21246094119875011,0.20880147224626666,0.21246094119875011,0.20880147224626666,1.017526068725068,0.059049894752720315,0.017123607404878522,False,True,13.7385,2.8937399999999998,0.09012,True
float,sbL,1024,3,2,4,0,1,1,0.20293468435325526,0.20451120420614616,0.20451120420614616,0.20293468435325526,1.007768607214263,0.0048300771403512405,0.036149356943021925,False,True,14.248750000000001,2.90278,0.18024,True
float,sbL,1024,3,2,8,0,1,1,0.2026974251238957,0.1995558531265951,0.2026974251238957,0.1995558531265951,1.015742820609264,0.0015646345076492135,0.0033197866007600523,True,True,14.96815,3.01031,0.36048,True
float,sbL,1024,3,2,16,0,1,1,0.1912383899072392,0.1945093863291018,0.1945093863291018,0.1912383899072392,1.017104287603808,0.0017011806467473753,0.0035362522990237994,True,True,16.69655,3.2203600000000003,0.72096,True
float,sbL,1024,3,2,32,0,1,1,0.17473047370682335,0.17462644868065916,0.17473047370682335,0.17462644868065916,1.0005957002902488,0.0010086678057212514,0.09467834970844774,False,True,20.03035,3.49887,1.44192,True
float,sbL,1024,3,2,64,0,1,1,0.13374733329108845,0.13465711476726935,0.13465711476726935,0.13374733329108845,1.0068022401179457,0.0007215110998458062,0.0008782414732383546,True,True,28.392049999999998,3.81027,2.88384,True
float,sbL,1024,3,2,128,0,1,1,0.09339728496017545,0.09527606800691898,0.09527606800691898,0.09339728496017545,1.020116034931258,0.0005766229460817232,0.08133552772616837,False,True,47.028749999999995,4.436509999999999,5.76768,True
cdouble,sbM,1024,16,12,1,0,0,1,0.6541056961568145,0.6414178659753881,0.6541056961568145,0.6414178659753881,1.0197809117183418,0.006715275436781476,0.016131931408480082,True,True,26.576249999999998,17.21335,0.724996,True
cdouble,sbM,1024,16,12,2,0,0,1,0.6738373643393862,0.6609251279917053,0.6738373643393862,0.6609251279917053,1.0195366098228344,0.0018929010923481417,0.0195974943403808,True,True,27.6241,18.4342,1.449992,True
cdouble,sbM,1024,16,12,4,0,0,1,0.48885395897901573,0.45450396669908866,0.48885395897901573,0.45450396669908866,1.0755768811643156,0.007566869078445921,0.00827588034905108,True,True,41.95590000000001,19.765150000000002,2.899984,True
cdouble,sbM,1024,16,12,8,0,0,1,0.4598959978359329,0.4511278535850036,0.4598959978359329,0.4511278535850036,1.0194360516231729,0.001587787237817962,0.0007286459221797433,True,True,66.2218,30.1646,5.799968,True
cdouble,sbM,1024,16,12,16,0,0,1,0.49861732514344936,0.4974213316226619,0.49861732514344936,0.4974213316226619,1.0024043872764483,0.0007314198326634818,0.0014560439840150686,True,True,118.5775,59.05394999999999,11.599936,True
cdouble,sbM,1024,16,12,32,0,0,1,0.592521692459075,0.5813657722463442,0.592521692459075,0.5813657722463442,1.0191891589517308,0.0017193302937890634,0.006541882164993998,True,True,223.8365,131.378,23.199872,True
cdouble,sbM,1024,16,12,64,0,0,1,0.49642623132365565,0.4889608438158808,0.49642623132365565,0.4889608438158808,1.0152678636790515,0.003945275574083628,0.004742216327240765,True,True,437.9985,215.782,46.399744,True
cdouble,sbM,1024,16,12,128,0,0,1,0.49852667330327344,0.49851110860811537,0.49852667330327344,0.49851110860811537,1.0000312223637333,0.0030540070054761114,0.004446099786531477,True,True,853.081,425.27700000000004,92.799488,False
cfloat,sbM,1024,16,12,1,0,0,1,0.8744909016179053,0.8559594076835456,0.8744909016179053,0.8559594076835456,1.0216499681737372,0.023574088604914743,0.08964177158903325,False,True,16.237350000000003,14.0473,0.397316,True
cfloat,sbM,1024,16,12,2,0,0,1,0.7140488788107835,0.7979163733633676,0.7979163733633676,0.7140488788107835,1.1174534363701567,0.014185638699924414,0.001376072082218781,True,True,18.80125,14.169649999999999,0.794632,True
cfloat,sbM,1024,16,12,4,0,0,1,0.6799055912753317,0.6772691728779544,0.6799055912753317,0.6772691728779544,1.0038927187342281,0.001649200148304893,0.0009286376148655062,True,True,22.12015,15.010450000000002,1.589264,True
