shape,type,m,n,k,batch,transA,vendor,route
G1_N512_nb48_j432,cfloat,48,32,80,512,C,vendor_present,Vendor:Auto
G1_N512_nb48_j432,cfloat,48,32,80,512,C,vendor_free,Native:RegisterTiled
G3_N512_nb48_j432,cfloat,80,32,48,512,N,vendor_present,Vendor:Auto
G3_N512_nb48_j432,cfloat,80,32,48,512,N,vendor_free,Native:RegisterTiled
G1_N1024_nb56_j0,cfloat,56,968,1024,128,C,vendor_present,Vendor:Auto
G1_N1024_nb56_j0,cfloat,56,968,1024,128,C,vendor_free,Native:RegisterTiled
G3_N1024_nb56_j0,cfloat,1024,968,56,128,N,vendor_present,Vendor:Auto
G3_N1024_nb56_j0,cfloat,1024,968,56,128,N,vendor_free,Native:RegisterTiled
G1_N1024_nb56_j504,cfloat,56,464,520,128,C,vendor_present,Vendor:Auto
G1_N1024_nb56_j504,cfloat,56,464,520,128,C,vendor_free,Native:RegisterTiled
G3_N1024_nb56_j504,cfloat,520,464,56,128,N,vendor_present,Vendor:Auto
G3_N1024_nb56_j504,cfloat,520,464,56,128,N,vendor_free,Native:RegisterTiled
G1_N1024_nb56_j952,cfloat,56,16,72,128,C,vendor_present,Vendor:Auto
G1_N1024_nb56_j952,cfloat,56,16,72,128,C,vendor_free,Native:RegisterTiled
G3_N1024_nb56_j952,cfloat,72,16,56,128,N,vendor_present,Vendor:Auto
G3_N1024_nb56_j952,cfloat,72,16,56,128,N,vendor_free,Native:RegisterTiled
G1_N2048_nb56_j0,cfloat,56,1992,2048,32,C,vendor_present,Vendor:Auto
G1_N2048_nb56_j0,cfloat,56,1992,2048,32,C,vendor_free,Native:RegisterTiled
G3_N2048_nb56_j0,cfloat,2048,1992,56,32,N,vendor_present,Vendor:Auto
G3_N2048_nb56_j0,cfloat,2048,1992,56,32,N,vendor_free,Native:RegisterTiled
G1_N2048_nb56_j1008,cfloat,56,984,1040,32,C,vendor_present,Vendor:Auto
G1_N2048_nb56_j1008,cfloat,56,984,1040,32,C,vendor_free,Native:RegisterTiled
G3_N2048_nb56_j1008,cfloat,1040,984,56,32,N,vendor_present,Vendor:Auto
G3_N2048_nb56_j1008,cfloat,1040,984,56,32,N,vendor_free,Native:RegisterTiled
G1_N2048_nb56_j1960,cfloat,56,32,88,32,C,vendor_present,Vendor:Auto
G1_N2048_nb56_j1960,cfloat,56,32,88,32,C,vendor_free,Native:RegisterTiled
G3_N2048_nb56_j1960,cfloat,88,32,56,32,N,vendor_present,Vendor:Auto
G3_N2048_nb56_j1960,cfloat,88,32,56,32,N,vendor_free,Native:RegisterTiled
G1_N256_nb24_j0,cdouble,24,232,256,2048,C,vendor_present,Vendor:Auto
G1_N256_nb24_j0,cdouble,24,232,256,2048,C,vendor_free,Native:RegisterTiled
G3_N256_nb24_j0,cdouble,256,232,24,2048,N,vendor_present,Vendor:Auto
G3_N256_nb24_j0,cdouble,256,232,24,2048,N,vendor_free,Native:RegisterTiled
G1_N256_nb24_j120,cdouble,24,112,136,2048,C,vendor_present,Vendor:Auto
G1_N256_nb24_j120,cdouble,24,112,136,2048,C,vendor_free,Native:RegisterTiled
G3_N256_nb24_j120,cdouble,136,112,24,2048,N,vendor_present,Vendor:Auto
G3_N256_nb24_j120,cdouble,136,112,24,2048,N,vendor_free,Native:RegisterTiled
G1_N256_nb24_j216,cdouble,24,16,40,2048,C,vendor_present,Vendor:Auto
G1_N256_nb24_j216,cdouble,24,16,40,2048,C,vendor_free,Native:RegisterTiled
G3_N256_nb24_j216,cdouble,40,16,24,2048,N,vendor_present,Vendor:Auto
G3_N256_nb24_j216,cdouble,40,16,24,2048,N,vendor_free,Native:RegisterTiled
G1_N512_nb48_j0,cdouble,48,464,512,512,C,vendor_present,Vendor:Auto
G1_N512_nb48_j0,cdouble,48,464,512,512,C,vendor_free,Native:RegisterTiled
G3_N512_nb48_j0,cdouble,512,464,48,512,N,vendor_present,Vendor:Auto
G3_N512_nb48_j0,cdouble,512,464,48,512,N,vendor_free,Native:RegisterTiled
G1_N512_nb48_j240,cdouble,48,224,272,512,C,vendor_present,Vendor:Auto
G1_N512_nb48_j240,cdouble,48,224,272,512,C,vendor_free,Native:RegisterTiled
G3_N512_nb48_j240,cdouble,272,224,48,512,N,vendor_present,Vendor:Auto
G3_N512_nb48_j240,cdouble,272,224,48,512,N,vendor_free,Native:RegisterTiled
G1_N512_nb48_j432,cdouble,48,32,80,512,C,vendor_present,Vendor:Auto
G1_N512_nb48_j432,cdouble,48,32,80,512,C,vendor_free,Native:RegisterTiled
G3_N512_nb48_j432,cdouble,80,32,48,512,N,vendor_present,Vendor:Auto
G3_N512_nb48_j432,cdouble,80,32,48,512,N,vendor_free,Native:RegisterTiled
G1_N1024_nb56_j0,cdouble,56,968,1024,128,C,vendor_present,Vendor:Auto
G1_N1024_nb56_j0,cdouble,56,968,1024,128,C,vendor_free,Native:RegisterTiled
G3_N1024_nb56_j0,cdouble,1024,968,56,128,N,vendor_present,Vendor:Auto
G3_N1024_nb56_j0,cdouble,1024,968,56,128,N,vendor_free,Native:RegisterTiled
G1_N1024_nb56_j504,cdouble,56,464,520,128,C,vendor_present,Vendor:Auto
G1_N1024_nb56_j504,cdouble,56,464,520,128,C,vendor_free,Native:RegisterTiled
G3_N1024_nb56_j504,cdouble,520,464,56,128,N,vendor_present,Vendor:Auto
