== (a) wide nb, vendor-free ==
nb_forced,op,type,n,batch,med_ms,mean_ms,rel_sd,GFLOPs,res,ortho,recon,ws,route,nbused,dQ
8,synthI,float,256,512,8.1731,8.1758,0.0009,2102.00,-1.000e+00,1.442e-06,-1.000e+00,12713984,route=1:3,nb=8,dQ=-1.000e+00
16,synthI,float,256,512,5.2325,5.2297,0.0008,3283.33,-1.000e+00,1.390e-06,-1.000e+00,25690112,route=1:3,nb=16,dQ=-1.000e+00
24,synthI,float,256,512,4.9648,4.9638,0.0006,3460.31,-1.000e+00,1.614e-06,-1.000e+00,38928384,route=1:3,nb=24,dQ=-1.000e+00
32,synthI,float,256,512,5.1715,5.1712,0.0002,3322.03,-1.000e+00,1.699e-06,-1.000e+00,52428800,route=1:3,nb=32,dQ=-1.000e+00
48,synthI,float,256,512,6.9907,6.9884,0.0006,2457.52,-1.000e+00,2.287e-06,-1.000e+00,80216064,route=1:3,nb=48,dQ=-1.000e+00
56,synthI,float,256,512,7.8414,7.8433,0.0005,2190.92,-1.000e+00,1.681e-06,-1.000e+00,94502912,route=1:3,nb=56,dQ=-1.000e+00
64,synthI,float,256,512,9.3739,9.3726,0.0003,1832.73,-1.000e+00,1.939e-06,-1.000e+00,109051904,route=1:3,nb=64,dQ=-1.000e+00
96,synthI,float,256,512,13.1263,13.1264,0.0001,1308.81,-1.000e+00,2.103e-06,-1.000e+00,169869312,route=1:3,nb=96,dQ=-1.000e+00
128,synthI,float,256,512,20.2538,20.2556,0.0003,848.23,-1.000e+00,3.097e-06,-1.000e+00,234881024,route=1:3,nb=128,dQ=-1.000e+00
8,synthI,double,256,512,29.7214,29.7129,0.0011,578.03,-1.000e+00,4.247e-15,-1.000e+00,25427968,route=1:3,nb=8,dQ=-1.000e+00
16,synthI,double,256,512,18.5270,18.5190,0.0008,927.29,-1.000e+00,4.024e-15,-1.000e+00,51380224,route=1:3,nb=16,dQ=-1.000e+00
24,synthI,double,256,512,24.4652,24.4598,0.0007,702.22,-1.000e+00,4.136e-15,-1.000e+00,77856768,route=1:3,nb=24,dQ=-1.000e+00
32,synthI,double,256,512,24.0483,24.0633,0.0014,714.39,-1.000e+00,5.253e-15,-1.000e+00,104857600,route=1:3,nb=32,dQ=-1.000e+00
48,synthI,double,256,512,40.3148,40.3151,0.0006,426.14,-1.000e+00,6.036e-15,-1.000e+00,160432128,route=1:3,nb=48,dQ=-1.000e+00
56,synthI,double,256,512,45.9730,46.0087,0.0012,373.69,-1.000e+00,4.471e-15,-1.000e+00,189005824,route=1:3,nb=56,dQ=-1.000e+00
64,synthI,double,256,512,53.1601,53.1552,0.0003,323.17,-1.000e+00,5.019e-15,-1.000e+00,218103808,route=1:3,nb=64,dQ=-1.000e+00
96,synthI,double,256,512,72.7963,72.7764,0.0010,236.00,-1.000e+00,4.471e-15,-1.000e+00,339738624,route=1:3,nb=96,dQ=-1.000e+00
128,synthI,double,256,512,109.0403,109.0092,0.0014,157.56,-1.000e+00,6.949e-15,-1.000e+00,469762048,route=1:3,nb=128,dQ=-1.000e+00
8,synthI,cfloat,256,512,17.2160,17.2178,0.0002,997.90,-1.000e+00,1.787e-06,-1.000e+00,25427968,route=1:3,nb=8,dQ=-1.000e+00
16,synthI,cfloat,256,512,11.1222,11.1223,0.0004,1544.65,-1.000e+00,1.954e-06,-1.000e+00,51380224,route=1:3,nb=16,dQ=-1.000e+00
24,synthI,cfloat,256,512,10.5960,10.5945,0.0005,1621.36,-1.000e+00,1.916e-06,-1.000e+00,77856768,route=1:3,nb=24,dQ=-1.000e+00
32,synthI,cfloat,256,512,11.8135,11.8143,0.0004,1454.26,-1.000e+00,2.169e-06,-1.000e+00,104857600,route=1:3,nb=32,dQ=-1.000e+00
48,synthI,cfloat,256,512,16.0186,16.0259,0.0009,1072.50,-1.000e+00,2.052e-06,-1.000e+00,160432128,route=1:3,nb=48,dQ=-1.000e+00
56,synthI,cfloat,256,512,18.6754,18.6792,0.0003,919.92,-1.000e+00,2.169e-06,-1.000e+00,189005824,route=1:3,nb=56,dQ=-1.000e+00
64,synthI,cfloat,256,512,23.9123,23.9204,0.0006,718.45,-1.000e+00,2.402e-06,-1.000e+00,218103808,route=1:3,nb=64,dQ=-1.000e+00
96,synthI,cfloat,256,512,40.3484,40.3575,0.0007,425.79,-1.000e+00,2.516e-06,-1.000e+00,339738624,route=1:3,nb=96,dQ=-1.000e+00
128,synthI,cfloat,256,512,76.4083,76.4354,0.0007,224.84,-1.000e+00,3.005e-06,-1.000e+00,469762048,route=1:3,nb=128,dQ=-1.000e+00
8,synthI,cdouble,256,512,144.0722,144.0767,0.0002,119.24,-1.000e+00,3.765e-15,-1.000e+00,50855936,route=1:3,nb=8,dQ=-1.000e+00
16,synthI,cdouble,256,512,80.7339,80.7234,0.0002,212.80,-1.000e+00,4.001e-15,-1.000e+00,102760448,route=1:3,nb=16,dQ=-1.000e+00
24,synthI,cdouble,256,512,117.5369,117.5360,0.0001,146.17,-1.000e+00,4.043e-15,-1.000e+00,155713536,route=1:3,nb=24,dQ=-1.000e+00
32,synthI,cdouble,256,512,103.0368,103.0315,0.0001,166.74,-1.000e+00,4.397e-15,-1.000e+00,209715200,route=1:3,nb=32,dQ=-1.000e+00
48,synthI,cdouble,256,512,166.9790,166.9827,0.0001,102.89,-1.000e+00,4.267e-15,-1.000e+00,320864256,route=1:3,nb=48,dQ=-1.000e+00
56,synthI,cdouble,256,512,185.9707,185.9669,0.0000,92.38,-1.000e+00,4.691e-15,-1.000e+00,378011648,route=1:3,nb=56,dQ=-1.000e+00
64,synthI,cdouble,256,512,204.4257,204.4614,0.0005,84.04,-1.000e+00,5.063e-15,-1.000e+00,436207616,route=1:3,nb=64,dQ=-1.000e+00
96,synthI,cdouble,256,512,297.0838,297.0440,0.0002,57.83,-1.000e+00,5.603e-15,-1.000e+00,679477248,route=1:3,nb=96,dQ=-1.000e+00
128,synthI,cdouble,256,512,478.3284,478.2116,0.0004,35.92,-1.000e+00,5.379e-15,-1.000e+00,939524096,route=1:3,nb=128,dQ=-1.000e+00
8,synthI,float,1024,64,61.6171,61.6214,0.0002,2230.53,-1.000e+00,3.869e-06,-1.000e+00,6307840,route=1:3,nb=8,dQ=-1.000e+00
16,synthI,float,1024,64,34.3204,34.3298,0.0011,4004.58,-1.000e+00,3.165e-06,-1.000e+00,12648448,route=1:3,nb=16,dQ=-1.000e+00
24,synthI,float,1024,64,27.3765,27.3879,0.0008,5020.33,-1.000e+00,2.888e-06,-1.000e+00,19021824,route=1:3,nb=24,dQ=-1.000e+00
32,synthI,float,1024,64,24.8682,24.8802,0.0008,5526.70,-1.000e+00,3.488e-06,-1.000e+00,25427968,route=1:3,nb=32,dQ=-1.000e+00
48,synthI,float,1024,64,26.3256,26.3369,0.0012,5220.73,-1.000e+00,3.258e-06,-1.000e+00,38338560,route=1:3,nb=48,dQ=-1.000e+00
56,synthI,float,1024,64,28.7515,28.7487,0.0002,4780.23,-1.000e+00,3.455e-06,-1.000e+00,44843008,route=1:3,nb=56,dQ=-1.000e+00
64,synthI,float,1024,64,31.7986,31.8015,0.0001,4322.17,-1.000e+00,3.533e-06,-1.000e+00,51380224,route=1:3,nb=64,dQ=-1.000e+00
96,synthI,float,1024,64,46.0628,46.0623,0.0000,2983.73,-1.000e+00,3.539e-06,-1.000e+00,77856768,route=1:3,nb=96,dQ=-1.000e+00
128,synthI,float,1024,64,66.4191,66.4243,0.0002,2069.27,-1.000e+00,4.201e-06,-1.000e+00,104857600,route=1:3,nb=128,dQ=-1.000e+00
8,synthI,double,1024,64,220.6682,220.6384,0.0002,622.83,-1.000e+00,1.010e-14,-1.000e+00,12615680,route=1:3,nb=8,dQ=-1.000e+00
16,synthI,double,1024,64,123.5944,123.6713,0.0009,1112.02,-1.000e+00,8.997e-15,-1.000e+00,25296896,route=1:3,nb=16,dQ=-1.000e+00
24,synthI,double,1024,64,151.3980,151.3962,0.0001,907.80,-1.000e+00,9.580e-15,-1.000e+00,38043648,route=1:3,nb=24,dQ=-1.000e+00
32,synthI,double,1024,64,135.4400,135.4417,0.0000,1014.76,-1.000e+00,9.771e-15,-1.000e+00,50855936,route=1:3,nb=32,dQ=-1.000e+00
48,synthI,double,1024,64,154.3103,154.3102,0.0003,890.67,-1.000e+00,9.218e-15,-1.000e+00,76677120,route=1:3,nb=48,dQ=-1.000e+00
56,synthI,double,1024,64,173.7068,173.6511,0.0009,791.21,-1.000e+00,9.803e-15,-1.000e+00,89686016,route=1:3,nb=56,dQ=-1.000e+00
64,synthI,double,1024,64,178.8025,179.0256,0.0019,768.66,-1.000e+00,9.219e-15,-1.000e+00,102760448,route=1:3,nb=64,dQ=-1.000e+00
96,synthI,double,1024,64,231.0609,231.3444,0.0018,594.82,-1.000e+00,9.914e-15,-1.000e+00,155713536,route=1:3,nb=96,dQ=-1.000e+00
128,synthI,double,1024,64,304.3479,304.3692,0.0001,451.59,-1.000e+00,1.122e-14,-1.000e+00,209715200,route=1:3,nb=128,dQ=-1.000e+00
8,synthI,cfloat,1024,64,125.1431,125.1540,0.0003,1098.25,-1.000e+00,3.627e-06,-1.000e+00,12615680,route=1:3,nb=8,dQ=-1.000e+00
16,synthI,cfloat,1024,64,70.7022,70.7014,0.0004,1943.91,-1.000e+00,3.767e-06,-1.000e+00,25296896,route=1:3,nb=16,dQ=-1.000e+00
24,synthI,cfloat,1024,64,58.4471,58.4306,0.0004,2351.51,-1.000e+00,3.524e-06,-1.000e+00,38043648,route=1:3,nb=24,dQ=-1.000e+00
32,synthI,cfloat,1024,64,57.7780,57.7920,0.0006,2378.74,-1.000e+00,3.441e-06,-1.000e+00,50855936,route=1:3,nb=32,dQ=-1.000e+00
48,synthI,cfloat,1024,64,69.3724,69.3694,0.0002,1981.18,-1.000e+00,4.058e-06,-1.000e+00,76677120,route=1:3,nb=48,dQ=-1.000e+00
56,synthI,cfloat,1024,64,79.6320,79.6207,0.0002,1725.93,-1.000e+00,3.974e-06,-1.000e+00,89686016,route=1:3,nb=56,dQ=-1.000e+00
64,synthI,cfloat,1024,64,93.2937,93.3511,0.0009,1473.19,-1.000e+00,3.927e-06,-1.000e+00,102760448,route=1:3,nb=64,dQ=-1.000e+00
96,synthI,cfloat,1024,64,163.2421,163.2412,0.0001,841.93,-1.000e+00,3.845e-06,-1.000e+00,155713536,route=1:3,nb=96,dQ=-1.000e+00
128,synthI,cfloat,1024,64,261.8192,261.8169,0.0000,524.94,-1.000e+00,4.731e-06,-1.000e+00,209715200,route=1:3,nb=128,dQ=-1.000e+00
8,synthI,cdouble,1024,64,1013.1035,1013.0995,0.0000,135.66,-1.000e+00,8.719e-15,-1.000e+00,25231360,route=1:3,nb=8,dQ=-1.000e+00
16,synthI,cdouble,1024,64,534.9247,534.9635,0.0002,256.93,-1.000e+00,9.909e-15,-1.000e+00,50593792,route=1:3,nb=16,dQ=-1.000e+00
24,synthI,cdouble,1024,64,714.7038,714.7035,0.0000,192.30,-1.000e+00,8.209e-15,-1.000e+00,76087296,route=1:3,nb=24,dQ=-1.000e+00
32,synthI,cdouble,1024,64,577.1796,577.1647,0.0001,238.12,-1.000e+00,8.599e-15,-1.000e+00,101711872,route=1:3,nb=32,dQ=-1.000e+00
48,synthI,cdouble,1024,64,745.2171,745.2483,0.0001,184.43,-1.000e+00,9.767e-15,-1.000e+00,153354240,route=1:3,nb=48,dQ=-1.000e+00
56,synthI,cdouble,1024,64,787.4417,787.4465,0.0000,174.54,-1.000e+00,9.094e-15,-1.000e+00,179372032,route=1:3,nb=56,dQ=-1.000e+00
64,synthI,cdouble,1024,64,763.4914,763.4747,0.0000,180.01,-1.000e+00,1.004e-14,-1.000e+00,205520896,route=1:3,nb=64,dQ=-1.000e+00
96,synthI,cdouble,1024,64,1035.6688,1035.6477,0.0001,132.71,-1.000e+00,8.662e-15,-1.000e+00,311427072,route=1:3,nb=96,dQ=-1.000e+00
128,synthI,cdouble,1024,64,1440.4848,1440.5362,0.0001,95.41,-1.000e+00,1.000e-14,-1.000e+00,419430400,route=1:3,nb=128,dQ=-1.000e+00
