== PART 1: trailing GEMM pair vs nb, vendor-free build, N=1024 b=128 ==
build,which,type,N,nb,j0,batch,m,n,k,med_ms,rel_sd,GFLOPs
56,synthI,float,256,512,10.1110,10.1088,0.0005,1699.13,-1.000e+00,1.681e-06,-1.000e+00,94502912,route=1:3,nb=56,dQ=-1.000e+00
64,synthI,float,256,512,11.4576,11.4589,0.0003,1499.43,-1.000e+00,1.939e-06,-1.000e+00,109051904,route=1:3,nb=64,dQ=-1.000e+00
96,synthI,float,256,512,15.7001,15.7032,0.0005,1094.25,-1.000e+00,2.103e-06,-1.000e+00,169869312,route=1:3,nb=96,dQ=-1.000e+00
8,synthI,double,256,512,28.8304,28.8244,0.0005,595.89,-1.000e+00,4.247e-15,-1.000e+00,25427968,route=1:3,nb=8,dQ=-1.000e+00
16,synthI,double,256,512,18.4425,18.4428,0.0001,931.54,-1.000e+00,4.024e-15,-1.000e+00,51380224,route=1:3,nb=16,dQ=-1.000e+00
24,synthI,double,256,512,24.2577,24.2612,0.0003,708.22,-1.000e+00,4.136e-15,-1.000e+00,77856768,route=1:3,nb=24,dQ=-1.000e+00
32,synthI,double,256,512,24.3725,24.3497,0.0017,704.89,-1.000e+00,5.253e-15,-1.000e+00,104857600,route=1:3,nb=32,dQ=-1.000e+00
48,synthI,double,256,512,40.9117,40.9135,0.0002,419.93,-1.000e+00,6.036e-15,-1.000e+00,160432128,route=1:3,nb=48,dQ=-1.000e+00
56,synthI,double,256,512,46.6518,46.6459,0.0005,368.26,-1.000e+00,4.471e-15,-1.000e+00,189005824,route=1:3,nb=56,dQ=-1.000e+00
64,synthI,double,256,512,54.3173,54.3077,0.0006,316.29,-1.000e+00,5.019e-15,-1.000e+00,218103808,route=1:3,nb=64,dQ=-1.000e+00
96,synthI,double,256,512,72.8493,72.8530,0.0011,235.83,-1.000e+00,4.471e-15,-1.000e+00,339738624,route=1:3,nb=96,dQ=-1.000e+00
8,synthI,cfloat,256,512,24.7374,24.7349,0.0002,694.49,-1.000e+00,1.337e-06,-1.000e+00,25427968,route=1:3,nb=8,dQ=-1.000e+00
16,synthI,cfloat,256,512,14.6932,14.6925,0.0003,1169.24,-1.000e+00,1.537e-06,-1.000e+00,51380224,route=1:3,nb=16,dQ=-1.000e+00
24,synthI,cfloat,256,512,18.5689,18.5673,0.0003,925.20,-1.000e+00,1.483e-06,-1.000e+00,77856768,route=1:3,nb=24,dQ=-1.000e+00
