build,which,type,N,nb,j0,batch,m,n,k,med_ms,rel_sd,GFLOPs
vendorfree,G3,cfloat,1024,56,784,128,240,184,56,0.1067,0.0026,23736.78
vendor,G1,cfloat,1024,56,840,128,56,128,184,0.0398,0.0022,33930.41
vendorfree,G1,cfloat,1024,56,840,128,56,128,184,0.2023,0.0011,6676.05
vendor,G3,cfloat,1024,56,840,128,184,128,56,0.0448,0.0025,30135.80
vendorfree,G3,cfloat,1024,56,840,128,184,128,56,0.0566,0.0089,23874.66
vendor,G1,cfloat,1024,56,896,128,56,72,128,0.0290,0.0303,18230.44
vendorfree,G1,cfloat,1024,56,896,128,56,72,128,0.0914,0.0013,5780.44
vendor,G3,cfloat,1024,56,896,128,128,72,56,0.0436,0.0014,12126.72
vendorfree,G3,cfloat,1024,56,896,128,128,72,56,0.0381,0.0119,13868.38
vendor,G1,cfloat,1024,56,952,128,56,16,72,0.0118,0.0011,5615.94
vendorfree,G1,cfloat,1024,56,952,128,56,16,72,0.0172,0.0061,3842.05
vendor,G3,cfloat,1024,56,952,128,72,16,56,0.0132,0.0113,5009.88
vendorfree,G3,cfloat,1024,56,952,128,72,16,56,0.0179,0.0032,3687.63
vendor,G1,cfloat,1024,56,1008,128,SKIP_n2_le_0
vendorfree,G1,cfloat,1024,56,1008,128,SKIP_n2_le_0
vendor,G3,cfloat,1024,56,1008,128,SKIP_n2_le_0
vendorfree,G3,cfloat,1024,56,1008,128,SKIP_n2_le_0
vendor,G1,cdouble,1024,56,0,128,56,968,1024,52.5395,0.0231,1081.88
vendorfree,G1,cdouble,1024,56,0,128,56,968,1024,165.0091,0.0001,344.47
vendor,G3,cdouble,1024,56,0,128,1024,968,56,54.7352,0.0006,1038.48
vendorfree,G3,cdouble,1024,56,0,128,1024,968,56,51.2890,0.0011,1108.25
vendor,G1,cdouble,1024,56,56,128,56,912,968,46.7941,0.0001,1081.85
vendorfree,G1,cdouble,1024,56,56,128,56,912,968,145.8092,0.0001,347.19
vendor,G3,cdouble,1024,56,56,128,968,912,56,49.3796,0.0006,1025.20
vendorfree,G3,cdouble,1024,56,56,128,968,912,56,47.7874,0.0006,1059.36
vendor,G1,cdouble,1024,56,112,128,56,856,912,41.4307,0.0003,1080.52
vendorfree,G1,cdouble,1024,56,112,128,56,856,912,130.1814,0.0007,343.88
vendor,G3,cdouble,1024,56,112,128,912,856,56,43.7559,0.0004,1023.10
vendorfree,G3,cdouble,1024,56,112,128,912,856,56,41.8548,0.0004,1069.58
vendor,G1,cdouble,1024,56,168,128,56,800,856,36.3447,0.0001,1080.47
vendorfree,G1,cdouble,1024,56,168,128,56,800,856,113.1310,0.0001,347.11
vendor,G3,cdouble,1024,56,168,128,856,800,56,37.7301,0.0020,1040.79
vendorfree,G3,cdouble,1024,56,168,128,856,800,56,36.3070,0.0001,1081.59
vendor,G1,cdouble,1024,56,224,128,56,744,800,31.6783,0.0013,1077.43
vendorfree,G1,cdouble,1024,56,224,128,56,744,800,99.3761,0.0002,343.45
vendor,G3,cdouble,1024,56,224,128,800,744,56,32.8227,0.0012,1039.86
vendorfree,G3,cdouble,1024,56,224,128,800,744,56,31.1176,0.0000,1096.85
vendor,G1,cdouble,1024,56,280,128,56,688,744,27.2090,0.0000,1078.79
vendorfree,G1,cdouble,1024,56,280,128,56,688,744,84.5813,0.0002,347.04
vendor,G3,cdouble,1024,56,280,128,744,688,56,28.9491,0.0009,1013.94
vendorfree,G3,cdouble,1024,56,280,128,744,688,56,26.3918,0.0002,1112.19
vendor,G1,cdouble,1024,56,336,128,56,632,688,23.1687,0.0001,1076.20
vendorfree,G1,cdouble,1024,56,336,128,56,632,688,72.7442,0.0000,342.76
vendor,G3,cdouble,1024,56,336,128,688,632,56,24.6042,0.0014,1013.41
vendorfree,G3,cdouble,1024,56,336,128,688,632,56,21.9995,0.0001,1133.39
vendor,G1,cdouble,1024,56,392,128,56,576,632,19.4003,0.0001,1076.02
vendorfree,G1,cdouble,1024,56,392,128,56,576,632,60.1665,0.0000,346.95
vendor,G3,cdouble,1024,56,392,128,632,576,56,20.1150,0.0002,1037.79
vendorfree,G3,cdouble,1024,56,392,128,632,576,56,18.0987,0.0001,1153.40
vendor,G1,cdouble,1024,56,448,128,56,520,576,16.0128,0.0000,1072.62
vendorfree,G1,cdouble,1024,56,448,128,56,520,576,50.2874,0.0000,341.55
vendor,G3,cdouble,1024,56,448,128,576,520,56,16.6054,0.0000,1034.35
vendorfree,G3,cdouble,1024,56,448,128,576,520,56,16.1566,0.0001,1063.08
vendor,G1,cdouble,1024,56,504,128,56,464,520,12.9030,0.0001,1072.30
vendorfree,G1,cdouble,1024,56,504,128,56,464,520,39.9050,0.0000,346.72
vendor,G3,cdouble,1024,56,504,128,520,464,56,13.7890,0.0001,1003.41
vendorfree,G3,cdouble,1024,56,504,128,520,464,56,14.3397,0.0000,964.87
vendor,G1,cdouble,1024,56,560,128,56,408,464,10.1755,0.0001,1066.87
vendorfree,G1,cdouble,1024,56,560,128,56,408,464,31.9373,0.0001,339.91
vendor,G3,cdouble,1024,56,560,128,464,408,56,10.9139,0.0000,994.69
vendorfree,G3,cdouble,1024,56,560,128,464,408,56,11.1484,0.0000,973.77
vendor,G1,cdouble,1024,56,616,128,56,352,408,7.7243,0.0001,1066.19
vendorfree,G1,cdouble,1024,56,616,128,56,352,408,23.7781,0.0001,346.35
vendor,G3,cdouble,1024,56,616,128,408,352,56,8.0126,0.0001,1027.82
vendorfree,G3,cdouble,1024,56,616,128,408,352,56,8.3875,0.0001,981.88
vendor,G1,cdouble,1024,56,672,128,56,296,352,5.6543,0.0001,1056.67
vendorfree,G1,cdouble,1024,56,672,128,56,296,352,17.7278,0.0000,337.03
vendor,G3,cdouble,1024,56,672,128,352,296,56,5.8654,0.0004,1018.65
vendorfree,G3,cdouble,1024,56,672,128,352,296,56,5.9948,0.0001,996.66
vendor,G1,cdouble,1024,56,728,128,56,240,296,3.8619,0.0012,1054.86
vendorfree,G1,cdouble,1024,56,728,128,56,240,296,11.7845,0.0000,345.69
vendor,G3,cdouble,1024,56,728,128,296,240,56,4.2214,0.0010,965.02
vendorfree,G3,cdouble,1024,56,728,128,296,240,56,4.0272,0.0003,1011.56
vendor,G1,cdouble,1024,56,784,128,56,184,240,2.4480,0.0002,1034.45
vendorfree,G1,cdouble,1024,56,784,128,56,184,240,7.6548,0.0000,330.81
vendor,G3,cdouble,1024,56,784,128,240,184,56,2.7105,0.0001,934.27
vendorfree,G3,cdouble,1024,56,784,128,240,184,56,2.4356,0.0001,1039.70
vendor,G1,cdouble,1024,56,840,128,56,128,184,1.3117,0.0002,1029.65
vendorfree,G1,cdouble,1024,56,840,128,56,128,184,3.9259,0.0001,344.02
vendor,G3,cdouble,1024,56,840,128,184,128,56,1.3752,0.0003,982.07
vendorfree,G3,cdouble,1024,56,840,128,184,128,56,1.2426,0.0001,1086.90
vendor,G1,cdouble,1024,56,896,128,56,72,128,0.5541,0.0000,953.71
vendorfree,G1,cdouble,1024,56,896,128,56,72,128,1.7192,0.0002,307.40
vendor,G3,cdouble,1024,56,896,128,128,72,56,0.5693,0.0002,928.23
vendorfree,G3,cdouble,1024,56,896,128,128,72,56,0.8035,0.0003,657.73
vendor,G1,cdouble,1024,56,952,128,56,16,72,0.0765,0.0002,863.59
vendorfree,G1,cdouble,1024,56,952,128,56,16,72,0.2021,0.0003,326.85
vendor,G3,cdouble,1024,56,952,128,72,16,56,0.1193,0.0005,553.96
vendorfree,G3,cdouble,1024,56,952,128,72,16,56,0.1980,0.0008,333.69
vendor,G1,cdouble,1024,56,1008,128,SKIP_n2_le_0
vendorfree,G1,cdouble,1024,56,1008,128,SKIP_n2_le_0
vendor,G3,cdouble,1024,56,1008,128,SKIP_n2_le_0
vendorfree,G3,cdouble,1024,56,1008,128,SKIP_n2_le_0
