typ,tag,transA,m,nnzrow,nrhs,batch,transB,beta,pattern,t_vendor,t_native,ratio,relsd,sd_v,sd_n,chk_v,chk_n,agree,gbs_v,gbs_n,roof_v,roof_n,fp_mb,l2res
cdouble,sbL,0,1024,3,2,16,0,1,0,0.0222623,0.00400681,0.17998185272860398,0.1014812282089742,0.0736154844737516,0.1014812282089742,49980100.0,363247000.0,True,117.755,654.263,0.1168204365079365,0.6490704365079365,2.097216,True
cdouble,sbL,0,1024,3,2,16,0,1,1,0.0207572,0.00572346,0.2757337213111595,0.01729219737711105,0.0011985961497697185,0.01729219737711105,145715000.0,815284000.0,True,126.293,458.028,0.1252906746031746,0.45439285714285715,2.097216,True
cdouble,sbL,0,1024,3,2,32,0,0,0,0.0281861,0.00474161,0.16822511805464396,0.04479955120729035,0.0011708253358925144,0.04479955120729035,1907.93,1907.93,True,148.812,884.601,0.1476309523809524,0.8775803571428571,4.194432,True
cdouble,sbL,0,1024,3,2,32,0,0,1,0.0281445,0.00798779,0.28381353372772655,0.0009309918456536802,0.0009309918456536802,0.0003172742398085078,4985.47,4985.47,True,149.032,525.105,0.14784920634920637,0.5209375,4.194432,True
cdouble,sbL,0,1024,3,2,32,0,1,0,0.0267604,0.00492057,0.18387505418454134,0.0023749687536200074,0.0008219869658151596,0.0023749687536200074,47553200.0,330858000.0,True,195.924,1065.53,0.19436904761904764,1.0570734126984127,4.194432,True
cdouble,sbL,0,1024,3,2,32,0,1,1,0.0267303,0.00802379,0.3001758304246492,0.001060553005390886,0.001060553005390886,0.00024491294014424605,124258000.0,737192000.0,True,196.145,653.432,0.19458829365079366,0.6482460317460318,4.194432,True
cdouble,sbL,0,1024,3,2,64,0,0,0,0.0373081,0.00740387,0.19845207877109797,0.0018269364535033706,0.0010793071745813913,0.0018269364535033706,1907.93,1907.93,True,224.854,1133.04,0.22306944444444446,1.124047619047619,8.388864,True
cdouble,sbL,0,1024,3,2,64,0,0,1,0.0374378,0.0124608,0.33284007073065186,0.000968449000742565,0.000968449000742565,0.0006376163649203904,4985.47,4985.47,True,224.074,673.223,0.22229563492063492,0.6678799603174602,8.388864,True
cdouble,sbL,0,1024,3,2,64,0,1,0,0.03602,0.00749279,0.20801749028317598,0.0007920488617434758,0.0007920488617434758,0.0002272771557724159,40348900.0,287952000.0,True,291.117,1399.48,0.2888065476190476,1.3883730158730159,8.388864,True
cdouble,sbL,0,1024,3,2,64,0,1,1,0.0361057,0.0125427,0.34738836250231964,0.0009684454255145309,0.0009684454255145309,0.0006483285098104873,104954000.0,203427000.0,True,290.426,836.026,0.2881210317460317,0.829390873015873,8.388864,True
cdouble,sbL,0,1024,3,2,128,0,0,0,0.057189,0.0128156,0.22409204567311897,0.0005800748395670496,0.0005800748395670496,0.0004419605792939854,1907.93,1907.93,True,293.373,1309.17,0.2910446428571428,1.298779761904762,16.777728,True
cdouble,sbL,0,1024,3,2,128,0,0,1,0.0575162,0.0218616,0.3800946515938118,0.0007161321505940935,0.0007161321505940935,0.0003217971237237897,4985.47,4985.47,True,291.705,767.451,0.28938988095238094,0.761360119047619,16.777728,True
cdouble,sbL,0,1024,3,2,128,0,1,0,0.0562481,0.0129139,0.229588199423625,0.0005912075252319633,0.0005912075252319633,0.0005631521074191375,32778200.0,76218000.0,True,372.849,1623.99,0.36988988095238096,1.6111011904761905,16.777728,True
