m,n,k,batch,beta,tA,tB,arm,rep,gflops
248,248,8,128,1,0,1,sycl,3,2232.5
248,248,8,128,0,1,0,vendor,1,5102.2
248,248,8,128,0,1,0,vendor,2,5578.5
248,248,8,128,0,1,0,vendor,3,5177.9
248,248,8,128,0,1,0,sycl,1,2403.8
248,248,8,128,0,1,0,sycl,2,2399.8
248,248,8,128,0,1,0,sycl,3,2389.4
248,248,8,128,1,1,0,vendor,1,4759.3
248,248,8,128,1,1,0,vendor,2,4701.2
248,248,8,128,1,1,0,vendor,3,4736.1
248,248,8,128,1,1,0,sycl,1,2413.5
248,248,8,128,1,1,0,sycl,2,2420.0
248,248,8,128,1,1,0,sycl,3,2397.1
312,312,8,128,0,0,0,vendor,1,4729.9
312,312,8,128,0,0,0,vendor,2,4718.9
312,312,8,128,0,0,0,vendor,3,4788.7
312,312,8,128,0,0,0,sycl,1,1481.5
312,312,8,128,0,0,0,sycl,2,1517.3
312,312,8,128,0,0,0,sycl,3,1497.0
312,312,8,128,1,0,0,vendor,1,4044.5
312,312,8,128,1,0,0,vendor,2,4110.6
312,312,8,128,1,0,0,vendor,3,4091.1
312,312,8,128,1,0,0,sycl,1,1517.3
312,312,8,128,1,0,0,sycl,2,1486.5
312,312,8,128,1,0,0,sycl,3,1498.1
312,312,8,128,0,0,1,vendor,1,4683.3
312,312,8,128,0,0,1,vendor,2,4893.7
312,312,8,128,0,0,1,vendor,3,4022.2
312,312,8,128,0,0,1,sycl,1,1464.0
312,312,8,128,0,0,1,sycl,2,1468.2
312,312,8,128,0,0,1,sycl,3,1420.5
312,312,8,128,1,0,1,vendor,1,4052.9
312,312,8,128,1,0,1,vendor,2,4050.6
312,312,8,128,1,0,1,vendor,3,4068.1
312,312,8,128,1,0,1,sycl,1,1474.4
312,312,8,128,1,0,1,sycl,2,1455.9
312,312,8,128,1,0,1,sycl,3,1428.0
312,312,8,128,0,1,0,vendor,1,4901.5
312,312,8,128,0,1,0,vendor,2,4980.7
312,312,8,128,0,1,0,vendor,3,4537.2
312,312,8,128,0,1,0,sycl,1,1758.3
312,312,8,128,0,1,0,sycl,2,1593.8
312,312,8,128,0,1,0,sycl,3,1651.0
312,312,8,128,1,1,0,vendor,1,3990.5
312,312,8,128,1,1,0,vendor,2,4045.3
312,312,8,128,1,1,0,vendor,3,4055.4
312,312,8,128,1,1,0,sycl,1,1643.8
312,312,8,128,1,1,0,sycl,2,1710.2
312,312,8,128,1,1,0,sycl,3,1746.5
