arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,MB,foreign
vendor,cdouble,128,64,128,T,vendor:auto,0.01619,0.01622,0.0134,1060.8,1.117,0.00e+00,128,64,128,16,0
native:cta,cdouble,128,64,128,T,native:cta,0.02302,0.02311,0.0137,745.8,0.785,0.00e+00,128,64,128,16,0
vendor,cdouble,128,64,128,C,vendor:auto,0.01535,0.01538,0.0114,1118.4,1.177,0.00e+00,128,64,128,16,0
native:cta,cdouble,128,64,128,C,native:cta,0.02231,0.02230,0.0053,769.5,0.810,0.00e+00,128,64,128,16,0
vendor,cdouble,128,64,512,T,vendor:auto,0.03842,0.03844,0.0053,1787.8,1.882,0.00e+00,128,64,128,64,0
native:cta,cdouble,128,64,512,T,native:cta,0.07060,0.07063,0.0016,972.9,1.024,0.00e+00,128,64,128,64,0
vendor,cdouble,128,64,512,C,vendor:auto,0.03879,0.03868,0.0050,1770.6,1.864,0.00e+00,128,64,128,64,0
native:cta,cdouble,128,64,512,C,native:cta,0.07072,0.07074,0.0015,971.2,1.022,0.00e+00,128,64,128,64,0
vendor,cdouble,32,256,128,T,vendor:auto,0.02448,0.02452,0.0090,709.6,0.747,0.00e+00,32,256,32,16,0
native:cta,cdouble,32,256,128,T,native:cta,0.04575,0.04577,0.0025,379.6,0.400,0.00e+00,32,256,32,16,0
vendor,cdouble,32,256,128,C,vendor:auto,0.02517,0.02513,0.0097,689.9,0.726,0.00e+00,32,256,32,16,0
native:cta,cdouble,32,256,128,C,native:cta,0.04578,0.04580,0.0023,379.3,0.399,0.00e+00,32,256,32,16,0
vendor,cdouble,32,256,512,T,vendor:auto,0.08098,0.08108,0.0034,857.9,0.903,0.00e+00,32,256,32,64,0
native:cta,cdouble,32,256,512,T,native:cta,0.16494,0.16547,0.0104,421.2,0.443,0.00e+00,32,256,32,64,0
vendor,cdouble,32,256,512,C,vendor:auto,0.08124,0.08145,0.0066,855.1,0.900,0.00e+00,32,256,32,64,0
native:cta,cdouble,32,256,512,C,native:cta,0.16489,0.16489,0.0007,421.3,0.443,0.00e+00,32,256,32,64,0
vendor,cdouble,64,256,128,T,vendor:auto,0.09331,0.09356,0.0086,366.6,0.386,0.00e+00,64,256,64,32,0
native:cta,cdouble,64,256,128,T,native:cta,0.05402,0.05405,0.0022,633.3,0.667,0.00e+00,64,256,64,32,0
vendor,cdouble,64,256,128,C,vendor:auto,0.09297,0.09276,0.0082,368.0,0.387,0.00e+00,64,256,64,32,0
native:cta,cdouble,64,256,128,C,native:cta,0.05398,0.05404,0.0021,633.7,0.667,0.00e+00,64,256,64,32,0
vendor,cdouble,64,256,512,T,vendor:auto,0.36639,0.36653,0.0064,373.5,0.393,0.00e+00,64,256,64,128,0
native:cta,cdouble,64,256,512,T,native:cta,0.19976,0.19972,0.0007,685.0,0.721,0.00e+00,64,256,64,128,0
vendor,cdouble,64,256,512,C,vendor:auto,0.36651,0.36635,0.0034,373.4,0.393,0.00e+00,64,256,64,128,0
native:cta,cdouble,64,256,512,C,native:cta,0.19933,0.19930,0.0013,686.5,0.723,0.00e+00,64,256,64,128,0
vendor,cdouble,128,256,128,T,vendor:auto,0.08065,0.08097,0.0091,841.8,0.886,0.00e+00,128,256,128,64,0
native:cta,cdouble,128,256,128,T,native:cta,0.07074,0.07084,0.0036,959.8,1.010,0.00e+00,128,256,128,64,0
vendor,cdouble,128,256,128,C,vendor:auto,0.08033,0.08049,0.0088,845.2,0.890,0.00e+00,128,256,128,64,0
native:cta,cdouble,128,256,128,C,native:cta,0.07048,0.07047,0.0016,963.3,1.014,0.00e+00,128,256,128,64,0
vendor,cdouble,128,256,512,T,vendor:auto,0.70939,0.71065,0.0128,382.8,0.403,0.00e+00,128,256,128,256,0
native:cta,cdouble,128,256,512,T,native:cta,0.30203,0.35140,0.2380,899.2,0.947,0.00e+00,128,256,128,256,0
vendor,cdouble,128,256,512,C,vendor:auto,0.76636,0.82796,0.1345,354.4,0.373,0.00e+00,128,256,128,256,0
native:cta,cdouble,128,256,512,C,native:cta,0.30214,0.30239,0.0043,898.9,0.946,0.00e+00,128,256,128,256,0
vendor,cdouble,32,512,128,T,vendor:auto,0.04577,0.04581,0.0068,757.5,0.797,0.00e+00,32,512,32,32,0
native:cta,cdouble,32,512,128,T,native:cta,0.08531,0.08532,0.0014,406.4,0.428,0.00e+00,32,512,32,32,0
vendor,cdouble,32,512,128,C,vendor:auto,0.04586,0.04582,0.0051,755.9,0.796,0.00e+00,32,512,32,32,0
native:cta,cdouble,32,512,128,C,native:cta,0.08537,0.08537,0.0011,406.1,0.427,0.00e+00,32,512,32,32,0
vendor,cdouble,32,512,512,T,vendor:auto,0.15127,0.15140,0.0050,916.8,0.965,0.00e+00,32,512,32,128,0
native:cta,cdouble,32,512,512,T,native:cta,0.32459,0.32482,0.0029,427.2,0.450,0.00e+00,32,512,32,128,0
vendor,cdouble,32,512,512,C,vendor:auto,0.15285,0.15381,0.0127,907.2,0.955,0.00e+00,32,512,32,128,0
native:cta,cdouble,32,512,512,C,native:cta,0.32450,0.32447,0.0003,427.3,0.450,0.00e+00,32,512,32,128,0
vendor,cdouble,64,512,128,T,vendor:auto,0.18274,0.18354,0.0101,373.7,0.393,0.00e+00,64,512,64,64,0
native:cta,cdouble,64,512,128,T,native:cta,0.10191,0.10199,0.0023,670.1,0.705,0.00e+00,64,512,64,64,0
vendor,cdouble,64,512,128,C,vendor:auto,0.18117,0.18121,0.0080,376.9,0.397,0.00e+00,64,512,64,64,0
native:cta,cdouble,64,512,128,C,native:cta,0.10202,0.10202,0.0018,669.4,0.705,0.00e+00,64,512,64,64,0
vendor,cdouble,64,512,512,T,vendor:auto,0.73690,0.73730,0.0045,370.7,0.390,0.00e+00,64,512,64,256,0
native:cta,cdouble,64,512,512,T,native:cta,0.39122,0.39121,0.0007,698.2,0.735,0.00e+00,64,512,64,256,0
vendor,cdouble,64,512,512,C,vendor:auto,0.73239,0.73133,0.0050,373.0,0.393,0.00e+00,64,512,64,256,0
native:cta,cdouble,64,512,512,C,native:cta,0.39127,0.39130,0.0009,698.1,0.735,0.00e+00,64,512,64,256,0
vendor,cdouble,128,512,128,T,vendor:auto,0.15263,0.15274,0.0028,887.9,0.935,0.00e+00,128,512,128,128,0
native:cta,cdouble,128,512,128,T,native:cta,0.15678,0.15660,0.0025,864.5,0.910,0.00e+00,128,512,128,128,0
vendor,cdouble,128,512,128,C,vendor:auto,0.15121,0.15156,0.0056,896.3,0.943,0.00e+00,128,512,128,128,0
native:cta,cdouble,128,512,128,C,native:cta,0.15672,0.15674,0.0028,864.8,0.910,0.00e+00,128,512,128,128,0
vendor,cdouble,128,512,512,T,vendor:auto,1.51165,1.51372,0.0071,358.6,0.377,0.00e+00,128,512,128,512,0
native:cta,cdouble,128,512,512,T,native:cta,0.59058,0.59057,0.0007,917.9,0.966,0.00e+00,128,512,128,512,0
vendor,cdouble,128,512,512,C,vendor:auto,1.63121,1.63229,0.0071,332.3,0.350,0.00e+00,128,512,128,512,0
native:cta,cdouble,128,512,512,C,native:cta,0.59078,0.59166,0.0034,917.6,0.966,0.00e+00,128,512,128,512,0
vendor,cdouble,32,2048,128,T,vendor:auto,0.15212,0.15221,0.0034,910.3,0.958,0.00e+00,32,2048,32,128,0
native:cta,cdouble,32,2048,128,T,native:cta,0.32453,0.32453,0.0004,426.7,0.449,0.00e+00,32,2048,32,128,0
vendor,cdouble,32,2048,128,C,vendor:auto,0.15275,0.15310,0.0101,906.6,0.954,0.00e+00,32,2048,32,128,0
native:cta,cdouble,32,2048,128,C,native:cta,0.32469,0.32470,0.0007,426.5,0.449,0.00e+00,32,2048,32,128,0
vendor,cdouble,32,2048,512,T,vendor:auto,0.72302,0.72247,0.0047,766.1,0.806,0.00e+00,32,2048,32,512,0
native:cta,cdouble,32,2048,512,T,native:cta,1.27542,1.27526,0.0003,434.3,0.457,0.00e+00,32,2048,32,512,0
vendor,cdouble,32,2048,512,C,vendor:auto,0.74701,0.74761,0.0038,741.5,0.781,0.00e+00,32,2048,32,512,0
native:cta,cdouble,32,2048,512,C,native:cta,1.27527,1.27554,0.0005,434.3,0.457,0.00e+00,32,2048,32,512,0
vendor,cdouble,64,2048,128,T,vendor:auto,0.76719,0.76710,0.0077,355.5,0.374,0.00e+00,64,2048,64,256,0
native:cta,cdouble,64,2048,128,T,native:cta,0.39125,0.39131,0.0006,697.2,0.734,0.00e+00,64,2048,64,256,0
vendor,cdouble,64,2048,128,C,vendor:auto,0.79617,0.79638,0.0044,342.6,0.361,0.00e+00,64,2048,64,256,0
native:cta,cdouble,64,2048,128,C,native:cta,0.39123,0.39120,0.0009,697.2,0.734,0.00e+00,64,2048,64,256,0
vendor,cdouble,64,2048,512,T,vendor:auto,2.92447,2.91058,0.0191,373.1,0.393,0.00e+00,64,2048,64,1024,0
native:cta,cdouble,64,2048,512,T,native:cta,1.54118,1.54121,0.0003,707.9,0.745,0.00e+00,64,2048,64,1024,0
vendor,cdouble,64,2048,512,C,vendor:auto,3.07507,3.07387,0.0103,354.8,0.373,0.00e+00,64,2048,64,1024,0
native:cta,cdouble,64,2048,512,C,native:cta,1.54102,1.56712,0.0527,708.0,0.745,0.00e+00,64,2048,64,1024,0
vendor,cdouble,128,2048,128,T,vendor:auto,1.54896,1.61368,0.0738,349.5,0.368,0.00e+00,128,2048,128,512,0
native:cta,cdouble,128,2048,128,T,native:cta,0.59142,0.59220,0.0064,915.3,0.963,0.00e+00,128,2048,128,512,0
vendor,cdouble,128,2048,128,C,vendor:auto,1.64322,1.64163,0.0048,329.4,0.347,0.00e+00,128,2048,128,512,0
native:cta,cdouble,128,2048,128,C,native:cta,0.58970,0.59043,0.0043,918.0,0.966,0.00e+00,128,2048,128,512,0
vendor,cdouble,128,2048,512,T,vendor:auto,6.32414,6.43307,0.0334,342.4,0.360,0.00e+00,128,2048,128,2048,0
native:cta,cdouble,128,2048,512,T,native:cta,2.32204,2.32508,0.0019,932.5,0.982,0.00e+00,128,2048,128,2048,0
vendor,cdouble,128,2048,512,C,vendor:auto,6.74001,6.73586,0.0023,321.3,0.338,0.00e+00,128,2048,128,2048,0
native:cta,cdouble,128,2048,512,C,native:cta,2.33054,2.41136,0.0625,929.1,0.978,0.00e+00,128,2048,128,2048,0
