type,m,n,batch,transA,arm,wA,wB,med_a_ms,med_b_ms,relsd_a,relsd_b,GBs_a,GBs_b,ratio,relerr_a,relerr_b,ld,out_len,red_len,MB,foreign
cdouble,64,64,512,T,auto,4,1,0.02889,0.05411,0.0021,0.0030,1197.9,639.5,1.8732,0.00e+00,0.00e+00,64,64,64,32,0
double,64,64,512,T,auto,1,1,0.02168,0.02176,0.0062,0.0105,798.0,795.0,1.0038,0.00e+00,0.00e+00,64,64,64,16,0
cfloat,64,64,512,T,auto,1,1,0.01139,0.01145,0.0065,0.0054,1518.7,1511.2,1.0050,0.00e+00,0.00e+00,64,64,64,16,0
float,64,64,512,T,auto,1,1,0.01021,0.01016,0.0156,0.0153,847.2,851.8,0.9946,0.00e+00,0.00e+00,64,64,64,8,0
cdouble,128,64,512,T,auto,1,1,0.07066,0.07067,0.0010,0.0023,972.0,971.8,1.0002,0.00e+00,0.00e+00,128,64,128,64,0
double,128,64,512,T,auto,1,1,0.02889,0.02895,0.0033,0.0042,1188.5,1186.2,1.0019,0.00e+00,0.00e+00,128,64,128,32,0
cfloat,128,64,512,T,auto,1,1,0.01444,0.01443,0.0369,0.0446,2377.4,2380.5,0.9987,0.00e+00,0.00e+00,128,64,128,32,0
float,128,64,512,T,auto,1,1,0.01099,0.01106,0.0090,0.0096,1561.9,1552.3,1.0062,0.00e+00,0.00e+00,128,64,128,16,0
cdouble,8,256,128,T,auto,8,1,0.01110,0.04561,0.0080,0.0020,426.5,103.8,4.1088,0.00e+00,0.00e+00,8,256,8,4,0
double,8,256,128,T,auto,8,1,0.00747,0.02151,0.0117,0.0031,317.0,110.1,2.8796,0.00e+00,0.00e+00,8,256,8,2,0
cfloat,8,256,128,T,auto,8,1,0.00673,0.01080,0.0181,0.0115,351.8,219.2,1.6052,0.00e+00,0.00e+00,8,256,8,2,0
float,8,256,128,T,auto,8,1,0.00643,0.01021,0.0129,0.0097,184.2,115.9,1.5895,0.00e+00,0.00e+00,8,256,8,1,0
cdouble,32,256,128,T,auto,8,1,0.01722,0.04584,0.0132,0.0043,1008.7,378.8,2.6626,0.00e+00,0.00e+00,32,256,32,16,0
double,32,256,128,T,auto,8,1,0.00991,0.02154,0.0119,0.0028,875.9,403.2,2.1725,0.00e+00,0.00e+00,32,256,32,8,0
cfloat,32,256,128,T,auto,1,1,0.01084,0.01082,0.0064,0.0070,801.1,802.8,0.9978,0.00e+00,0.00e+00,32,256,32,8,0
float,32,256,128,T,auto,4,1,0.00757,0.01012,0.0135,0.0121,573.5,429.0,1.3370,0.00e+00,0.00e+00,32,256,32,4,0
cdouble,64,256,128,T,auto,4,1,0.02875,0.05398,0.0045,0.0031,1190.1,633.7,1.8779,0.00e+00,0.00e+00,64,256,64,32,0
double,64,256,128,T,auto,1,1,0.02176,0.02184,0.0064,0.0047,785.9,783.2,1.0034,0.00e+00,0.00e+00,64,256,64,16,0
cfloat,64,256,128,T,auto,1,1,0.01144,0.01140,0.0077,0.0113,1494.8,1500.4,0.9962,0.00e+00,0.00e+00,64,256,64,16,0
float,64,256,128,T,auto,1,1,0.01019,0.01026,0.0095,0.0081,839.4,833.2,1.0075,0.00e+00,0.00e+00,64,256,64,8,0
cdouble,128,256,128,T,auto,1,1,0.07066,0.07053,0.0113,0.0013,960.8,962.7,0.9981,0.00e+00,0.00e+00,128,256,128,64,0
double,128,256,128,T,auto,1,1,0.02884,0.02884,0.0035,0.0032,1177.0,1176.9,1.0001,0.00e+00,0.00e+00,128,256,128,32,0
cfloat,128,256,128,T,auto,1,1,0.01354,0.01347,0.0305,0.0094,2507.2,2519.5,0.9951,0.00e+00,0.00e+00,128,256,128,32,0
float,128,256,128,T,auto,1,1,0.01110,0.01111,0.0063,0.0215,1529.3,1527.2,1.0014,0.00e+00,0.00e+00,128,256,128,16,0
cdouble,16,2048,128,T,auto,8,1,0.06106,0.32287,0.0024,0.0009,1168.3,220.9,5.2875,0.00e+00,0.00e+00,16,2048,16,64,0
double,16,2048,128,T,auto,8,1,0.02371,0.13083,0.0040,0.0011,1504.5,272.6,5.5188,0.00e+00,0.00e+00,16,2048,16,32,0
cfloat,16,2048,128,T,auto,8,1,0.01762,0.04485,0.0080,0.0033,2024.1,795.4,2.5448,0.00e+00,0.00e+00,16,2048,16,32,0
float,16,2048,128,T,auto,8,1,0.01136,0.04021,0.0085,0.0037,1570.6,443.5,3.5412,0.00e+00,0.00e+00,16,2048,16,16,0
cdouble,64,2048,128,T,auto,4,1,0.30374,0.39188,0.0024,0.0008,898.0,696.0,1.2902,0.00e+00,0.00e+00,64,2048,64,256,0
double,64,2048,128,T,auto,1,1,0.15190,0.15203,0.0020,0.0019,897.8,897.0,1.0009,0.00e+00,0.00e+00,64,2048,64,128,0
cfloat,64,2048,128,T,auto,1,1,0.15192,0.15217,0.0024,0.0036,897.7,896.3,1.0016,0.00e+00,0.00e+00,64,2048,64,128,0
float,64,2048,128,T,auto,1,1,0.04075,0.04080,0.0037,0.0057,1673.2,1671.2,1.0012,0.00e+00,0.00e+00,64,2048,64,64,0
