type,m,n,batch,transA,arm,wA,wB,med_a_ms,med_b_ms,relsd_a,relsd_b,GBs_a,GBs_b,ratio,relerr_a,relerr_b,ld,out_len,red_len,MB,foreign
cfloat,64,64,128,T,auto,1,1,0.00739,0.00739,0.0142,0.0141,585.6,585.1,1.0008,0.00e+00,0.00e+00,64,64,64,4,0
float,64,64,128,T,auto,1,1,0.00694,0.00697,0.0068,0.0169,311.8,310.4,1.0045,0.00e+00,0.00e+00,64,64,64,2,0
cdouble,32,1,4096,T,auto,8,1,0.00746,0.01115,0.0108,0.0050,570.9,382.1,1.4940,0.00e+00,0.00e+00,32,1,32,2,0
double,32,1,4096,T,auto,8,1,0.00669,0.00780,0.0141,0.0151,318.4,273.2,1.1653,0.00e+00,0.00e+00,32,1,32,1,0
cfloat,32,1,4096,T,auto,1,1,0.00650,0.00645,0.0124,0.0179,327.6,330.2,0.9922,0.00e+00,0.00e+00,32,1,32,1,0
float,32,1,4096,T,auto,4,1,0.00628,0.00627,0.0139,0.0118,169.5,170.0,0.9975,0.00e+00,0.00e+00,32,1,32,0,0
cdouble,32,4,4096,T,auto,8,1,0.01167,0.02600,0.0104,0.0066,920.8,413.4,2.2273,0.00e+00,0.00e+00,32,4,32,8,0
double,32,4,4096,T,auto,8,1,0.00792,0.01405,0.0089,0.1075,678.8,382.4,1.7752,0.00e+00,0.00e+00,32,4,32,4,0
cfloat,32,4,4096,T,auto,1,1,0.00843,0.00840,0.0112,0.0165,637.1,640.1,0.9954,0.00e+00,0.00e+00,32,4,32,4,0
float,32,4,4096,T,auto,4,1,0.00679,0.00791,0.0126,0.0145,395.5,339.7,1.1641,0.00e+00,0.00e+00,32,4,32,2,0
cdouble,32,16,4096,T,auto,8,1,0.02806,0.08544,0.0037,0.0012,1307.7,429.5,3.0446,0.00e+00,0.00e+00,32,16,32,32,0
double,32,16,4096,T,auto,8,1,0.01314,0.03722,0.0081,0.0024,1396.6,493.0,2.8328,0.00e+00,0.00e+00,32,16,32,16,0
cfloat,32,16,4096,T,auto,1,1,0.01569,0.01569,0.0052,0.0058,1169.6,1169.5,1.0001,0.00e+00,0.00e+00,32,16,32,16,0
float,32,16,4096,T,auto,4,1,0.00883,0.01444,0.0094,0.0060,1038.8,635.5,1.6347,0.00e+00,0.00e+00,32,16,32,8,0
