arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,MB,gpu,foreign
vendor,cdouble,128,256,32,T,vendor:auto,0.27168,0.27198,0.0053,62.5,0.066,0.00e+00,128,256,128,16,0,0
native:cta,cdouble,128,256,32,T,native:cta,0.29731,0.29740,0.0011,57.1,0.060,0.00e+00,128,256,128,16,0,0
vendor,cdouble,128,256,64,T,vendor:auto,0.27751,0.27748,0.0006,122.3,0.129,0.00e+00,128,256,128,32,0,0
native:cta,cdouble,128,256,64,T,native:cta,0.31738,0.31740,0.0020,107.0,0.113,0.00e+00,128,256,128,32,0,0
vendor,cdouble,128,256,96,T,vendor:auto,0.42470,0.42460,0.0005,119.9,0.126,0.00e+00,128,256,128,48,0,0
native:cta,cdouble,128,256,96,T,native:cta,0.48090,0.48162,0.0053,105.9,0.111,0.00e+00,128,256,128,48,0,0
vendor,cdouble,128,256,128,T,vendor:auto,0.30084,0.30090,0.0016,225.7,0.238,0.00e+00,128,256,128,64,0,0
native:cta,cdouble,128,256,128,T,native:cta,0.31983,0.31964,0.0017,212.3,0.223,0.00e+00,128,256,128,64,0,0
vendor,cdouble,128,256,160,T,vendor:auto,0.42367,0.42392,0.0018,200.3,0.211,0.00e+00,128,256,128,80,0,0
native:cta,cdouble,128,256,160,T,native:cta,0.44757,0.47566,0.1243,189.6,0.200,0.00e+00,128,256,128,80,0,0
vendor,cdouble,128,256,224,T,vendor:auto,0.38968,0.38974,0.0014,304.9,0.321,0.00e+00,128,256,128,112,0,0
native:cta,cdouble,128,256,224,T,native:cta,0.13927,0.13943,0.0043,853.2,0.898,0.00e+00,128,256,128,112,0,0
vendor,cdouble,128,256,288,T,vendor:auto,0.80941,0.80956,0.0031,188.7,0.199,0.00e+00,128,256,128,144,0,0
native:cta,cdouble,128,256,288,T,native:cta,0.18198,0.18205,0.0054,839.5,0.884,0.00e+00,128,256,128,144,0,0
vendor,cdouble,256,256,1,T,vendor:auto,0.40607,0.40615,0.0010,2.6,0.003,0.00e+00,256,256,256,1,0,0
native:cta,cdouble,256,256,1,T,native:cta,0.42195,0.42204,0.0014,2.5,0.003,0.00e+00,256,256,256,1,0,0
vendor,cdouble,256,256,2,T,vendor:auto,0.68580,0.68578,0.0004,3.1,0.003,0.00e+00,256,256,256,2,0,0
native:cta,cdouble,256,256,2,T,native:cta,0.71102,0.71684,0.0247,3.0,0.003,0.00e+00,256,256,256,2,0,0
vendor,cdouble,256,256,4,T,vendor:auto,0.13782,0.13789,0.0014,30.7,0.032,0.00e+00,256,256,256,4,0,0
native:cta,cdouble,256,256,4,T,native:cta,0.15030,0.15025,0.0014,28.1,0.030,0.00e+00,256,256,256,4,0,0
vendor,cdouble,256,256,8,T,vendor:auto,0.25126,0.25117,0.0009,33.6,0.035,0.00e+00,256,256,256,8,0,0
native:cta,cdouble,256,256,8,T,native:cta,0.24963,0.24958,0.0011,33.9,0.036,0.00e+00,256,256,256,8,0,0
vendor,cdouble,256,256,16,T,vendor:auto,0.20091,0.20094,0.0016,84.2,0.089,0.00e+00,256,256,256,16,0,0
native:cta,cdouble,256,256,16,T,native:cta,0.21880,0.21868,0.0020,77.3,0.081,0.00e+00,256,256,256,16,0,0
vendor,cdouble,256,256,32,T,vendor:auto,0.30180,0.30166,0.0015,112.0,0.118,0.00e+00,256,256,256,32,0,0
native:cta,cdouble,256,256,32,T,native:cta,0.31901,0.31929,0.0068,106.0,0.112,0.00e+00,256,256,256,32,0,0
vendor,cdouble,256,256,64,T,vendor:auto,0.34092,0.34069,0.0020,198.4,0.209,0.00e+00,256,256,256,64,0,0
native:cta,cdouble,256,256,64,T,native:cta,0.35302,0.35357,0.0070,191.6,0.202,0.00e+00,256,256,256,64,0,0
vendor,cdouble,256,256,96,T,vendor:auto,0.51428,0.51506,0.0049,197.3,0.208,0.00e+00,256,256,256,96,0,0
native:cta,cdouble,256,256,96,T,native:cta,0.53327,0.53323,0.0025,190.2,0.200,0.00e+00,256,256,256,96,0,0
vendor,cdouble,256,256,128,T,vendor:auto,0.39173,0.39239,0.0060,345.3,0.363,0.00e+00,256,256,256,128,0,0
native:cta,cdouble,256,256,128,T,native:cta,0.39030,0.39064,0.0023,346.6,0.365,0.00e+00,256,256,256,128,0,0
vendor,cdouble,256,256,160,T,vendor:auto,0.53514,0.53526,0.0007,316.0,0.333,0.00e+00,256,256,256,160,0,0
native:cta,cdouble,256,256,160,T,native:cta,0.53571,0.53628,0.0055,315.6,0.332,0.00e+00,256,256,256,160,0,0
vendor,cdouble,256,256,224,T,vendor:auto,0.51563,0.51546,0.0009,459.1,0.483,0.00e+00,256,256,256,224,0,0
native:cta,cdouble,256,256,224,T,native:cta,0.53327,0.53412,0.0047,443.9,0.467,0.00e+00,256,256,256,224,0,0
vendor,cdouble,256,256,288,T,vendor:auto,1.27070,1.27013,0.0055,239.5,0.252,0.00e+00,256,256,256,288,0,0
native:cta,cdouble,256,256,288,T,native:cta,0.74864,0.63659,0.2885,406.5,0.428,0.00e+00,256,256,256,288,0,0
vendor,cdouble,64,512,1,T,vendor:auto,0.40339,0.40335,0.0008,1.3,0.001,0.00e+00,64,512,64,0,0,0
native:cta,cdouble,64,512,1,T,native:cta,0.41894,0.41887,0.0009,1.3,0.001,0.00e+00,64,512,64,0,0,0
vendor,cdouble,64,512,2,T,vendor:auto,0.68362,0.68457,0.0047,1.6,0.002,0.00e+00,64,512,64,1,0,0
native:cta,cdouble,64,512,2,T,native:cta,0.71037,0.71093,0.0022,1.5,0.002,0.00e+00,64,512,64,1,0,0
vendor,cdouble,64,512,4,T,vendor:auto,0.00954,0.00959,0.0167,223.6,0.235,0.00e+00,64,512,64,2,0,0
native:cta,cdouble,64,512,4,T,native:cta,0.00964,0.00968,0.0117,221.3,0.233,0.00e+00,64,512,64,2,0,0
vendor,cdouble,64,512,8,T,vendor:auto,0.01031,0.01032,0.0173,413.8,0.436,0.00e+00,64,512,64,4,0,0
native:cta,cdouble,64,512,8,T,native:cta,0.01220,0.01221,0.0062,349.9,0.368,0.00e+00,64,512,64,4,0,0
vendor,cdouble,64,512,16,T,vendor:auto,0.01268,0.01275,0.0108,673.2,0.709,0.00e+00,64,512,64,8,0,0
native:cta,cdouble,64,512,16,T,native:cta,0.01197,0.01214,0.0513,713.1,0.751,0.00e+00,64,512,64,8,0,0
vendor,cdouble,64,512,32,T,vendor:auto,0.01563,0.01564,0.0102,1092.2,1.150,0.00e+00,64,512,64,16,0,0
native:cta,cdouble,64,512,32,T,native:cta,0.01755,0.01756,0.0026,972.6,1.024,0.00e+00,64,512,64,16,0,0
vendor,cdouble,64,512,64,T,vendor:auto,0.02501,0.02504,0.0065,1365.1,1.437,0.00e+00,64,512,64,32,0,0
native:cta,cdouble,64,512,64,T,native:cta,0.02885,0.02890,0.0043,1183.7,1.246,0.00e+00,64,512,64,32,0,0
vendor,cdouble,64,512,96,T,vendor:auto,0.03133,0.03135,0.0066,1634.9,1.721,0.00e+00,64,512,64,48,0,0
native:cta,cdouble,64,512,96,T,native:cta,0.04018,0.04029,0.0119,1274.8,1.342,0.00e+00,64,512,64,48,0,0
vendor,cdouble,64,512,128,T,vendor:auto,0.18514,0.18517,0.0063,368.8,0.388,0.00e+00,64,512,64,64,0,0
native:cta,cdouble,64,512,128,T,native:cta,0.05157,0.05158,0.0020,1324.1,1.394,0.00e+00,64,512,64,64,0,0
vendor,cdouble,64,512,160,T,vendor:auto,0.22881,0.22928,0.0039,373.1,0.393,0.00e+00,64,512,64,80,0,0
native:cta,cdouble,64,512,160,T,native:cta,0.08819,0.08827,0.0119,967.9,1.019,0.00e+00,64,512,64,80,0,0
vendor,cdouble,64,512,224,T,vendor:auto,0.32140,0.32102,0.0045,371.8,0.391,0.00e+00,64,512,64,112,0,0
native:cta,cdouble,64,512,224,T,native:cta,0.13992,0.13970,0.0042,854.1,0.899,0.00e+00,64,512,64,112,0,0
vendor,cdouble,64,512,288,T,vendor:auto,0.41396,0.41456,0.0040,371.2,0.391,0.00e+00,64,512,64,144,0,0
native:cta,cdouble,64,512,288,T,native:cta,0.17704,0.17683,0.0042,867.9,0.914,0.00e+00,64,512,64,144,0,0
vendor,cdouble,128,512,1,T,vendor:auto,0.01235,0.01271,0.0733,85.7,0.090,0.00e+00,128,512,128,1,0,0
native:cta,cdouble,128,512,1,T,native:cta,0.00746,0.00768,0.0984,142.0,0.149,0.00e+00,128,512,128,1,0,0
vendor,cdouble,128,512,2,T,vendor:auto,0.00948,0.00950,0.0130,223.5,0.235,0.00e+00,128,512,128,2,0,0
native:cta,cdouble,128,512,2,T,native:cta,0.00823,0.00826,0.0134,257.3,0.271,0.00e+00,128,512,128,2,0,0
vendor,cdouble,128,512,4,T,vendor:auto,0.01042,0.01049,0.0178,406.5,0.428,0.00e+00,128,512,128,4,0,0
native:cta,cdouble,128,512,4,T,native:cta,0.01022,0.01023,0.0098,414.3,0.436,0.00e+00,128,512,128,4,0,0
vendor,cdouble,128,512,8,T,vendor:auto,0.01221,0.01226,0.0119,693.8,0.730,0.00e+00,128,512,128,8,0,0
native:cta,cdouble,128,512,8,T,native:cta,0.01430,0.01429,0.0061,592.4,0.624,0.00e+00,128,512,128,8,0,0
vendor,cdouble,128,512,16,T,vendor:auto,0.01616,0.01621,0.0127,1048.6,1.104,0.00e+00,128,512,128,16,0,0
native:cta,cdouble,128,512,16,T,native:cta,0.02236,0.02235,0.0038,757.5,0.797,0.00e+00,128,512,128,16,0,0
vendor,cdouble,128,512,32,T,vendor:auto,0.02175,0.02181,0.0080,1557.9,1.640,0.00e+00,128,512,128,32,0,0
native:cta,cdouble,128,512,32,T,native:cta,0.03843,0.03845,0.0038,881.7,0.928,0.00e+00,128,512,128,32,0,0
vendor,cdouble,128,512,64,T,vendor:auto,0.03841,0.03811,0.0152,1764.2,1.857,0.00e+00,128,512,128,64,0,0
native:cta,cdouble,128,512,64,T,native:cta,0.07090,0.07121,0.0095,955.7,1.006,0.00e+00,128,512,128,64,0,0
vendor,cdouble,128,512,96,T,vendor:auto,0.13908,0.13902,0.0106,730.8,0.769,0.00e+00,128,512,128,96,0,0
native:cta,cdouble,128,512,96,T,native:cta,0.12073,0.12072,0.0031,841.9,0.886,0.00e+00,128,512,128,96,0,0
vendor,cdouble,128,512,128,T,vendor:auto,0.15107,0.15117,0.0022,897.2,0.944,0.00e+00,128,512,128,128,0,0
native:cta,cdouble,128,512,128,T,native:cta,0.15723,0.15734,0.0070,862.0,0.907,0.00e+00,128,512,128,128,0,0
vendor,cdouble,128,512,160,T,vendor:auto,0.18622,0.18628,0.0024,909.7,0.958,0.00e+00,128,512,128,160,0,0
native:cta,cdouble,128,512,160,T,native:cta,0.19324,0.19334,0.0030,876.7,0.923,0.00e+00,128,512,128,160,0,0
vendor,cdouble,128,512,224,T,vendor:auto,0.25611,0.25614,0.0022,926.1,0.975,0.00e+00,128,512,128,224,0,0
native:cta,cdouble,128,512,224,T,native:cta,0.26558,0.26632,0.0086,893.0,0.940,0.00e+00,128,512,128,224,0,0
vendor,cdouble,128,512,288,T,vendor:auto,0.84871,0.84946,0.0135,359.3,0.378,0.00e+00,128,512,128,288,0,0
native:cta,cdouble,128,512,288,T,native:cta,0.33809,0.33797,0.0022,901.9,0.949,0.00e+00,128,512,128,288,0,0
vendor,cdouble,256,512,1,T,vendor:auto,0.01014,0.01016,0.0067,208.1,0.219,0.00e+00,256,512,256,2,0,0
native:cta,cdouble,256,512,1,T,native:cta,0.00800,0.00799,0.0285,263.5,0.277,0.00e+00,256,512,256,2,0,0
vendor,cdouble,256,512,2,T,vendor:auto,0.01037,0.01040,0.0110,407.0,0.428,0.00e+00,256,512,256,4,0,0
native:cta,cdouble,256,512,2,T,native:cta,0.00937,0.00938,0.0046,450.3,0.474,0.00e+00,256,512,256,4,0,0
vendor,cdouble,256,512,4,T,vendor:auto,0.01305,0.01306,0.0072,646.6,0.681,0.00e+00,256,512,256,8,0,0
native:cta,cdouble,256,512,4,T,native:cta,0.01236,0.01240,0.0116,682.6,0.718,0.00e+00,256,512,256,8,0,0
vendor,cdouble,256,512,8,T,vendor:auto,0.01614,0.01616,0.0101,1045.5,1.101,0.00e+00,256,512,256,16,0,0
native:cta,cdouble,256,512,8,T,native:cta,0.01850,0.01850,0.0032,912.4,0.960,0.00e+00,256,512,256,16,0,0
vendor,cdouble,256,512,16,T,vendor:auto,0.02244,0.02248,0.0069,1504.2,1.583,0.00e+00,256,512,256,32,0,0
native:cta,cdouble,256,512,16,T,native:cta,0.03054,0.03057,0.0024,1105.2,1.163,0.00e+00,256,512,256,32,0,0
vendor,cdouble,256,512,32,T,vendor:auto,0.08603,0.08557,0.0093,784.6,0.826,0.00e+00,256,512,256,64,0,0
native:cta,cdouble,256,512,32,T,native:cta,0.05482,0.05483,0.0028,1231.3,1.296,0.00e+00,256,512,256,64,0,0
vendor,cdouble,256,512,64,T,vendor:auto,0.15428,0.15440,0.0056,875.0,0.921,0.00e+00,256,512,256,128,0,0
native:cta,cdouble,256,512,64,T,native:cta,0.15583,0.15590,0.0060,866.3,0.912,0.00e+00,256,512,256,128,0,0
vendor,cdouble,256,512,96,T,vendor:auto,0.22530,0.22552,0.0031,898.8,0.946,0.00e+00,256,512,256,192,0,0
native:cta,cdouble,256,512,96,T,native:cta,0.22748,0.22740,0.0029,890.2,0.937,0.00e+00,256,512,256,192,0,0
vendor,cdouble,256,512,128,T,vendor:auto,0.29530,0.29520,0.0022,914.3,0.962,0.00e+00,256,512,256,256,0,0
native:cta,cdouble,256,512,128,T,native:cta,0.29899,0.29913,0.0025,903.1,0.951,0.00e+00,256,512,256,256,0,0
vendor,cdouble,256,512,160,T,vendor:auto,0.36626,0.36705,0.0063,921.5,0.970,0.00e+00,256,512,256,320,0,0
native:cta,cdouble,256,512,160,T,native:cta,0.37094,0.37121,0.0027,909.9,0.958,0.00e+00,256,512,256,320,0,0
vendor,cdouble,256,512,224,T,vendor:auto,0.50694,0.50672,0.0027,932.1,0.981,0.00e+00,256,512,256,448,0,0
native:cta,cdouble,256,512,224,T,native:cta,0.51570,0.51551,0.0020,916.3,0.964,0.00e+00,256,512,256,448,0,0
vendor,cdouble,256,512,288,T,vendor:auto,1.90086,1.89885,0.0061,319.6,0.336,0.00e+00,256,512,256,576,0,0
native:cta,cdouble,256,512,288,T,native:cta,0.65810,0.65924,0.0047,923.1,0.972,0.00e+00,256,512,256,576,0,0
vendor,cdouble,48,256,192,C,vendor:auto,0.07869,0.07878,0.0083,491.6,0.517,0.00e+00,48,256,48,36,0,0
native:cta,cdouble,48,256,192,C,native:cta,0.03448,0.03450,0.0042,1122.0,1.181,0.00e+00,48,256,48,36,0,0
vendor,cdouble,48,256,256,C,vendor:auto,0.09743,0.09721,0.0059,529.4,0.557,0.00e+00,48,256,48,48,0,0
native:cta,cdouble,48,256,256,C,native:cta,0.04333,0.04334,0.0015,1190.2,1.253,0.00e+00,48,256,48,48,0,0
vendor,cdouble,48,256,320,C,vendor:auto,0.11975,0.11971,0.0154,538.4,0.567,0.00e+00,48,256,48,60,0,0
native:cta,cdouble,48,256,320,C,native:cta,0.05290,0.09623,0.7720,1218.7,1.283,0.00e+00,48,256,48,60,0,0
vendor,cdouble,48,256,512,C,vendor:auto,0.17567,0.17581,0.0280,587.2,0.618,0.00e+00,48,256,48,96,0,0
native:cta,cdouble,48,256,512,C,native:cta,0.12265,0.12293,0.0072,841.0,0.885,0.00e+00,48,256,48,96,0,0
vendor,cdouble,48,256,1024,C,vendor:auto,0.31264,0.31611,0.0852,659.9,0.695,0.00e+00,48,256,48,192,0,0
native:cta,cdouble,48,256,1024,C,native:cta,0.23312,0.23303,0.0018,885.0,0.932,0.00e+00,48,256,48,192,0,0
vendor,cdouble,64,256,192,C,vendor:auto,0.13650,0.13648,0.0046,375.9,0.396,0.00e+00,64,256,64,48,0,0
native:cta,cdouble,64,256,192,C,native:cta,0.04010,0.04008,0.0021,1279.7,1.347,0.00e+00,64,256,64,48,0,0
vendor,cdouble,64,256,256,C,vendor:auto,0.18495,0.18502,0.0041,369.9,0.389,0.00e+00,64,256,64,64,0,0
native:cta,cdouble,64,256,256,C,native:cta,0.05141,0.05141,0.0023,1330.9,1.401,0.00e+00,64,256,64,64,0,0
vendor,cdouble,64,256,320,C,vendor:auto,0.23030,0.22961,0.0049,371.4,0.391,0.00e+00,64,256,64,80,0,0
native:cta,cdouble,64,256,320,C,native:cta,0.09005,0.09007,0.0067,949.8,1.000,0.00e+00,64,256,64,80,0,0
vendor,cdouble,64,256,512,C,vendor:auto,0.36958,0.36960,0.0023,370.3,0.390,0.00e+00,64,256,64,128,0,0
native:cta,cdouble,64,256,512,C,native:cta,0.17022,0.17994,0.1340,803.9,0.846,0.00e+00,64,256,64,128,0,0
vendor,cdouble,64,256,1024,C,vendor:auto,0.73306,0.73602,0.0122,373.3,0.393,0.00e+00,64,256,64,256,0,0
native:cta,cdouble,64,256,1024,C,native:cta,0.30595,0.30594,0.0022,894.5,0.942,0.00e+00,64,256,64,256,0,0
vendor,cdouble,96,256,192,C,vendor:auto,0.08854,0.08856,0.0036,864.9,0.910,0.00e+00,96,256,96,72,0,0
native:cta,cdouble,96,256,192,C,native:cta,0.09211,0.09200,0.0031,831.4,0.875,0.00e+00,96,256,96,72,0,0
vendor,cdouble,96,256,256,C,vendor:auto,0.11478,0.11476,0.0026,889.6,0.936,0.00e+00,96,256,96,96,0,0
native:cta,cdouble,96,256,256,C,native:cta,0.12397,0.12396,0.0011,823.6,0.867,0.00e+00,96,256,96,96,0,0
vendor,cdouble,96,256,320,C,vendor:auto,0.36562,0.36554,0.0035,349.1,0.367,0.00e+00,96,256,96,120,0,0
native:cta,cdouble,96,256,320,C,native:cta,0.15207,0.15214,0.0012,839.3,0.883,0.00e+00,96,256,96,120,0,0
vendor,cdouble,96,256,512,C,vendor:auto,0.60293,0.60318,0.0055,338.7,0.357,0.00e+00,96,256,96,192,0,0
native:cta,cdouble,96,256,512,C,native:cta,0.23683,0.23688,0.0010,862.2,0.908,0.00e+00,96,256,96,192,0,0
vendor,cdouble,96,256,1024,C,vendor:auto,1.21679,1.21825,0.0082,335.7,0.353,0.00e+00,96,256,96,384,0,0
native:cta,cdouble,96,256,1024,C,native:cta,0.46275,0.46266,0.0007,882.6,0.929,0.00e+00,96,256,96,384,0,0
vendor,cdouble,128,256,192,C,vendor:auto,0.11636,0.11655,0.0067,875.2,0.921,0.00e+00,128,256,128,96,0,0
native:cta,cdouble,128,256,192,C,native:cta,0.12130,0.12201,0.0133,839.6,0.884,0.00e+00,128,256,128,96,0,0
vendor,cdouble,128,256,256,C,vendor:auto,0.15141,0.15137,0.0036,896.9,0.944,0.00e+00,128,256,128,128,0,0
native:cta,cdouble,128,256,256,C,native:cta,0.15709,0.15711,0.0037,864.4,0.910,0.00e+00,128,256,128,128,0,0
vendor,cdouble,128,256,320,C,vendor:auto,0.46208,0.46165,0.0074,367.3,0.387,0.00e+00,128,256,128,160,0,0
native:cta,cdouble,128,256,320,C,native:cta,0.19441,0.19456,0.0029,873.1,0.919,0.00e+00,128,256,128,160,0,0
vendor,cdouble,128,256,512,C,vendor:auto,0.76812,0.76794,0.0112,353.6,0.372,0.00e+00,128,256,128,256,0,0
native:cta,cdouble,128,256,512,C,native:cta,0.30331,0.30304,0.0023,895.4,0.943,0.00e+00,128,256,128,256,0,0
vendor,cdouble,128,256,1024,C,vendor:auto,1.63441,1.63287,0.0076,332.3,0.350,0.00e+00,128,256,128,512,0,0
native:cta,cdouble,128,256,1024,C,native:cta,0.59184,0.59316,0.0056,917.8,0.966,0.00e+00,128,256,128,512,0,0
vendor,cdouble,192,256,192,C,vendor:auto,0.17981,0.17994,0.0036,847.4,0.892,0.00e+00,192,256,192,144,0,0
native:cta,cdouble,192,256,192,C,native:cta,0.17413,0.17419,0.0026,875.0,0.921,0.00e+00,192,256,192,144,0,0
vendor,cdouble,192,256,256,C,vendor:auto,0.23426,0.23471,0.0090,867.2,0.913,0.00e+00,192,256,192,192,0,0
native:cta,cdouble,192,256,256,C,native:cta,0.22842,0.22860,0.0037,889.4,0.936,0.00e+00,192,256,192,192,0,0
vendor,cdouble,192,256,320,C,vendor:auto,0.73884,0.73858,0.0067,343.7,0.362,0.00e+00,192,256,192,240,0,0
native:cta,cdouble,192,256,320,C,native:cta,0.28296,0.28288,0.0021,897.5,0.945,0.00e+00,192,256,192,240,0,0
vendor,cdouble,192,256,512,C,vendor:auto,1.22955,1.22954,0.0041,330.5,0.348,0.00e+00,192,256,192,384,0,0
native:cta,cdouble,192,256,512,C,native:cta,0.44416,0.44434,0.0016,914.8,0.963,0.00e+00,192,256,192,384,0,0
vendor,cdouble,192,256,1024,C,vendor:auto,2.56076,2.56633,0.0078,317.3,0.334,0.00e+00,192,256,192,768,0,0
native:cta,cdouble,192,256,1024,C,native:cta,0.87982,0.88013,0.0032,923.6,0.972,0.00e+00,192,256,192,768,0,0
vendor,cdouble,256,256,192,C,vendor:auto,0.22510,0.22505,0.0039,901.4,0.949,0.00e+00,256,256,256,192,0,0
native:cta,cdouble,256,256,192,C,native:cta,0.22854,0.22960,0.0102,887.8,0.935,0.00e+00,256,256,256,192,0,0
vendor,cdouble,256,256,256,C,vendor:auto,0.29508,0.29530,0.0025,916.8,0.965,0.00e+00,256,256,256,256,0,0
native:cta,cdouble,256,256,256,C,native:cta,0.30087,0.30168,0.0071,899.2,0.946,0.00e+00,256,256,256,256,0,0
vendor,cdouble,256,256,320,C,vendor:auto,0.99623,0.99475,0.0058,339.4,0.357,0.00e+00,256,256,256,320,0,0
native:cta,cdouble,256,256,320,C,native:cta,0.37209,0.37243,0.0040,908.8,0.957,0.00e+00,256,256,256,320,0,0
vendor,cdouble,256,256,512,C,vendor:auto,1.68318,1.67814,0.0099,321.5,0.338,0.00e+00,256,256,256,512,0,0
native:cta,cdouble,256,256,512,C,native:cta,0.58893,0.58863,0.0027,918.7,0.967,0.00e+00,256,256,256,512,0,0
vendor,cdouble,256,256,1024,C,vendor:auto,3.50595,3.50756,0.0069,308.7,0.325,0.00e+00,256,256,256,1024,0,0
native:cta,cdouble,256,256,1024,C,native:cta,1.16222,1.16326,0.0020,931.1,0.980,0.00e+00,256,256,256,1024,0,0
vendor,cdouble,320,256,192,C,vendor:auto,0.31637,0.31614,0.0096,801.0,0.843,0.00e+00,320,256,320,240,0,0
native:cta,cdouble,320,256,192,C,native:cta,0.28273,0.28268,0.0045,896.4,0.944,0.00e+00,320,256,320,240,0,0
vendor,cdouble,320,256,256,C,vendor:auto,0.41331,0.41339,0.0048,817.5,0.861,0.00e+00,320,256,320,320,0,0
native:cta,cdouble,320,256,256,C,native:cta,0.37049,0.37024,0.0020,912.0,0.960,0.00e+00,320,256,320,320,0,0
vendor,cdouble,320,256,320,C,vendor:auto,1.27868,1.27660,0.0113,330.3,0.348,0.00e+00,320,256,320,400,0,0
native:cta,cdouble,320,256,320,C,native:cta,0.46020,0.46123,0.0077,917.8,0.966,0.00e+00,320,256,320,400,0,0
vendor,cdouble,320,256,512,C,vendor:auto,2.17015,2.25256,0.0603,311.4,0.328,0.00e+00,320,256,320,640,0,0
