arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,foreign
native:cta,cdouble,2048,1,512,C,native:cta,0.01580,0.01578,0.0069,2124.1,2.236,0.00e+00,2048,1,2048,0
vendor,float,4,1024,512,N,vendor:auto,0.01047,0.01049,0.0105,1002.2,1.055,0.00e+00,4,4,1024,0
native:direct,float,4,1024,512,N,native:direct,0.01014,0.01020,0.0120,1034.9,1.089,0.00e+00,4,4,1024,0
vendor,double,4,1024,512,N,vendor:auto,0.01524,0.01524,0.0105,1377.2,1.450,0.00e+00,4,4,1024,0
native:direct,double,4,1024,512,N,native:direct,0.01280,0.01281,0.0081,1639.8,1.726,0.00e+00,4,4,1024,0
vendor,cfloat,4,1024,512,N,vendor:auto,0.01230,0.01236,0.0141,1705.8,1.796,0.00e+00,4,4,1024,0
native:direct,cfloat,4,1024,512,N,native:direct,0.01160,0.01163,0.0079,1809.3,1.905,0.00e+00,4,4,1024,0
vendor,cdouble,4,1024,512,N,vendor:auto,0.03423,0.03433,0.0086,1226.4,1.291,0.00e+00,4,4,1024,0
native:direct,cdouble,4,1024,512,N,native:direct,0.02015,0.02020,0.0061,2082.6,2.192,0.00e+00,4,4,1024,0
vendor,float,1024,4,512,T,vendor:auto,0.01109,0.01119,0.0379,946.6,0.996,0.00e+00,1024,4,1024,0
native:direct,float,1024,4,512,T,native:direct,0.03716,0.03716,0.0018,282.4,0.297,0.00e+00,1024,4,1024,0
native:cta,float,1024,4,512,T,native:cta,0.00813,0.00812,0.0133,1290.1,1.358,0.00e+00,1024,4,1024,0
vendor,double,1024,4,512,T,vendor:auto,0.01291,0.01291,0.0153,1625.7,1.711,0.00e+00,1024,4,1024,0
native:direct,double,1024,4,512,T,native:direct,0.05676,0.05706,0.0088,369.7,0.389,0.00e+00,1024,4,1024,0
native:cta,double,1024,4,512,T,native:cta,0.01119,0.01117,0.0066,1875.6,1.974,0.00e+00,1024,4,1024,0
vendor,cfloat,1024,4,512,T,vendor:auto,0.01170,0.01174,0.0116,1793.7,1.888,0.00e+00,1024,4,1024,0
native:direct,cfloat,1024,4,512,T,native:direct,0.07024,0.07021,0.0012,298.8,0.315,0.00e+00,1024,4,1024,0
native:cta,cfloat,1024,4,512,T,native:cta,0.01022,0.01026,0.0116,2052.8,2.161,0.00e+00,1024,4,1024,0
vendor,cdouble,1024,4,512,T,vendor:auto,0.02261,0.02258,0.0088,1856.2,1.954,0.00e+00,1024,4,1024,0
native:direct,cdouble,1024,4,512,T,native:direct,0.12136,0.12132,0.0009,345.9,0.364,0.00e+00,1024,4,1024,0
native:cta,cdouble,1024,4,512,T,native:cta,0.02446,0.02447,0.0073,1716.1,1.806,0.00e+00,1024,4,1024,0
vendor,float,1024,4,512,C,vendor:auto,0.00972,0.00969,0.0154,1079.8,1.137,0.00e+00,1024,4,1024,0
native:direct,float,1024,4,512,C,native:direct,0.03710,0.03709,0.0018,282.9,0.298,0.00e+00,1024,4,1024,0
native:cta,float,1024,4,512,C,native:cta,0.00815,0.00813,0.0138,1287.8,1.356,0.00e+00,1024,4,1024,0
vendor,double,1024,4,512,C,vendor:auto,0.01292,0.01294,0.0191,1624.6,1.710,0.00e+00,1024,4,1024,0
native:direct,double,1024,4,512,C,native:direct,0.05664,0.05667,0.0018,370.5,0.390,0.00e+00,1024,4,1024,0
native:cta,double,1024,4,512,C,native:cta,0.01113,0.01116,0.0107,1885.7,1.985,0.00e+00,1024,4,1024,0
vendor,cfloat,1024,4,512,C,vendor:auto,0.01180,0.01181,0.0125,1779.1,1.873,0.00e+00,1024,4,1024,0
native:direct,cfloat,1024,4,512,C,native:direct,0.07010,0.07010,0.0008,299.4,0.315,0.00e+00,1024,4,1024,0
native:cta,cfloat,1024,4,512,C,native:cta,0.01017,0.01020,0.0096,2064.7,2.173,0.00e+00,1024,4,1024,0
vendor,cdouble,1024,4,512,C,vendor:auto,0.02252,0.02254,0.0038,1863.9,1.962,0.00e+00,1024,4,1024,0
native:direct,cdouble,1024,4,512,C,native:direct,0.12125,0.12125,0.0015,346.2,0.364,0.00e+00,1024,4,1024,0
native:cta,cdouble,1024,4,512,C,native:cta,0.02438,0.02436,0.0044,1722.0,1.813,0.00e+00,1024,4,1024,0
vendor,float,16,512,512,N,vendor:auto,0.01138,0.01138,0.0062,1569.2,1.652,0.00e+00,16,16,512,0
native:direct,float,16,512,512,N,native:direct,0.01415,0.01417,0.0067,1261.9,1.328,0.00e+00,16,16,512,0
vendor,double,16,512,512,N,vendor:auto,0.01709,0.01708,0.0071,2089.6,2.200,0.00e+00,16,16,512,0
native:direct,double,16,512,512,N,native:direct,0.01914,0.01913,0.0041,1866.4,1.965,0.00e+00,16,16,512,0
vendor,cfloat,16,512,512,N,vendor:auto,0.01482,0.01483,0.0082,2409.4,2.536,0.00e+00,16,16,512,0
native:direct,cfloat,16,512,512,N,native:direct,0.01638,0.01638,0.0080,2180.1,2.295,0.00e+00,16,16,512,0
vendor,cdouble,16,512,512,N,vendor:auto,0.03500,0.03496,0.0055,2040.7,2.148,0.00e+00,16,16,512,0
native:direct,cdouble,16,512,512,N,native:direct,0.03390,0.03393,0.0042,2107.1,2.218,0.00e+00,16,16,512,0
vendor,float,512,16,512,T,vendor:auto,0.01093,0.01129,0.1027,1633.8,1.720,0.00e+00,512,16,512,0
native:direct,float,512,16,512,T,native:direct,0.02126,0.02129,0.0076,840.1,0.884,0.00e+00,512,16,512,0
native:cta,float,512,16,512,T,native:cta,0.00987,0.01026,0.1187,1810.3,1.906,0.00e+00,512,16,512,0
vendor,double,512,16,512,T,vendor:auto,0.01731,0.01763,0.0565,2062.9,2.171,0.00e+00,512,16,512,0
native:direct,double,512,16,512,T,native:direct,0.03094,0.03095,0.0020,1154.3,1.215,0.00e+00,512,16,512,0
native:cta,double,512,16,512,T,native:cta,0.01812,0.01812,0.0054,1970.7,2.074,0.00e+00,512,16,512,0
vendor,cfloat,512,16,512,T,vendor:auto,0.01459,0.01466,0.0096,2448.4,2.577,0.00e+00,512,16,512,0
native:direct,cfloat,512,16,512,T,native:direct,0.04700,0.04400,0.0918,759.9,0.800,0.00e+00,512,16,512,0
