type,m,n,batch,transA,arm,wA,wB,med_a_ms,med_b_ms,relsd_a,relsd_b,GBs_a,GBs_b,ratio,relerr_a,relerr_b,ld,out_len,red_len,MB,foreign
cfloat,16,256,512,T,4,4,1,0.01239,0.02628,0.0100,0.0055,1443.9,680.7,2.1212,0.00e+00,0.00e+00,16,256,16,16,0
cfloat,16,256,512,T,8,8,1,0.01325,0.02645,0.0118,0.0038,1350.7,676.4,1.9968,0.00e+00,0.00e+00,16,256,16,16,0
float,16,256,512,T,2,2,1,0.01538,0.02326,0.0059,0.0051,581.8,384.7,1.5123,0.00e+00,0.00e+00,16,256,16,8,0
float,16,256,512,T,4,4,1,0.01043,0.02302,0.0064,0.0039,857.4,388.7,2.2060,0.00e+00,0.00e+00,16,256,16,8,0
float,16,256,512,T,8,8,1,0.00864,0.02313,0.0076,0.0074,1034.8,386.7,2.6758,0.00e+00,0.00e+00,16,256,16,8,0
cdouble,24,256,512,T,2,2,1,0.11157,0.16500,0.0011,0.0013,471.7,318.9,1.4790,0.00e+00,0.00e+00,24,256,24,48,0
cdouble,24,256,512,T,4,4,1,0.05569,0.16480,0.0076,0.0013,945.0,319.3,2.9593,0.00e+00,0.00e+00,24,256,24,48,0
cdouble,24,256,512,T,8,8,1,0.04164,0.16475,0.0022,0.0011,1263.7,319.4,3.9562,0.00e+00,0.00e+00,24,256,24,48,0
double,24,256,512,T,2,2,1,0.03385,0.06852,0.0062,0.0021,777.2,384.0,2.0239,0.00e+00,0.00e+00,24,256,24,24,0
double,24,256,512,T,4,4,1,0.01851,0.06842,0.0079,0.0021,1421.8,384.6,3.6970,0.00e+00,0.00e+00,24,256,24,24,0
double,24,256,512,T,8,8,1,0.01617,0.06943,0.0087,0.0358,1627.2,379.0,4.2932,0.00e+00,0.00e+00,24,256,24,24,0
cfloat,24,256,512,T,2,2,1,0.01818,0.02552,0.0045,0.0035,1447.3,1031.0,1.4037,0.00e+00,0.00e+00,24,256,24,24,0
cfloat,24,256,512,T,4,4,1,0.01233,0.02551,0.0066,0.0036,2133.5,1031.4,2.0686,0.00e+00,0.00e+00,24,256,24,24,0
cfloat,24,256,512,T,8,8,1,0.01510,0.02560,0.0997,0.0027,1743.0,1027.6,1.6961,0.00e+00,0.00e+00,24,256,24,24,0
float,24,256,512,T,2,2,1,0.01537,0.02308,0.0126,0.0055,855.9,570.0,1.5017,0.00e+00,0.00e+00,24,256,24,12,0
float,24,256,512,T,4,4,1,0.01057,0.02323,0.0084,0.0083,1244.5,566.4,2.1969,0.00e+00,0.00e+00,24,256,24,12,0
float,24,256,512,T,8,8,1,0.01102,0.02431,0.0292,0.0103,1193.6,541.2,2.2057,0.00e+00,0.00e+00,24,256,24,12,0
cdouble,32,256,512,T,2,2,1,0.09573,0.16546,0.0011,0.0010,725.7,419.9,1.7284,0.00e+00,0.00e+00,32,256,32,64,0
cdouble,32,256,512,T,4,4,1,0.06433,0.16489,0.0025,0.0011,1079.8,421.3,2.5630,0.00e+00,0.00e+00,32,256,32,64,0
cdouble,32,256,512,T,8,8,1,0.05075,0.16595,0.0027,0.0010,1368.8,418.6,3.2699,0.00e+00,0.00e+00,32,256,32,64,0
double,32,256,512,T,2,2,1,0.03419,0.06851,0.0024,0.0018,1015.9,507.0,2.0038,0.00e+00,0.00e+00,32,256,32,32,0
