type,m,n,batch,transA,arm,wA,wB,med_a_ms,med_b_ms,relsd_a,relsd_b,GBs_a,GBs_b,ratio,relerr_a,relerr_b,ld,out_len,red_len,MB,foreign
cdouble,32,64,512,T,auto,8,1,0.01704,0.04571,0.0080,0.0034,1030.8,384.2,2.6826,0.00e+00,0.00e+00,32,64,32,16,0
double,32,64,512,T,auto,8,1,0.00982,0.02153,0.0093,0.0028,894.4,407.9,2.1927,0.00e+00,0.00e+00,32,64,32,8,0
cfloat,32,64,512,T,auto,1,1,0.01079,0.01083,0.0072,0.0081,813.7,811.2,1.0032,0.00e+00,0.00e+00,32,64,32,8,0
float,32,64,512,T,auto,4,1,0.00752,0.01016,0.0143,0.0076,583.7,432.2,1.3504,0.00e+00,0.00e+00,32,64,32,4,0
cdouble,64,64,512,T,auto,4,1,0.02899,0.05416,0.0104,0.0017,1193.7,639.0,1.8682,0.00e+00,0.00e+00,64,64,64,32,0
double,64,64,512,T,auto,1,1,0.02187,0.02187,0.0054,0.0058,791.1,791.2,0.9999,0.00e+00,0.00e+00,64,64,64,16,0
cfloat,64,64,512,T,auto,1,1,0.01149,0.01148,0.0621,0.0157,1505.4,1506.7,0.9991,0.00e+00,0.00e+00,64,64,64,16,0
float,64,64,512,T,auto,1,1,0.01022,0.01015,0.0149,0.0161,846.5,852.0,0.9935,0.00e+00,0.00e+00,64,64,64,8,0
cdouble,32,1,128,T,auto,1,1,0.00680,0.00675,0.0189,0.0230,19.6,19.7,0.9918,0.00e+00,0.00e+00,32,1,32,0,0
double,32,1,128,T,auto,1,1,0.00610,0.00596,0.0158,0.0230,10.9,11.2,0.9774,0.00e+00,0.00e+00,32,1,32,0,0
cfloat,32,1,128,T,auto,1,1,0.00590,0.00590,0.0149,0.0118,11.3,11.3,1.0000,0.00e+00,0.00e+00,32,1,32,0,0
float,32,1,128,T,auto,1,1,0.00596,0.00600,0.0146,0.0928,5.6,5.5,1.0062,0.00e+00,0.00e+00,32,1,32,0,0
cdouble,64,1,128,T,auto,1,1,0.00638,0.00630,0.0159,0.1048,41.4,41.9,0.9873,0.00e+00,0.00e+00,64,1,64,0,0
double,64,1,128,T,auto,1,1,0.00620,0.00616,0.0163,0.0124,21.3,21.4,0.9945,0.00e+00,0.00e+00,64,1,64,0,0
cfloat,64,1,128,T,auto,1,1,0.00592,0.00597,0.0141,0.0182,22.3,22.1,1.0088,0.00e+00,0.00e+00,64,1,64,0,0
float,64,1,128,T,auto,1,1,0.00650,0.00660,0.0277,0.0155,10.2,10.0,1.0149,0.00e+00,0.00e+00,64,1,64,0,0
cdouble,32,4,128,T,auto,1,1,0.00665,0.00657,0.0092,0.0686,50.5,51.1,0.9886,0.00e+00,0.00e+00,32,4,32,0,0
double,32,4,128,T,auto,1,1,0.00636,0.00624,0.1094,0.0561,26.4,26.9,0.9808,0.00e+00,0.00e+00,32,4,32,0,0
cfloat,32,4,128,T,auto,1,1,0.00627,0.00628,0.0132,0.0144,26.8,26.7,1.0014,0.00e+00,0.00e+00,32,4,32,0,0
float,32,4,128,T,auto,1,1,0.00626,0.00617,0.0095,0.0171,13.4,13.6,0.9856,0.00e+00,0.00e+00,32,4,32,0,0
cdouble,64,4,128,T,auto,1,1,0.00678,0.00672,0.0083,0.0116,97.9,98.8,0.9913,0.00e+00,0.00e+00,64,4,64,0,0
double,64,4,128,T,auto,1,1,0.00624,0.00625,0.0098,0.0095,53.2,53.1,1.0014,0.00e+00,0.00e+00,64,4,64,0,0
cfloat,64,4,128,T,auto,1,1,0.00625,0.00626,0.0145,0.0139,53.1,53.0,1.0008,0.00e+00,0.00e+00,64,4,64,0,0
float,64,4,128,T,auto,1,1,0.00622,0.00626,0.0138,0.0141,26.7,26.5,1.0074,0.00e+00,0.00e+00,64,4,64,0,0
cdouble,32,16,128,T,auto,8,1,0.00692,0.00849,0.0172,0.0134,165.6,135.1,1.2256,0.00e+00,0.00e+00,32,16,32,1,0
double,32,16,128,T,auto,8,1,0.00651,0.00684,0.0099,0.0107,88.2,83.8,1.0518,0.00e+00,0.00e+00,32,16,32,0,0
cfloat,32,16,128,T,auto,1,1,0.00626,0.00621,0.0231,0.1269,91.5,92.3,0.9919,0.00e+00,0.00e+00,32,16,32,0,0
float,32,16,128,T,auto,1,1,0.00617,0.00619,0.0144,0.0064,46.4,46.3,1.0023,0.00e+00,0.00e+00,32,16,32,0,0
cdouble,64,16,128,T,auto,1,1,0.00915,0.00914,0.0078,0.0093,247.2,247.5,0.9987,0.00e+00,0.00e+00,64,16,64,2,0
double,64,16,128,T,auto,1,1,0.00697,0.00704,0.0075,0.0215,162.2,160.7,1.0096,0.00e+00,0.00e+00,64,16,64,1,0
cfloat,64,16,128,T,auto,1,1,0.00641,0.00643,0.0088,0.0142,176.3,175.8,1.0031,0.00e+00,0.00e+00,64,16,64,1,0
float,64,16,128,T,auto,1,1,0.00622,0.00619,0.0145,0.0084,90.9,91.4,0.9945,0.00e+00,0.00e+00,64,16,64,0,0
cdouble,32,64,128,T,auto,8,1,0.00878,0.01606,0.0081,0.0047,500.0,273.3,1.8294,0.00e+00,0.00e+00,32,64,32,4,0
double,32,64,128,T,auto,8,1,0.00694,0.01031,0.4895,0.0130,316.6,213.0,1.4862,0.00e+00,0.00e+00,32,64,32,2,0
cfloat,32,64,128,T,auto,1,1,0.00723,0.00722,0.0080,0.0115,303.7,304.0,0.9990,0.00e+00,0.00e+00,32,64,32,2,0
float,32,64,128,T,auto,4,1,0.00642,0.00702,0.0113,0.0166,170.9,156.4,1.0928,0.00e+00,0.00e+00,32,64,32,1,0
cdouble,64,64,128,T,auto,4,1,0.01197,0.01826,0.0062,0.0056,722.8,473.9,1.5253,0.00e+00,0.00e+00,64,64,64,8,0
double,64,64,128,T,auto,1,1,0.01029,0.01041,0.0090,0.0124,420.5,415.5,1.0120,0.00e+00,0.00e+00,64,64,64,4,0
cfloat,64,64,128,T,auto,1,1,0.00788,0.00793,0.0098,0.0140,548.8,545.7,1.0058,0.00e+00,0.00e+00,64,64,64,4,0
float,64,64,128,T,auto,1,1,0.00697,0.00702,0.0091,0.0185,310.4,308.1,1.0076,0.00e+00,0.00e+00,64,64,64,2,0
cdouble,32,1,4096,T,auto,8,1,0.00766,0.01127,0.0130,0.0052,556.5,378.1,1.4716,0.00e+00,0.00e+00,32,1,32,2,0
double,32,1,4096,T,auto,8,1,0.00681,0.00803,0.0087,0.0270,312.8,265.3,1.1792,0.00e+00,0.00e+00,32,1,32,1,0
cfloat,32,1,4096,T,auto,1,1,0.00655,0.00659,0.0094,0.0102,325.1,323.2,1.0061,0.00e+00,0.00e+00,32,1,32,1,0
float,32,1,4096,T,auto,1,1,0.00637,0.00632,0.0176,0.0153,167.1,168.5,0.9920,0.00e+00,0.00e+00,32,1,32,0,0
cdouble,32,4,4096,T,auto,8,1,0.01171,0.02601,0.0070,0.0039,917.8,413.2,2.2209,0.00e+00,0.00e+00,32,4,32,8,0
double,32,4,4096,T,auto,8,1,0.00807,0.01418,0.0122,0.0305,666.2,378.8,1.7586,0.00e+00,0.00e+00,32,4,32,4,0
cfloat,32,4,4096,T,auto,1,1,0.00847,0.00855,0.0108,0.0099,634.8,628.5,1.0100,0.00e+00,0.00e+00,32,4,32,4,0
float,32,4,4096,T,auto,4,1,0.00685,0.00800,0.0135,0.0108,392.0,336.0,1.1664,0.00e+00,0.00e+00,32,4,32,2,0
cdouble,32,16,4096,T,auto,8,1,0.02809,0.08549,0.0031,0.0010,1306.5,429.3,3.0434,0.00e+00,0.00e+00,32,16,32,32,0
double,32,16,4096,T,auto,8,1,0.01312,0.03714,0.0060,0.0035,1398.4,494.1,2.8304,0.00e+00,0.00e+00,32,16,32,16,0
cfloat,32,16,4096,T,auto,1,1,0.01610,0.01623,0.0065,0.0059,1139.9,1130.8,1.0081,0.00e+00,0.00e+00,32,16,32,16,0
float,32,16,4096,T,auto,4,1,0.00889,0.01447,0.0129,0.0720,1032.5,634.0,1.6285,0.00e+00,0.00e+00,32,16,32,8,0
