arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,MB,foreign
vendor,cdouble,64,512,512,T,vendor:auto,0.73324,0.73419,0.0040,372.5,0.392,0.00e+00,64,512,64,256,0
native:cta,cdouble,64,512,512,T,native:cta,0.39122,0.39118,0.0007,698.2,0.735,0.00e+00,64,512,64,256,0
vendor,cdouble,64,512,512,C,vendor:auto,0.73189,0.73186,0.0023,373.2,0.393,0.00e+00,64,512,64,256,0
native:cta,cdouble,64,512,512,C,native:cta,0.39091,0.39096,0.0007,698.8,0.736,0.00e+00,64,512,64,256,0
vendor,cdouble,128,512,128,T,vendor:auto,0.15104,0.15119,0.0050,897.3,0.945,0.00e+00,128,512,128,128,0
native:cta,cdouble,128,512,128,T,native:cta,0.15745,0.15725,0.0039,860.8,0.906,0.00e+00,128,512,128,128,0
vendor,cdouble,128,512,128,C,vendor:auto,0.15122,0.15115,0.0026,896.2,0.943,0.00e+00,128,512,128,128,0
native:cta,cdouble,128,512,128,C,native:cta,0.15757,0.15747,0.0039,860.1,0.905,0.00e+00,128,512,128,128,0
vendor,cdouble,128,512,512,T,vendor:auto,1.51116,1.50790,0.0166,358.7,0.378,0.00e+00,128,512,128,512,0
native:cta,cdouble,128,512,512,T,native:cta,0.59016,0.59011,0.0009,918.6,0.967,0.00e+00,128,512,128,512,0
vendor,cdouble,128,512,512,C,vendor:auto,1.62827,1.62901,0.0094,332.9,0.350,0.00e+00,128,512,128,512,0
native:cta,cdouble,128,512,512,C,native:cta,0.59058,0.59072,0.0014,917.9,0.966,0.00e+00,128,512,128,512,0
vendor,cdouble,32,2048,128,T,vendor:auto,0.15279,0.15293,0.0045,906.3,0.954,0.00e+00,32,2048,32,128,0
native:cta,cdouble,32,2048,128,T,native:cta,0.32463,0.32488,0.0035,426.6,0.449,0.00e+00,32,2048,32,128,0
vendor,cdouble,32,2048,128,C,vendor:auto,0.15188,0.15192,0.0029,911.8,0.960,0.00e+00,32,2048,32,128,0
native:cta,cdouble,32,2048,128,C,native:cta,0.32448,0.32447,0.0009,426.8,0.449,0.00e+00,32,2048,32,128,0
vendor,cdouble,32,2048,512,T,vendor:auto,0.71968,0.71906,0.0069,769.7,0.810,0.00e+00,32,2048,32,512,0
native:cta,cdouble,32,2048,512,T,native:cta,1.27521,1.27523,0.0002,434.4,0.457,0.00e+00,32,2048,32,512,0
vendor,cdouble,32,2048,512,C,vendor:auto,0.74713,0.74513,0.0052,741.4,0.780,0.00e+00,32,2048,32,512,0
native:cta,cdouble,32,2048,512,C,native:cta,1.27507,1.27552,0.0008,434.4,0.457,0.00e+00,32,2048,32,512,0
vendor,cdouble,64,2048,128,T,vendor:auto,0.76987,0.76959,0.0027,354.3,0.373,0.00e+00,64,2048,64,256,0
native:cta,cdouble,64,2048,128,T,native:cta,0.39131,0.39127,0.0008,697.1,0.734,0.00e+00,64,2048,64,256,0
vendor,cdouble,64,2048,128,C,vendor:auto,0.79763,0.79744,0.0051,342.0,0.360,0.00e+00,64,2048,64,256,0
native:cta,cdouble,64,2048,128,C,native:cta,0.39095,0.39094,0.0005,697.7,0.734,0.00e+00,64,2048,64,256,0
vendor,cdouble,64,2048,512,T,vendor:auto,2.94578,2.97699,0.0494,370.4,0.390,0.00e+00,64,2048,64,1024,0
native:cta,cdouble,64,2048,512,T,native:cta,1.54082,1.54107,0.0005,708.1,0.745,0.00e+00,64,2048,64,1024,0
vendor,cdouble,64,2048,512,C,vendor:auto,3.08092,3.07732,0.0173,354.1,0.373,0.00e+00,64,2048,64,1024,0
native:cta,cdouble,64,2048,512,C,native:cta,1.54045,1.54045,0.0002,708.3,0.746,0.00e+00,64,2048,64,1024,0
vendor,cdouble,128,2048,128,T,vendor:auto,1.54565,1.53767,0.0156,350.2,0.369,0.00e+00,128,2048,128,512,0
native:cta,cdouble,128,2048,128,T,native:cta,0.59025,0.61702,0.1383,917.1,0.965,0.00e+00,128,2048,128,512,0
vendor,cdouble,128,2048,128,C,vendor:auto,1.64773,1.68931,0.0600,328.5,0.346,0.00e+00,128,2048,128,512,0
native:cta,cdouble,128,2048,128,C,native:cta,0.59113,0.59092,0.0021,915.7,0.964,0.00e+00,128,2048,128,512,0
vendor,cdouble,128,2048,512,T,vendor:auto,6.32538,6.32221,0.0031,342.3,0.360,0.00e+00,128,2048,128,2048,0
native:cta,cdouble,128,2048,512,T,native:cta,2.32670,2.32707,0.0019,930.6,0.980,0.00e+00,128,2048,128,2048,0
vendor,cdouble,128,2048,512,C,vendor:auto,6.72650,6.72610,0.0036,321.9,0.339,0.00e+00,128,2048,128,2048,0
native:cta,cdouble,128,2048,512,C,native:cta,2.32893,2.45788,0.0876,929.7,0.979,0.00e+00,128,2048,128,2048,0
