n,batch,beta,arm,rep,gflops
96,512,0,sycl,2,7989.1
96,512,0,sycl,3,7944.4
96,512,1,vendor,1,18131.
96,512,1,vendor,2,18175.
96,512,1,vendor,3,17956.
96,512,1,sycl,1,7954.9
96,512,1,sycl,2,7845.0
96,512,1,sycl,3,7877.3
127,512,0,vendor,1,17986.
127,512,0,vendor,2,18028.
127,512,0,vendor,3,18002.
127,512,0,sycl,1,6483.9
127,512,0,sycl,2,6417.8
127,512,0,sycl,3,6475.1
127,512,1,vendor,1,14768.
127,512,1,vendor,2,14807.
127,512,1,vendor,3,14766.
127,512,1,sycl,1,6484.0
127,512,1,sycl,2,6412.8
127,512,1,sycl,3,6481.1
128,512,0,vendor,1,18734.
128,512,0,vendor,2,18733.
128,512,0,vendor,3,18758.
128,512,0,sycl,1,18437.
128,512,0,sycl,2,18425.
128,512,0,sycl,3,18435.
128,512,1,vendor,1,15139.
128,512,1,vendor,2,15100.
128,512,1,vendor,3,15143.
128,512,1,sycl,1,14684.
128,512,1,sycl,2,14658.
128,512,1,sycl,3,14687.
192,256,0,vendor,1,24300.
192,256,0,vendor,2,24383.
192,256,0,vendor,3,23172.
192,256,0,sycl,1,9580.3
192,256,0,sycl,2,9579.3
192,256,0,sycl,3,9586.1
192,256,1,vendor,1,20265.
192,256,1,vendor,2,20430.
192,256,1,vendor,3,20669.
192,256,1,sycl,1,9583.6
192,256,1,sycl,2,9559.8
192,256,1,sycl,3,9587.8
256,256,0,vendor,1,35429.
256,256,0,vendor,2,35433.
256,256,0,vendor,3,35413.
256,256,0,sycl,1,28499.
256,256,0,sycl,2,28329.
256,256,0,sycl,3,28510.
256,256,1,vendor,1,27365.
256,256,1,vendor,2,27359.
256,256,1,vendor,3,27358.
256,256,1,sycl,1,23814.
256,256,1,sycl,2,23799.
256,256,1,sycl,3,23829.
384,128,0,vendor,1,43582.
384,128,0,vendor,2,43761.
384,128,0,vendor,3,42996.
384,128,0,sycl,1,34222.
384,128,0,sycl,2,34701.
384,128,0,sycl,3,34254.
384,128,1,vendor,1,38400.
384,128,1,vendor,2,38491.
384,128,1,vendor,3,38377.
384,128,1,sycl,1,29654.
384,128,1,sycl,2,29551.
384,128,1,sycl,3,29664.
512,128,0,vendor,1,46331.
512,128,0,vendor,2,46200.
512,128,0,vendor,3,46223.
512,128,0,sycl,1,42075.
512,128,0,sycl,2,42047.
512,128,0,sycl,3,42104.
512,128,1,vendor,1,42146.
512,128,1,vendor,2,42184.
512,128,1,vendor,3,42106.
512,128,1,sycl,1,38341.
512,128,1,sycl,2,38311.
512,128,1,sycl,3,38391.
640,96,0,vendor,1,43054.
640,96,0,vendor,2,45008.
640,96,0,vendor,3,45131.
640,96,0,sycl,1,42282.
640,96,0,sycl,2,42236.
640,96,0,sycl,3,42328.
640,96,1,vendor,1,44243.
640,96,1,vendor,2,43814.
640,96,1,vendor,3,44444.
640,96,1,sycl,1,40009.
640,96,1,sycl,2,39842.
640,96,1,sycl,3,40036.
768,96,0,vendor,1,46881.
768,96,0,vendor,2,46165.
768,96,0,vendor,3,48823.
768,96,0,sycl,1,44033.
768,96,0,sycl,2,44224.
768,96,0,sycl,3,44441.
768,96,1,vendor,1,46224.
768,96,1,vendor,2,46316.
768,96,1,vendor,3,45913.
768,96,1,sycl,1,42633.
768,96,1,sycl,2,41951.
768,96,1,sycl,3,42141.
1024,64,0,vendor,1,47849.
1024,64,0,vendor,2,49336.
1024,64,0,vendor,3,46611.
1024,64,0,sycl,1,46169.
1024,64,0,sycl,2,45662.
1024,64,0,sycl,3,46662.
1024,64,1,vendor,1,45859.
1024,64,1,vendor,2,45051.
1024,64,1,vendor,3,45050.
1024,64,1,sycl,1,44179.
1024,64,1,sycl,2,43776.
1024,64,1,sycl,3,43708.
