== vendor arm: AFTER / BEFORE, getrf and getri
op     type     n      batch       before      after    ratio route(after)
getri  cdouble  512    32         31.4129    31.4126    1.000 native:blocked|native:blocked
getri  cdouble  512    1024      973.1911   973.3905    1.000 native:blocked|native:blocked
getri  cdouble  1024   32        222.7889   222.8705    1.000 native:blocked|native:blocked
getri  cdouble  2048   32       1674.7848  1675.2122    1.000 native:blocked|native:blocked
getri  cfloat   32     32          0.0452     0.0449    0.993 native:cta|native:blocked
getri  cfloat   32     1024        0.2259     0.2272    1.006 native:cta|native:blocked
getri  cfloat   64     32          0.1017     0.1008    0.991 native:cta|native:blocked
getri  cfloat   64     1024        0.7013     0.7017    1.001 native:cta|native:blocked
getri  cfloat   128    32          0.2538     0.2538    1.000 native:blocked|native:blocked
getri  cfloat   128    1024        3.2055     3.2011    0.999 native:blocked|native:blocked
getri  cfloat   256    32          0.7082     0.6947    0.981 native:blocked|native:blocked
getri  cfloat   256    1024       15.0970    15.1420    1.003 native:blocked|native:blocked
getri  cfloat   512    32          2.5470     2.5531    1.002 native:blocked|native:blocked
getri  cfloat   512    1024       67.0843    67.2887    1.003 native:blocked|native:blocked
getri  cfloat   1024   32         12.8249    13.0489    1.017 native:blocked|native:blocked
getri  cfloat   2048   32         67.3944    67.9518    1.008 native:blocked|native:blocked
getri  double   32     32          0.0656     0.0659    1.005 native:cta|native:blocked
getri  double   32     1024        0.4902     0.4888    0.997 native:cta|native:blocked
getri  double   64     32          0.1318     0.1320    1.002 native:blocked|native:blocked
getri  double   64     1024        1.2033     1.2014    0.998 native:blocked|native:blocked
getri  double   128    32          0.3281     0.3278    0.999 native:blocked|native:blocked
getri  double   128    1024        4.8081     4.8044    0.999 native:blocked|native:blocked
getri  double   256    32          1.2504     1.2582    1.006 native:blocked|native:blocked
getri  double   256    1024       28.7143    28.7624    1.002 native:blocked|native:blocked
getri  double   512    32          7.3089     7.3202    1.002 native:blocked|native:blocked
getri  double   512    1024      216.1875   216.6563    1.002 native:blocked|native:blocked
getri  double   1024   32         52.9936    53.0626    1.001 native:blocked|native:blocked
getri  double   2048   32        411.9945   412.7956    1.002 native:blocked|native:blocked
getri  float    32     32          0.0463     0.0459    0.991 native:cta|native:blocked
getri  float    32     1024        0.0946     0.0941    0.995 native:cta|native:blocked
getri  float    64     32          0.0900     0.0901    1.001 native:cta|native:blocked
getri  float    64     1024        0.2357     0.2351    0.997 native:cta|native:blocked
getri  float    128    32          0.1930     0.1931    1.001 native:cta|native:blocked
getri  float    128    1024        0.9055     0.9019    0.996 native:cta|native:blocked
getri  float    256    32          0.4353     0.4345    0.998 native:blocked|native:blocked
getri  float    256    1024        5.9064     5.8838    0.996 native:blocked|native:blocked
getri  float    512    32          1.1307     1.1402    1.008 native:blocked|native:blocked
getri  float    512    1024       39.3529    39.3226    0.999 native:blocked|native:blocked
getri  float    1024   32          5.7513     5.7525    1.000 native:blocked|native:blocked
getri  float    2048   32         43.5802    43.5492    0.999 native:blocked|native:blocked
   96 cells compared, GEOMEAN after/before = 0.9983, worst 0.931, best 1.017, 1 outside +/-5%

