name,arg0,arg1,arg2,arg3,arg4,iterations,avg_ms,stddev_ms,Time (µs) / matrix
"(BM_Ortho<float, batchlas::Backend::CUDA>)",128,1024,128,2,1,50,1.49962,0.00200144,11.7158
"(BM_Ortho<float, batchlas::Backend::CUDA>)",128,1024,512,0,1,47,4.32115,0.00743291,8.43975
"(BM_Ortho<float, batchlas::Backend::CUDA>)",128,1024,512,2,1,31,6.47551,0.00671832,12.6475
"(BM_Ortho<float, batchlas::Backend::CUDA>)",128,4096,128,0,1,48,4.25394,0.00568198,33.2339
"(BM_Ortho<float, batchlas::Backend::CUDA>)",128,4096,128,2,1,32,6.38318,0.00612084,49.8686
"(BM_Ortho<float, batchlas::Backend::CUDA>)",128,4096,512,0,1,13,16.4373,0.0643043,32.1042
"(BM_Ortho<float, batchlas::Backend::CUDA>)",128,4096,512,2,1,9,24.8935,0.0568468,48.6201
"(BM_Ortho<float, batchlas::Backend::CUDA>)",256,1024,128,0,1,50,4.08163,0.00893264,31.8877
"(BM_Ortho<float, batchlas::Backend::CUDA>)",256,1024,128,2,1,33,6.13893,0.028319,47.9604
"(BM_Ortho<float, batchlas::Backend::CUDA>)",256,1024,512,0,1,13,16.1132,0.238281,31.471
"(BM_Ortho<float, batchlas::Backend::CUDA>)",256,1024,512,2,1,9,23.9151,0.144231,46.7092
"(BM_Ortho<float, batchlas::Backend::CUDA>)",256,4096,128,0,1,13,15.4166,0.150862,120.442
"(BM_Ortho<float, batchlas::Backend::CUDA>)",256,4096,128,2,1,9,23.3769,0.163295,182.632
"(BM_Ortho<float, batchlas::Backend::CUDA>)",256,4096,512,0,1,5,61.0485,0.816067,119.235
"(BM_Ortho<float, batchlas::Backend::CUDA>)",256,4096,512,2,1,5,90.203,1.86452,176.178
"(BM_Ortho<double, batchlas::Backend::CUDA>)",16,1024,128,0,1,50,0.562955,0.00274825,4.39809
"(BM_Ortho<double, batchlas::Backend::CUDA>)",16,1024,128,2,1,50,0.847445,0.00322095,6.62066
"(BM_Ortho<double, batchlas::Backend::CUDA>)",16,1024,512,0,1,50,1.92053,0.00330645,3.75104
"(BM_Ortho<double, batchlas::Backend::CUDA>)",16,1024,512,2,1,50,2.93427,0.00496402,5.73099
"(BM_Ortho<double, batchlas::Backend::CUDA>)",16,4096,128,0,1,50,2.13786,0.00450721,16.702
"(BM_Ortho<double, batchlas::Backend::CUDA>)",16,4096,128,2,1,50,3.22022,0.0054437,25.158
"(BM_Ortho<double, batchlas::Backend::CUDA>)",16,4096,512,0,1,27,7.56635,0.0140368,14.778
"(BM_Ortho<double, batchlas::Backend::CUDA>)",16,4096,512,2,1,18,11.7032,0.0220013,22.8578
"(BM_Ortho<double, batchlas::Backend::CUDA>)",32,1024,128,0,1,50,0.783782,0.000173558,6.12329
"(BM_Ortho<double, batchlas::Backend::CUDA>)",32,1024,128,2,1,50,1.17538,0.000697514,9.18266
"(BM_Ortho<double, batchlas::Backend::CUDA>)",32,1024,512,0,1,50,2.79031,0.00577624,5.44983
"(BM_Ortho<double, batchlas::Backend::CUDA>)",32,1024,512,2,1,48,4.1899,0.00897822,8.18339
"(BM_Ortho<double, batchlas::Backend::CUDA>)",32,4096,128,0,1,50,3.09121,0.00920314,24.1501
"(BM_Ortho<double, batchlas::Backend::CUDA>)",32,4096,128,2,1,44,4.63804,0.0157724,36.2347
"(BM_Ortho<double, batchlas::Backend::CUDA>)",32,4096,512,0,1,19,10.6929,0.0420508,20.8846
"(BM_Ortho<double, batchlas::Backend::CUDA>)",32,4096,512,2,1,13,16.0263,0.0488157,31.3014
"(BM_Ortho<double, batchlas::Backend::CUDA>)",64,1024,128,0,1,50,2.16892,0.00102264,16.9447
"(BM_Ortho<double, batchlas::Backend::CUDA>)",64,1024,128,2,1,50,3.24829,0.0202928,25.3773
"(BM_Ortho<double, batchlas::Backend::CUDA>)",64,1024,512,0,1,24,8.33795,0.0172154,16.2851
"(BM_Ortho<double, batchlas::Backend::CUDA>)",64,1024,512,2,1,16,12.5464,0.0347226,24.5046
"(BM_Ortho<double, batchlas::Backend::CUDA>)",64,4096,128,0,1,24,8.47517,0.027804,66.2123
"(BM_Ortho<double, batchlas::Backend::CUDA>)",64,4096,128,2,1,16,12.7461,0.0616266,99.5791
"(BM_Ortho<double, batchlas::Backend::CUDA>)",64,4096,512,0,1,7,31.71,0.0720504,61.9336
"(BM_Ortho<double, batchlas::Backend::CUDA>)",64,4096,512,2,1,5,47.5686,0.112125,92.9075
"(BM_Ortho<double, batchlas::Backend::CUDA>)",128,1024,128,0,1,27,7.601,0.0322844,59.3828
"(BM_Ortho<double, batchlas::Backend::CUDA>)",128,1024,128,2,1,18,11.438,0.0527995,89.3594
"(BM_Ortho<double, batchlas::Backend::CUDA>)",128,1024,512,0,1,7,29.83,0.0311173,58.2618
"(BM_Ortho<double, batchlas::Backend::CUDA>)",128,1024,512,2,1,5,44.8264,0.0641568,87.5515
"(BM_Ortho<double, batchlas::Backend::CUDA>)",128,4096,128,0,1,7,29.0275,0.0338767,226.777
"(BM_Ortho<double, batchlas::Backend::CUDA>)",128,4096,128,2,1,5,43.6806,0.121674,341.255
"(BM_Ortho<double, batchlas::Backend::CUDA>)",128,4096,512,0,1,5,114.043,0.0847355,222.741
"(BM_Ortho<double, batchlas::Backend::CUDA>)",128,4096,512,2,1,5,171.409,0.11476,334.784
"(BM_Ortho<double, batchlas::Backend::CUDA>)",256,1024,128,0,1,5,41.7569,0.00389952,326.226
"(BM_Ortho<double, batchlas::Backend::CUDA>)",256,1024,128,2,1,5,63.0596,0.0760122,492.653
"(BM_Ortho<double, batchlas::Backend::CUDA>)",256,1024,512,0,1,5,164.148,0.284276,320.602
"(BM_Ortho<double, batchlas::Backend::CUDA>)",256,1024,512,2,1,5,247.545,0.550046,483.486
"(BM_Ortho<double, batchlas::Backend::CUDA>)",256,4096,128,0,1,5,160.185,0.290106,1251.45
"(BM_Ortho<double, batchlas::Backend::CUDA>)",256,4096,128,2,1,5,241.712,0.76631,1888.37
"(BM_Ortho<double, batchlas::Backend::CUDA>)",256,4096,512,0,1,5,633.848,1.24574,1237.98
"(BM_Ortho<double, batchlas::Backend::CUDA>)",256,4096,512,2,1,5,956.167,2.228,1867.51
