arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld
vendor,cdouble,384,128,1271,C,vendor:auto,1.24129,1.28029,0.0596,813.6,0.856,0.00e+00,384
native:cta,cdouble,384,128,1271,C,native:cta,1.08079,1.08098,0.0006,934.5,0.984,0.00e+00,384
vendor,cdouble,384,256,635,C,vendor:auto,1.11214,1.15124,0.0638,903.9,0.951,0.00e+00,384
native:cta,cdouble,384,256,635,C,native:cta,1.07692,1.07680,0.0011,933.5,0.983,0.00e+00,384
vendor,cdouble,384,512,317,C,vendor:auto,1.23309,1.23476,0.0057,812.4,0.855,0.00e+00,384
native:cta,cdouble,384,512,317,C,native:cta,1.07289,1.07325,0.0014,933.7,0.983,0.00e+00,384
vendor,cdouble,384,1024,158,C,vendor:auto,1.22715,1.25402,0.0553,813.0,0.856,0.00e+00,384
native:cta,cdouble,384,1024,158,C,native:cta,1.06805,1.06833,0.0012,934.0,0.983,0.00e+00,384
vendor,cdouble,384,2048,128,C,vendor:auto,5.25308,5.32237,0.0347,307.6,0.324,0.00e+00,384
native:cta,cdouble,384,2048,128,C,native:cta,1.72379,1.76379,0.0428,937.2,0.987,0.00e+00,384
