arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld
native:direct,float,64,2048,1024,T,native:direct,0.97137,0.97123,0.0009,561.6,0.591,0.00e+00,64
native:cta,float,64,2048,1024,T,native:cta,0.58179,0.62375,0.1263,937.7,0.987,0.00e+00,64
vendor,double,64,2048,1024,T,vendor:auto,1.13202,1.13213,0.0002,963.8,1.015,0.00e+00,64
native:direct,double,64,2048,1024,T,native:direct,2.12899,2.17618,0.0411,512.5,0.539,0.00e+00,64
native:cta,double,64,2048,1024,T,native:cta,1.16864,1.16886,0.0011,933.6,0.983,0.00e+00,64
vendor,cfloat,64,2048,1024,T,vendor:auto,1.13291,1.13298,0.0003,963.0,1.014,0.00e+00,64
native:direct,cfloat,64,2048,1024,T,native:direct,2.09139,2.09062,0.0031,521.7,0.549,0.00e+00,64
native:cta,cfloat,64,2048,1024,T,native:cta,1.17389,1.17428,0.0010,929.4,0.978,0.00e+00,64
vendor,cdouble,64,2048,1024,T,vendor:auto,5.91536,5.92151,0.0272,368.9,0.388,0.00e+00,64
native:direct,cdouble,64,2048,1024,T,native:direct,8.30517,8.41167,0.0156,262.7,0.277,0.00e+00,64
native:cta,cdouble,64,2048,1024,T,native:cta,3.07368,3.12334,0.0303,709.9,0.747,0.00e+00,64
vendor,float,64,2048,1024,C,vendor:auto,0.56984,0.57001,0.0009,957.3,1.008,0.00e+00,64
native:direct,float,64,2048,1024,C,native:direct,0.96890,0.98796,0.0537,563.0,0.593,0.00e+00,64
native:cta,float,64,2048,1024,C,native:cta,0.58199,0.58210,0.0007,937.3,0.987,0.00e+00,64
vendor,double,64,2048,1024,C,vendor:auto,1.13132,1.13155,0.0005,964.4,1.015,0.00e+00,64
native:direct,double,64,2048,1024,C,native:direct,2.13188,2.18217,0.0440,511.8,0.539,0.00e+00,64
native:cta,double,64,2048,1024,C,native:cta,1.16874,1.20821,0.0619,933.5,0.983,0.00e+00,64
vendor,cfloat,64,2048,1024,C,vendor:auto,1.13167,1.17323,0.0674,964.1,1.015,0.00e+00,64
native:direct,cfloat,64,2048,1024,C,native:direct,2.09453,2.09410,0.0019,520.9,0.548,0.00e+00,64
native:cta,cfloat,64,2048,1024,C,native:cta,1.17348,1.17337,0.0004,929.7,0.979,0.00e+00,64
vendor,cdouble,64,2048,1024,C,vendor:auto,6.14815,6.16204,0.0445,354.9,0.374,0.00e+00,64
native:direct,cdouble,64,2048,1024,C,native:direct,8.30152,8.51270,0.0359,262.9,0.277,0.00e+00,64
native:cta,cdouble,64,2048,1024,C,native:cta,3.07480,3.12331,0.0303,709.7,0.747,0.00e+00,64
