arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld
native:cta,cdouble,64,512,1907,C,native:cta,1.43157,1.47051,0.0487,710.7,0.748,0.00e+00,64
vendor,cdouble,64,1024,953,C,vendor:auto,2.70009,2.69813,0.0029,376.2,0.396,0.00e+00,64
native:cta,cdouble,64,1024,953,C,native:cta,1.43125,1.43138,0.0005,709.8,0.747,0.00e+00,64
vendor,cdouble,64,2048,476,C,vendor:auto,2.87669,2.93552,0.0457,352.6,0.371,0.00e+00,64
native:cta,cdouble,64,2048,476,C,native:cta,1.42846,1.42869,0.0004,710.1,0.747,0.00e+00,64
vendor,cdouble,96,64,10172,C,vendor:auto,1.13370,1.13371,0.0007,905.0,0.953,0.00e+00,96
native:cta,cdouble,96,64,10172,C,native:cta,1.12664,1.12668,0.0002,910.7,0.959,0.00e+00,96
vendor,cdouble,96,128,5086,C,vendor:auto,1.10909,1.10895,0.0007,918.0,0.966,0.00e+00,96
native:cta,cdouble,96,128,5086,C,native:cta,1.12581,1.12590,0.0003,904.4,0.952,0.00e+00,96
vendor,cdouble,96,256,2543,C,vendor:auto,3.02978,3.04862,0.0250,334.8,0.352,0.00e+00,96
native:cta,cdouble,96,256,2543,C,native:cta,1.12569,1.12577,0.0002,901.0,0.948,0.00e+00,96
vendor,cdouble,96,512,1271,C,vendor:auto,3.02225,3.08423,0.0422,334.8,0.352,0.00e+00,96
native:cta,cdouble,96,512,1271,C,native:cta,1.12526,1.12529,0.0002,899.3,0.947,0.00e+00,96
vendor,cdouble,96,1024,635,C,vendor:auto,3.02168,3.05626,0.0375,334.3,0.352,0.00e+00,96
native:cta,cdouble,96,1024,635,C,native:cta,1.12431,1.16474,0.0650,898.5,0.946,0.00e+00,96
vendor,cdouble,96,2048,317,C,vendor:auto,3.03098,3.03585,0.0074,332.6,0.350,0.00e+00,96
native:cta,cdouble,96,2048,317,C,native:cta,1.12249,1.12262,0.0002,898.1,0.945,0.00e+00,96
vendor,cdouble,128,64,7629,C,vendor:auto,1.20827,1.21006,0.0060,847.0,0.892,0.00e+00,128
native:cta,cdouble,128,64,7629,C,native:cta,1.10346,1.10347,0.0003,927.4,0.976,0.00e+00,128
vendor,cdouble,128,128,3814,C,vendor:auto,1.14989,1.15021,0.0039,883.1,0.930,0.00e+00,128
native:cta,cdouble,128,128,3814,C,native:cta,1.09565,1.09547,0.0007,926.8,0.976,0.00e+00,128
vendor,cdouble,128,256,1907,C,vendor:auto,3.08191,3.15312,0.0478,328.2,0.345,0.00e+00,128
native:cta,cdouble,128,256,1907,C,native:cta,1.09130,1.13055,0.0658,926.9,0.976,0.00e+00,128
vendor,cdouble,128,512,953,C,vendor:auto,3.07395,3.12357,0.0310,328.3,0.346,0.00e+00,128
native:cta,cdouble,128,512,953,C,native:cta,1.08855,1.08859,0.0006,927.0,0.976,0.00e+00,128
vendor,cdouble,128,1024,476,C,vendor:auto,3.07894,3.12894,0.0338,327.1,0.344,0.00e+00,128
native:cta,cdouble,128,1024,476,C,native:cta,1.08588,1.08594,0.0005,927.4,0.976,0.00e+00,128
vendor,cdouble,128,2048,238,C,vendor:auto,3.08355,3.13094,0.0363,326.4,0.344,0.00e+00,128
native:cta,cdouble,128,2048,238,C,native:cta,1.08642,1.10521,0.0477,926.5,0.975,0.00e+00,128
vendor,cdouble,192,64,5086,C,vendor:auto,1.08346,1.10632,0.0572,942.1,0.992,0.00e+00,192
native:cta,cdouble,192,64,5086,C,native:cta,1.09769,1.09749,0.0005,929.9,0.979,0.00e+00,192
vendor,cdouble,192,128,2543,C,vendor:auto,1.20542,1.20524,0.0052,840.3,0.885,0.00e+00,192
native:cta,cdouble,192,128,2543,C,native:cta,1.08941,1.08949,0.0005,929.8,0.979,0.00e+00,192
vendor,cdouble,192,256,1271,C,vendor:auto,3.18591,3.21591,0.0324,316.6,0.333,0.00e+00,192
native:cta,cdouble,192,256,1271,C,native:cta,1.08465,1.08459,0.0006,929.9,0.979,0.00e+00,192
vendor,cdouble,192,512,635,C,vendor:auto,3.20941,3.26240,0.0328,313.4,0.330,0.00e+00,192
native:cta,cdouble,192,512,635,C,native:cta,1.08229,1.08238,0.0005,929.4,0.978,0.00e+00,192
vendor,cdouble,192,1024,317,C,vendor:auto,3.14179,3.19145,0.0311,319.4,0.336,0.00e+00,192
native:cta,cdouble,192,1024,317,C,native:cta,1.07916,1.11893,0.0667,929.8,0.979,0.00e+00,192
vendor,cdouble,192,2048,158,C,vendor:auto,3.14807,3.18724,0.0340,317.6,0.334,0.00e+00,192
native:cta,cdouble,192,2048,158,C,native:cta,1.07578,1.11676,0.0686,929.3,0.978,0.00e+00,192
vendor,cdouble,256,64,3814,C,vendor:auto,1.06380,1.10375,0.0695,958.2,1.009,0.00e+00,256
native:cta,cdouble,256,64,3814,C,native:cta,1.09526,1.09508,0.0009,930.7,0.980,0.00e+00,256
vendor,cdouble,256,128,1907,C,vendor:auto,1.16498,1.16405,0.0042,868.3,0.914,0.00e+00,256
native:cta,cdouble,256,128,1907,C,native:cta,1.08654,1.12593,0.0663,931.0,0.980,0.00e+00,256
vendor,cdouble,256,256,953,C,vendor:auto,3.28100,3.32139,0.0345,306.9,0.323,0.00e+00,256
native:cta,cdouble,256,256,953,C,native:cta,1.08177,1.10309,0.0555,931.0,0.980,0.00e+00,256
vendor,cdouble,256,512,476,C,vendor:auto,3.26677,3.27397,0.0212,307.4,0.324,0.00e+00,256
native:cta,cdouble,256,512,476,C,native:cta,1.07818,1.07816,0.0007,931.3,0.980,0.00e+00,256
vendor,cdouble,256,1024,238,C,vendor:auto,3.26248,3.30759,0.0313,307.5,0.324,0.00e+00,256
native:cta,cdouble,256,1024,238,C,native:cta,1.07827,1.11741,0.0665,930.3,0.979,0.00e+00,256
vendor,cdouble,256,2048,128,C,vendor:auto,3.49979,3.51644,0.0198,308.2,0.324,0.00e+00,256
native:cta,cdouble,256,2048,128,C,native:cta,1.15802,1.15767,0.0009,931.3,0.980,0.00e+00,256
vendor,cdouble,320,64,3051,C,vendor:auto,1.18358,1.18288,0.0057,860.5,0.906,0.00e+00,320
native:cta,cdouble,320,64,3051,C,native:cta,1.09052,1.09071,0.0008,934.0,0.983,0.00e+00,320
vendor,cdouble,320,128,1525,C,vendor:auto,1.23570,1.23682,0.0077,817.6,0.861,0.00e+00,320
native:cta,cdouble,320,128,1525,C,native:cta,1.08268,1.08257,0.0006,933.2,0.982,0.00e+00,320
vendor,cdouble,320,256,762,C,vendor:auto,3.27702,3.33772,0.0354,306.9,0.323,0.00e+00,320
native:cta,cdouble,320,256,762,C,native:cta,1.07882,1.09312,0.0251,932.3,0.981,0.00e+00,320
vendor,cdouble,320,512,381,C,vendor:auto,3.28809,3.32569,0.0332,305.3,0.321,0.00e+00,320
native:cta,cdouble,320,512,381,C,native:cta,1.07731,1.07780,0.0018,931.8,0.981,0.00e+00,320
vendor,cdouble,320,1024,190,C,vendor:auto,3.27585,3.31671,0.0332,305.3,0.321,0.00e+00,320
native:cta,cdouble,320,1024,190,C,native:cta,1.07249,1.11217,0.0675,932.6,0.982,0.00e+00,320
vendor,cdouble,320,2048,128,C,vendor:auto,4.38128,4.43070,0.0280,307.5,0.324,0.00e+00,320
native:cta,cdouble,320,2048,128,C,native:cta,1.43991,1.43982,0.0005,935.5,0.985,0.00e+00,320
vendor,cdouble,384,64,2543,C,vendor:auto,1.24020,1.24053,0.0083,821.0,0.864,0.00e+00,384
native:cta,cdouble,384,64,2543,C,native:cta,1.08947,1.08963,0.0007,934.6,0.984,0.00e+00,384
vendor,cdouble,384,128,1271,C,vendor:auto,1.23114,1.23292,0.0081,820.4,0.864,0.00e+00,384
native:cta,cdouble,384,128,1271,C,native:cta,1.08264,1.12265,0.0676,932.9,0.982,0.00e+00,384
vendor,cdouble,384,256,635,C,vendor:auto,1.11339,1.11298,0.0015,902.9,0.950,0.00e+00,384
native:cta,cdouble,384,256,635,C,native:cta,1.07762,1.11856,0.0697,932.9,0.982,0.00e+00,384
vendor,cdouble,384,512,317,C,vendor:auto,1.23712,1.27481,0.0586,809.7,0.852,0.00e+00,384
native:cta,cdouble,384,512,317,C,native:cta,1.07186,1.07213,0.0006,934.6,0.984,0.00e+00,384
vendor,cdouble,384,1024,158,C,vendor:auto,1.24233,1.27691,0.0580,803.0,0.845,0.00e+00,384
native:cta,cdouble,384,1024,158,C,native:cta,1.06902,1.11096,0.0712,933.2,0.982,0.00e+00,384
vendor,cdouble,384,2048,128,C,vendor:auto,5.29519,5.35978,0.0263,305.1,0.321,0.00e+00,384
native:cta,cdouble,384,2048,128,C,native:cta,1.72286,1.72281,0.0008,937.7,0.987,0.00e+00,384
