cfg,nbreq,Wreq,variant,type,n,batch,nb,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
VV,32,16,blocked,cdouble,1024,256,32,16,435.8156,435.7384,0.0001,840.96,3.253e-19,0,0,0
VV,64,16,vendor,cdouble,1024,256,64,16,309.8011,309.7823,0.0000,1183.03,3.253e-19,0,0,0
VV,64,16,blocked,cdouble,1024,256,64,16,462.4068,462.3398,0.0001,792.60,1.084e-19,0,0,0
VV,96,16,vendor,cdouble,1024,256,64,16,309.8041,309.7758,0.0001,1183.02,3.253e-19,0,0,0
VV,96,16,blocked,cdouble,1024,256,64,16,462.3959,462.3623,0.0000,792.62,1.084e-19,0,0,0
VV,128,16,vendor,cdouble,1024,256,64,16,309.7933,309.7780,0.0000,1183.06,3.253e-19,0,0,0
VV,128,16,blocked,cdouble,1024,256,64,16,462.4531,462.4064,0.0002,792.52,1.084e-19,0,0,0
VV,160,16,vendor,cdouble,1024,256,64,16,309.8046,309.7927,0.0000,1183.02,3.253e-19,0,0,0
VV,160,16,blocked,cdouble,1024,256,64,16,462.4217,462.3821,0.0001,792.58,1.084e-19,0,0,0
nn,128,16,vendor,float,1024,256,128,16,17.7038,17.6853,0.0009,5175.49,1.164e-10,0,0,0
nn,128,16,blocked,float,1024,256,128,16,27.8189,27.7857,0.0005,3293.66,5.821e-11,0,0,55
nn,128,32,vendor,float,1024,256,128,32,17.6278,17.6246,0.0012,5197.82,1.164e-10,0,0,0
nn,128,32,blocked,float,1024,256,128,32,17.2711,17.2580,0.0004,5305.15,5.821e-11,0,0,60
nn,128,64,vendor,float,1024,256,128,64,17.7251,17.7051,0.0007,5169.28,1.164e-10,0,0,0
nn,128,64,blocked,float,1024,256,128,64,18.0039,17.9808,0.0009,5089.22,5.821e-11,0,0,66
nn,128,128,vendor,float,1024,256,128,128,17.5988,17.5785,0.0015,5206.39,1.164e-10,0,0,0
nn,128,128,blocked,float,1024,256,128,128,16.2133,16.1916,0.0013,5651.28,5.821e-11,0,0,62
nn,128,256,vendor,float,1024,256,128,256,17.5832,17.5744,0.0002,5210.99,1.164e-10,0,0,0
nn,128,256,blocked,float,1024,256,128,256,19.5496,19.5240,0.0007,4686.84,3.553e-03,0,0,63
nn,96,16,vendor,double,1024,256,96,16,79.8650,79.8514,0.0001,1147.26,2.168e-19,0,0,0
nn,96,16,blocked,double,1024,256,96,16,77.9435,77.8115,0.0012,1175.54,3.253e-19,0,0,21
nn,96,32,vendor,double,1024,256,96,32,79.8549,79.8348,0.0002,1147.41,2.168e-19,0,0,0
nn,96,32,blocked,double,1024,256,96,32,78.9604,78.7910,0.0011,1160.40,1.153e+05,0,0,23
nn,96,64,vendor,double,1024,256,96,64,79.8774,79.8334,0.0003,1147.08,2.168e-19,0,0,0
nn,96,64,blocked,double,1024,256,96,64,82.1640,82.1314,0.0003,1115.16,2.168e-19,0,0,18
nn,96,128,vendor,double,1024,256,96,128,79.8433,79.8094,0.0002,1147.57,2.168e-19,0,0,0
nn,96,128,blocked,double,1024,256,96,128,89.3939,89.3144,0.0004,1024.97,2.168e-19,0,0,44
nn,96,256,vendor,double,1024,256,96,256,79.8585,79.8475,0.0002,1147.35,2.168e-19,0,0,0
nn,96,256,blocked,double,1024,256,96,256,103.7862,103.7716,0.0002,882.83,2.168e-19,0,0,13
nn,96,16,vendor,cfloat,1024,256,96,16,27.4411,27.4077,0.0006,13356.01,2.328e-10,0,0,0
nn,96,16,blocked,cfloat,1024,256,96,16,56.3848,55.7835,0.0052,6500.04,5.821e-11,0,0,36
nn,96,32,vendor,cfloat,1024,256,96,32,27.4967,27.4511,0.0007,13329.03,2.328e-10,0,0,0
nn,96,32,blocked,cfloat,1024,256,96,32,55.5130,54.4780,0.0085,6602.13,5.821e-11,0,0,27
nn,96,64,vendor,cfloat,1024,256,96,64,27.2924,27.2864,0.0003,13428.79,2.328e-10,0,0,0
nn,96,64,blocked,cfloat,1024,256,96,64,58.5323,58.2460,0.0044,6261.57,5.821e-11,0,0,27
nn,96,128,vendor,cfloat,1024,256,96,128,27.5402,27.5121,0.0005,13307.98,2.328e-10,0,0,0
nn,96,128,blocked,cfloat,1024,256,96,128,64.7443,64.6229,0.0011,5660.79,5.821e-11,0,0,21
nn,96,256,vendor,cfloat,1024,256,96,256,27.3437,27.3269,0.0003,13403.59,2.328e-10,0,0,0
nn,96,256,blocked,cfloat,1024,256,96,256,77.3107,76.9248,0.0026,4740.66,5.821e-11,0,0,34
nn,64,16,vendor,cdouble,1024,256,64,16,309.8209,309.8145,0.0000,1182.95,3.253e-19,0,0,0
nn,64,16,blocked,cdouble,1024,256,64,16,955.0568,954.8666,0.0001,383.75,3.395e-01,0,0,36
nn,64,32,vendor,cdouble,1024,256,64,32,309.8428,309.7996,0.0003,1182.87,3.253e-19,0,0,0
nn,64,32,blocked,cdouble,1024,256,64,32,974.1875,973.9629,0.0001,376.21,9.144e-02,0,0,43
nn,64,64,vendor,cdouble,1024,256,64,64,309.8179,309.8007,0.0001,1182.97,3.253e-19,0,0,0
nn,64,64,blocked,cdouble,1024,256,64,64,1018.3232,1018.2814,0.0000,359.91,4.659e-01,0,0,46
nn,64,128,vendor,cdouble,1024,256,64,128,309.8119,309.8064,0.0000,1182.99,3.253e-19,0,0,0
nn,64,128,blocked,cdouble,1024,256,64,128,1105.7865,1105.6023,0.0001,331.44,1.084e-19,0,0,48
nn,64,256,vendor,cdouble,1024,256,64,256,310.1301,309.8878,0.0111,1181.77,3.253e-19,0,0,0
nn,64,256,blocked,cdouble,1024,256,64,256,1269.9742,1261.6748,0.0030,288.59,2.858e-02,0,0,44
VV,128,16,vendor,float,1024,256,128,16,17.7127,17.6892,0.0010,5172.90,1.164e-10,0,0,0
VV,128,16,blocked,float,1024,256,128,16,30.9348,30.6942,0.0394,2961.90,5.821e-11,0,0,0
VV,128,32,vendor,float,1024,256,128,32,17.7110,17.5719,0.0194,5173.39,1.164e-10,0,0,0
VV,128,32,blocked,float,1024,256,128,32,20.4310,20.2034,0.0246,4484.66,5.821e-11,0,0,0
VV,128,64,vendor,float,1024,256,128,64,17.7065,17.6847,0.0009,5174.71,1.164e-10,0,0,0
VV,128,64,blocked,float,1024,256,128,64,15.8590,15.7624,0.0161,5777.53,5.821e-11,0,0,0
VV,128,128,vendor,float,1024,256,128,128,17.6952,17.6890,0.0003,5178.02,1.164e-10,0,0,0
VV,128,128,blocked,float,1024,256,128,128,15.1226,15.0685,0.0025,6058.87,5.821e-11,0,0,0
VV,128,256,vendor,float,1024,256,128,256,17.5806,17.5621,0.0007,5211.76,1.164e-10,0,0,0
VV,128,256,blocked,float,1024,256,128,256,17.4952,17.4581,0.0009,5237.21,5.821e-11,0,0,0
VV,96,16,vendor,double,1024,256,96,16,79.6696,79.4687,0.0014,1150.07,2.168e-19,0,0,0
VV,96,16,blocked,double,1024,256,96,16,178.6645,178.3050,0.0013,512.84,2.168e-19,0,0,0
VV,96,32,vendor,double,1024,256,96,32,79.7339,79.7147,0.0001,1149.15,2.168e-19,0,0,0
VV,96,32,blocked,double,1024,256,96,32,100.2642,100.0762,0.0011,913.85,2.168e-19,0,0,0
VV,96,64,vendor,double,1024,256,96,64,79.7251,79.7020,0.0001,1149.27,2.168e-19,0,0,0
VV,96,64,blocked,double,1024,256,96,64,104.6089,104.2714,0.0015,875.89,2.168e-19,0,0,0
VV,96,128,vendor,double,1024,256,96,128,79.7993,79.7793,0.0001,1148.21,2.168e-19,0,0,0
VV,96,128,blocked,double,1024,256,96,128,112.6280,112.5811,0.0003,813.53,2.168e-19,0,0,0
VV,96,256,vendor,double,1024,256,96,256,79.7388,79.7266,0.0001,1149.08,2.168e-19,0,0,0
VV,96,256,blocked,double,1024,256,96,256,127.5885,127.4253,0.0013,718.14,2.168e-19,0,0,0
VV,96,16,vendor,cfloat,1024,256,96,16,27.3774,27.3714,0.0001,13387.09,2.328e-10,0,0,0
VV,96,16,blocked,cfloat,1024,256,96,16,59.5693,59.3044,0.0024,6152.57,5.821e-11,0,0,0
VV,96,32,vendor,cfloat,1024,256,96,32,27.4311,27.4265,0.0001,13360.87,2.328e-10,0,0,0
VV,96,32,blocked,cfloat,1024,256,96,32,49.0648,48.7990,0.0027,7469.80,5.821e-11,0,0,0
VV,96,64,vendor,cfloat,1024,256,96,64,27.1733,27.1386,0.0007,13487.66,2.328e-10,0,0,0
VV,96,64,blocked,cfloat,1024,256,96,64,46.4421,46.3370,0.0014,7891.63,5.821e-11,0,0,0
VV,96,128,vendor,cfloat,1024,256,96,128,27.3412,27.3331,0.0004,13404.81,2.328e-10,0,0,0
VV,96,128,blocked,cfloat,1024,256,96,128,48.0609,47.9591,0.0013,7625.83,5.821e-11,0,0,0
VV,96,256,vendor,cfloat,1024,256,96,256,27.3332,27.3054,0.0006,13408.72,2.328e-10,0,0,0
VV,96,256,blocked,cfloat,1024,256,96,256,53.0272,52.8821,0.0014,6911.63,5.821e-11,0,0,0
VV,64,16,vendor,cdouble,1024,256,64,16,309.8419,309.8172,0.0000,1182.87,3.253e-19,0,0,0
VV,64,16,blocked,cdouble,1024,256,64,16,462.4126,462.3765,0.0001,792.59,1.084e-19,0,0,0
VV,64,32,vendor,cdouble,1024,256,64,32,309.8189,309.7991,0.0003,1182.96,3.253e-19,0,0,0
VV,64,32,blocked,cdouble,1024,256,64,32,447.2308,447.2067,0.0001,819.50,1.084e-19,0,0,0
VV,64,64,vendor,cdouble,1024,256,64,64,309.8068,309.7976,0.0000,1183.01,3.253e-19,0,0,0
VV,64,64,blocked,cdouble,1024,256,64,64,462.5376,462.4922,0.0002,792.38,1.084e-19,0,0,0
VV,64,128,vendor,cdouble,1024,256,64,128,309.8090,309.7769,0.0000,1183.00,3.253e-19,0,0,0
VV,64,128,blocked,cdouble,1024,256,64,128,495.7785,495.7280,0.0000,739.25,1.084e-19,0,0,0
VV,64,256,vendor,cdouble,1024,256,64,256,309.8207,309.8114,0.0000,1182.95,3.253e-19,0,0,0
VV,64,256,blocked,cdouble,1024,256,64,256,551.7807,551.7561,0.0001,664.22,1.084e-19,0,0,0
