cfg,variant,type,n,batch,nb,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
def,vendor,double,2048,32,96,32,78.0661,78.0482,0.0003,1173.70,1.902e-19,0,0,0
def,blocked,double,2048,32,96,32,107.2940,107.2755,0.0032,853.97,1.902e-19,0,0,0
nn,vendor,double,2048,32,96,32,78.4070,78.3663,0.0002,1168.59,1.902e-19,0,0,0
nn,blocked,double,2048,32,96,32,80.2723,80.2447,0.0088,1141.44,1.902e-19,0,0,0
VV,vendor,double,2048,32,96,32,78.2688,78.2508,0.0011,1170.66,1.902e-19,0,0,0
VV,blocked,double,2048,32,96,32,114.2635,114.1848,0.0004,801.88,1.902e-19,0,0,0
def,vendor,double,2048,64,96,32,149.7298,149.7130,0.0001,1223.88,1.936e-19,0,0,0
def,blocked,double,2048,64,96,32,152.9819,152.3739,0.0018,1197.87,1.084e-19,0,0,3
nn,vendor,double,2048,64,96,32,149.7248,149.7007,0.0001,1223.93,1.936e-19,0,0,0
nn,blocked,double,2048,64,96,32,152.5429,151.6972,0.0029,1201.31,1.084e-19,0,0,7
VV,vendor,double,2048,64,96,32,149.4384,149.3839,0.0003,1226.27,1.936e-19,0,0,0
VV,blocked,double,2048,64,96,32,194.6417,194.6318,0.0002,941.48,1.084e-19,0,0,0
def,vendor,cfloat,128,512,96,32,0.1918,0.1907,0.0029,7464.51,1.844e-09,0,0,0
def,blocked,cfloat,128,512,96,32,0.5124,0.5122,0.0006,2794.25,1.844e-09,0,0,0
nn,vendor,cfloat,128,512,96,32,0.1914,0.1906,0.0059,7481.32,1.844e-09,0,0,0
nn,blocked,cfloat,128,512,96,32,0.6088,0.6078,0.0008,2351.71,1.844e-09,0,0,0
VV,vendor,cfloat,128,512,96,32,0.1923,0.1921,0.0020,7443.94,1.844e-09,0,0,0
VV,blocked,cfloat,128,512,96,32,1.1110,1.1096,0.0008,1288.63,1.844e-09,0,0,0
def,vendor,cfloat,128,2048,96,32,0.9484,0.9456,0.0016,6037.91,8.704e-10,0,0,0
def,blocked,cfloat,128,2048,96,32,2.1948,2.1890,0.0012,2609.17,1.408e+01,0,0,68
nn,vendor,cfloat,128,2048,96,32,0.9466,0.9448,0.0014,6049.63,8.704e-10,0,0,0
nn,blocked,cfloat,128,2048,96,32,2.4650,2.4607,0.0019,2323.21,1.741e-09,0,0,44
VV,vendor,cfloat,128,2048,96,32,0.9452,0.9446,0.0010,6058.46,8.704e-10,0,0,0
VV,blocked,cfloat,128,2048,96,32,2.5937,2.5819,0.0029,2207.94,1.741e-09,0,0,0
def,vendor,cfloat,256,256,96,32,0.4975,0.4948,0.0047,11511.24,4.657e-10,0,0,0
def,blocked,cfloat,256,256,96,32,0.8166,0.8068,0.0054,7012.91,6.983e-10,0,0,4
nn,vendor,cfloat,256,256,96,32,0.4914,0.4902,0.0013,11653.55,4.657e-10,0,0,0
nn,blocked,cfloat,256,256,96,32,1.3012,1.2848,0.0064,4401.01,6.984e-10,0,0,0
VV,vendor,cfloat,256,256,96,32,0.4943,0.4896,0.0040,11584.40,4.657e-10,0,0,0
VV,blocked,cfloat,256,256,96,32,2.0816,2.0788,0.0006,2751.12,6.983e-10,0,0,0
def,vendor,cfloat,256,1024,96,32,2.6483,2.6478,0.0007,8649.49,9.042e-10,0,0,0
def,blocked,cfloat,256,1024,96,32,3.5293,3.5176,0.0017,6490.32,2.012e-02,0,0,93
nn,vendor,cfloat,256,1024,96,32,2.6751,2.6676,0.0027,8562.91,9.042e-10,0,0,0
nn,blocked,cfloat,256,1024,96,32,5.0838,5.0796,0.0031,4505.81,3.567e+01,0,0,84
VV,vendor,cfloat,256,1024,96,32,2.6536,2.6493,0.0084,8632.07,9.042e-10,0,0,0
VV,blocked,cfloat,256,1024,96,32,7.5936,7.5475,0.0038,3016.55,9.042e-10,0,0,0
def,vendor,cfloat,512,128,96,32,1.5798,1.5783,0.0010,14499.83,6.468e-10,0,0,0
def,blocked,cfloat,512,128,96,32,2.0741,2.0472,0.0052,11043.96,4.311e-10,0,0,3
nn,vendor,cfloat,512,128,96,32,1.5778,1.5766,0.0012,14518.09,6.468e-10,0,0,0
nn,blocked,cfloat,512,128,96,32,4.0920,4.0914,0.0038,5597.88,4.311e-10,0,0,0
VV,vendor,cfloat,512,128,96,32,1.5696,1.5661,0.0012,14593.76,6.468e-10,0,0,0
VV,blocked,cfloat,512,128,96,32,5.1887,5.1843,0.0005,4414.70,4.312e-10,0,0,0
def,vendor,cfloat,512,512,96,32,8.0023,7.9985,0.0002,11449.92,2.328e-10,0,0,0
def,blocked,cfloat,512,512,96,32,8.4023,8.3924,0.0008,10904.84,3.845e-01,0,0,93
nn,vendor,cfloat,512,512,96,32,8.0595,8.0539,0.0005,11368.72,2.328e-10,0,0,0
nn,blocked,cfloat,512,512,96,32,15.3665,15.3631,0.0002,5962.69,6.915e-10,0,0,89
