cfg,rep,variant,type,n,batch,nb,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
vv,2,blocked,float,1024,128,128,32,7.9587,7.7480,0.0134,5756.38,1.075e-10,0,0,2
vv,3,vendor,float,1024,128,128,32,7.2888,7.2866,0.0001,6285.42,3.219e-10,0,0,0
vv,3,blocked,float,1024,128,128,32,7.9494,7.8071,0.0090,5763.07,1.075e-10,0,0,1
vv,4,vendor,float,1024,128,128,32,7.2957,7.2713,0.0017,6279.48,3.219e-10,0,0,0
vv,4,blocked,float,1024,128,128,32,7.6374,7.6145,0.0015,5998.54,1.075e-10,0,0,0
vv,5,vendor,float,1024,128,128,32,7.2925,7.2876,0.0003,6282.23,3.219e-10,0,0,0
vv,5,blocked,float,1024,128,128,32,7.6714,7.5811,0.0059,5971.94,1.075e-10,0,0,2
nv,1,vendor,float,1024,128,128,32,7.2359,7.2234,0.0009,6331.38,3.219e-10,0,0,0
nv,1,blocked,float,1024,128,128,32,9.0814,9.0683,0.0007,5044.69,1.075e-10,0,0,11
nv,2,vendor,float,1024,128,128,32,7.3154,7.3027,0.0009,6262.56,3.219e-10,0,0,0
nv,2,blocked,float,1024,128,128,32,9.0710,9.0568,0.0008,5050.50,1.075e-10,0,0,14
nv,3,vendor,float,1024,128,128,32,7.3197,7.3020,0.0012,6258.90,3.219e-10,0,0,0
nv,3,blocked,float,1024,128,128,32,9.0886,9.0786,0.0006,5040.70,1.075e-10,0,0,14
nv,4,vendor,float,1024,128,128,32,7.3188,7.3098,0.0006,6259.59,3.219e-10,0,0,0
nv,4,blocked,float,1024,128,128,32,9.0938,9.0656,0.0016,5037.81,1.075e-10,0,0,9
nv,5,vendor,float,1024,128,128,32,7.2980,7.2478,0.0034,6277.49,3.219e-10,0,0,0
nv,5,blocked,float,1024,128,128,32,9.0633,9.0567,0.0004,5054.78,1.075e-10,0,0,14
vn,1,vendor,float,1024,128,128,32,7.3231,7.3173,0.0004,6255.93,3.219e-10,0,0,0
vn,1,blocked,float,1024,128,128,32,7.5657,7.5172,0.0032,6055.35,1.075e-10,0,0,1
vn,2,vendor,float,1024,128,128,32,7.2128,7.2100,0.0002,6351.59,3.219e-10,0,0,0
vn,2,blocked,float,1024,128,128,32,7.9919,7.9578,0.0021,5732.40,1.075e-10,0,0,1
vn,3,vendor,float,1024,128,128,32,7.3395,7.3291,0.0007,6242.01,3.219e-10,0,0,0
vn,3,blocked,float,1024,128,128,32,7.9277,7.6124,0.0203,5778.83,1.075e-10,0,0,3
vn,4,vendor,float,1024,128,128,32,7.2120,7.2082,0.0003,6352.36,3.219e-10,0,0,0
vn,4,blocked,float,1024,128,128,32,7.7934,7.7899,0.0002,5878.44,1.075e-10,0,0,1
vn,5,vendor,float,1024,128,128,32,7.4088,7.4007,0.0005,6183.62,3.219e-10,0,0,0
