pass,cfg,variant,type,n,batch,nb,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
2,VV,blocked,double,256,256,96,32,2.6697,2.6674,0.0008,536.26,8.674e-19,0,0,0
2,def,vendor,double,512,128,96,32,5.9820,5.9626,0.0013,957.30,4.337e-19,0,0,0
2,def,blocked,double,512,128,96,32,6.0051,5.9945,0.0011,953.63,1.205e-18,0,0,0
2,nn,vendor,double,512,128,96,32,5.9809,5.9787,0.0002,957.49,4.337e-19,0,0,0
2,nn,blocked,double,512,128,96,32,6.0081,5.9923,0.0012,953.15,1.205e-18,0,0,0
2,VV,vendor,double,512,128,96,32,5.9745,5.9553,0.0146,958.51,4.337e-19,0,0,0
2,VV,blocked,double,512,128,96,32,7.9675,7.9663,0.0001,718.75,1.205e-18,0,0,0
2,def,vendor,float,128,512,128,32,0.1396,0.1389,0.0027,2563.30,1.844e-09,0,0,0
2,def,blocked,float,128,512,128,32,0.3017,0.3014,0.0021,1186.14,1.844e-09,0,0,0
2,def,cta,float,128,512,128,32,0.2941,0.2938,0.0007,1216.88,1.844e-09,0,0,0
2,nn,vendor,float,128,512,128,32,0.1402,0.1397,0.0148,2552.77,1.844e-09,0,0,0
2,nn,blocked,float,128,512,128,32,0.3019,0.3015,0.0019,1185.62,1.844e-09,0,0,0
2,nn,cta,float,128,512,128,32,0.2939,0.2938,0.0007,1217.68,1.844e-09,0,0,0
2,VV,vendor,float,128,512,128,32,0.1399,0.1392,0.0077,2558.67,1.844e-09,0,0,0
2,VV,blocked,float,128,512,128,32,0.3019,0.3014,0.0022,1185.48,1.844e-09,0,0,0
2,VV,cta,float,128,512,128,32,0.2943,0.2940,0.0009,1216.27,1.844e-09,0,0,0
2,def,vendor,double,2048,32,96,32,78.2493,78.2293,0.0003,1170.95,1.902e-19,0,0,0
2,def,blocked,double,2048,32,96,32,108.6171,107.6220,0.0057,843.57,1.902e-19,0,0,0
2,nn,vendor,double,2048,32,96,32,78.3853,78.3522,0.0003,1168.92,1.902e-19,0,0,0
2,nn,blocked,double,2048,32,96,32,80.3238,80.2830,0.0074,1140.71,1.902e-19,0,0,0
2,VV,vendor,double,2048,32,96,32,78.2586,78.2436,0.0013,1170.81,1.902e-19,0,0,0
2,VV,blocked,double,2048,32,96,32,114.2439,114.1412,0.0004,802.02,1.902e-19,0,0,0
3,def,vendor,double,256,256,96,32,1.8087,1.8079,0.0005,791.53,8.674e-19,0,0,0
3,def,blocked,double,256,256,96,32,2.1252,2.1222,0.0007,673.64,8.674e-19,0,0,0
3,nn,vendor,double,256,256,96,32,1.8118,1.8091,0.2708,790.17,8.674e-19,0,0,0
3,nn,blocked,double,256,256,96,32,2.1305,2.1247,0.0049,671.97,8.674e-19,0,0,0
3,VV,vendor,double,256,256,96,32,1.8085,1.8073,0.0008,791.64,8.674e-19,0,0,0
3,VV,blocked,double,256,256,96,32,2.6709,2.6678,0.1930,536.02,8.674e-19,0,0,0
3,def,vendor,double,512,128,96,32,5.9856,5.9821,0.0015,956.73,4.337e-19,0,0,0
