pass,cfg,variant,type,n,batch,nb,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
3,VV,vendor,double,1024,128,96,32,40.2444,40.2273,0.0003,1138.37,4.015e-19,0,0,0
3,VV,blocked,double,1024,128,96,32,50.7191,50.7103,0.0001,903.27,4.015e-19,0,0,0
3,def,vendor,double,1024,256,96,32,79.8043,79.7675,0.0005,1148.13,2.168e-19,0,0,0
3,def,blocked,double,1024,256,96,32,78.9387,78.7671,0.0011,1160.72,2.168e-19,0,0,16
3,nn,vendor,double,1024,256,96,32,79.8895,79.8613,0.0002,1146.91,2.168e-19,0,0,0
3,nn,blocked,double,1024,256,96,32,78.8935,78.8809,0.0006,1161.39,2.168e-19,0,0,16
3,VV,vendor,double,1024,256,96,32,79.7295,79.7062,0.0002,1149.21,2.168e-19,0,0,0
3,VV,blocked,double,1024,256,96,32,99.9618,99.9073,0.0007,916.61,2.168e-19,0,0,0
3,def,vendor,float,1024,256,128,32,17.7454,17.7352,0.0003,5163.36,1.164e-10,0,0,0
3,def,blocked,float,1024,256,128,32,16.0232,15.9259,0.0030,5718.32,5.821e-11,0,0,29
3,nn,vendor,float,1024,256,128,32,17.5158,17.5069,0.0003,5231.04,1.164e-10,0,0,0
3,nn,blocked,float,1024,256,128,32,17.2993,17.2960,0.0003,5296.53,5.821e-11,0,0,69
3,VV,vendor,float,1024,256,128,32,17.5717,17.5571,0.0047,5214.40,1.164e-10,0,0,0
3,VV,blocked,float,1024,256,128,32,19.8097,19.7275,0.0024,4625.30,5.821e-11,0,0,0
3,def,vendor,cfloat,1024,128,96,32,12.0631,12.0419,0.0011,15191.12,2.328e-10,0,0,0
3,def,blocked,cfloat,1024,128,96,32,11.8127,11.7878,0.0024,15513.07,1.256e+01,0,0,38
3,nn,vendor,cfloat,1024,128,96,32,12.1294,12.1072,0.0010,15108.08,2.328e-10,0,0,0
3,nn,blocked,cfloat,1024,128,96,32,28.3517,27.9819,0.0066,6463.53,9.756e-04,0,0,12
3,VV,vendor,cfloat,1024,128,96,32,12.0079,11.9858,0.0010,15260.92,2.328e-10,0,0,0
3,VV,blocked,cfloat,1024,128,96,32,18.5614,18.5405,0.0009,9872.75,3.234e-10,0,0,0
3,def,vendor,cfloat,1024,256,96,32,27.3844,27.3741,0.0004,13383.68,2.328e-10,0,0,0
3,def,blocked,cfloat,1024,256,96,32,25.6070,25.5773,0.0004,14312.62,4.313e-02,0,0,73
3,nn,vendor,cfloat,1024,256,96,32,27.4593,27.4489,0.0002,13347.15,2.328e-10,0,0,0
3,nn,blocked,cfloat,1024,256,96,32,55.5863,55.1296,0.0051,6593.43,1.164e-10,0,0,33
3,VV,vendor,cfloat,1024,256,96,32,27.3525,27.3304,0.0005,13399.29,2.328e-10,0,0,0
3,VV,blocked,cfloat,1024,256,96,32,48.6759,48.4011,0.0030,7529.47,5.821e-11,0,0,0
3,def,vendor,double,512,512,96,32,22.6659,22.6619,0.0002,1010.62,8.587e-19,0,0,0
3,def,blocked,double,512,512,96,32,23.1328,23.1292,0.0002,990.22,8.588e-19,0,0,79
3,nn,vendor,double,512,512,96,32,22.6698,22.6516,0.0007,1010.44,8.587e-19,0,0,0
3,nn,blocked,double,512,512,96,32,23.1535,23.1359,0.0006,989.33,4.337e-19,0,0,67
3,VV,vendor,double,512,512,96,32,22.6253,22.6177,0.0002,1012.43,8.587e-19,0,0,0
3,VV,blocked,double,512,512,96,32,30.7832,30.7731,0.0004,744.12,8.588e-19,0,0,0
