rep,variant,type,n,batch,nb,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
3,vendor,cdouble,512,8,64,16,3.9382,3.9375,0.0001,363.53,1.489e-18,0,0,0
3,facade,cdouble,512,8,64,16,8.4446,8.4424,0.0001,169.54,7.443e-19,0,0,0
1,vendor,cdouble,512,32,64,16,7.2040,7.2021,0.0001,794.92,1.489e-18,0,0,0
1,facade,cdouble,512,32,64,16,11.4737,11.4480,0.0011,499.11,7.443e-19,0,0,0
2,vendor,cdouble,512,32,64,16,7.2036,7.2014,0.0002,794.97,1.489e-18,0,0,0
2,facade,cdouble,512,32,64,16,11.4765,11.4478,0.0013,498.99,7.443e-19,0,0,0
3,vendor,cdouble,512,32,64,16,7.2025,7.2017,0.0001,795.09,1.489e-18,0,0,0
3,facade,cdouble,512,32,64,16,11.4751,11.4484,0.0012,499.05,7.443e-19,0,0,0
1,vendor,cdouble,512,64,64,16,11.9862,11.9845,0.0001,955.54,1.489e-18,0,0,0
1,facade,cdouble,512,64,64,16,16.2085,16.1653,0.0013,706.62,7.443e-19,0,0,0
2,vendor,cdouble,512,64,64,16,11.9858,11.9835,0.0001,955.57,1.489e-18,0,0,0
2,facade,cdouble,512,64,64,16,16.2112,16.1558,0.0017,706.50,7.443e-19,0,0,0
3,vendor,cdouble,512,64,64,16,11.9813,11.9794,0.0001,955.92,1.489e-18,0,0,0
3,facade,cdouble,512,64,64,16,16.1800,16.1771,0.0001,707.86,7.443e-19,0,0,0
1,vendor,cdouble,512,96,64,16,17.8154,17.8062,0.0003,964.33,1.489e-18,0,0,0
1,facade,cdouble,512,96,64,16,21.6636,21.5524,0.0026,793.03,7.443e-19,0,0,0
2,vendor,cdouble,512,96,64,16,17.8052,17.8030,0.0001,964.88,1.489e-18,0,0,0
2,facade,cdouble,512,96,64,16,21.6365,21.6152,0.0005,794.02,1.935e-03,0,0,2
3,vendor,cdouble,512,96,64,16,17.8066,17.8038,0.0001,964.80,1.489e-18,0,0,0
3,facade,cdouble,512,96,64,16,21.5409,21.5277,0.0003,797.55,7.443e-19,0,0,0
1,vendor,cdouble,512,128,64,16,22.0314,22.0149,0.0004,1039.72,1.489e-18,0,0,0
1,facade,cdouble,512,128,64,16,25.7129,25.6624,0.0010,890.86,7.443e-19,0,0,6
2,vendor,cdouble,512,128,64,16,22.0137,22.0136,0.0000,1040.56,1.489e-18,0,0,0
2,facade,cdouble,512,128,64,16,25.6734,25.6206,0.0010,892.23,7.443e-19,0,0,3
3,vendor,cdouble,512,128,64,16,22.0133,22.0123,0.0000,1040.57,1.489e-18,0,0,0
3,facade,cdouble,512,128,64,16,25.7511,25.6353,0.0023,889.54,7.443e-19,0,0,5
1,vendor,cdouble,512,256,64,16,43.7108,43.7009,0.0001,1048.09,1.489e-18,0,0,0
1,facade,cdouble,512,256,64,16,48.6901,48.6169,0.0008,940.91,3.028e+00,0,0,46
2,vendor,cdouble,512,256,64,16,43.7284,43.7109,0.0002,1047.67,1.489e-18,0,0,0
2,facade,cdouble,512,256,64,16,48.6617,48.6358,0.0003,941.46,7.443e-19,0,0,47
3,vendor,cdouble,512,256,64,16,43.7129,43.7056,0.0001,1048.04,1.489e-18,0,0,0
3,facade,cdouble,512,256,64,16,48.6664,48.6564,0.0001,941.37,7.443e-19,0,0,52
1,vendor,cdouble,1024,1,64,16,2.8549,2.8546,0.0001,501.47,3.720e-19,0,0,0
1,facade,cdouble,1024,1,64,16,46.5107,46.5055,0.0001,30.78,1.860e-19,0,0,0
2,vendor,cdouble,1024,1,64,16,2.8565,2.8552,0.0002,501.19,3.720e-19,0,0,0
2,facade,cdouble,1024,1,64,16,46.5376,46.5298,0.0001,30.76,1.860e-19,0,0,0
3,vendor,cdouble,1024,1,64,16,2.8638,2.8616,0.0004,499.92,3.720e-19,0,0,0
3,facade,cdouble,1024,1,64,16,46.5161,46.5137,0.0000,30.78,1.860e-19,0,0,0
1,vendor,cdouble,1024,8,64,16,16.9466,16.9439,0.0001,675.84,3.509e-19,0,0,0
1,facade,cdouble,1024,8,64,16,36.0891,36.0773,0.0002,317.36,3.499e-19,0,0,0
2,vendor,cdouble,1024,8,64,16,16.9477,16.9432,0.0001,675.80,3.509e-19,0,0,0
2,facade,cdouble,1024,8,64,16,36.2178,36.0662,0.0021,316.23,3.499e-19,0,0,0
3,vendor,cdouble,1024,8,64,16,16.9562,16.9544,0.0001,675.46,3.509e-19,0,0,0
3,facade,cdouble,1024,8,64,16,36.0827,36.0803,0.0000,317.42,3.499e-19,0,0,0
1,vendor,cdouble,1024,32,64,16,43.0124,43.0052,0.0001,1065.11,6.642e-19,0,0,0
1,facade,cdouble,1024,32,64,16,65.6910,65.6743,0.0001,697.40,1.860e-19,0,0,0
2,vendor,cdouble,1024,32,64,16,43.0433,43.0051,0.0004,1064.35,6.642e-19,0,0,0
2,facade,cdouble,1024,32,64,16,65.7942,65.5774,0.0017,696.31,1.860e-19,0,0,0
3,vendor,cdouble,1024,32,64,16,43.0302,43.0082,0.0003,1064.67,6.642e-19,0,0,0
3,facade,cdouble,1024,32,64,16,65.7342,65.6154,0.0009,696.94,1.860e-19,0,0,0
1,vendor,cdouble,1024,64,64,16,79.9248,79.9204,0.0000,1146.40,3.366e-19,0,0,0
1,facade,cdouble,1024,64,64,16,104.3749,104.3289,0.0002,877.85,3.363e-19,0,0,6
2,vendor,cdouble,1024,64,64,16,79.9385,79.9312,0.0000,1146.21,3.366e-19,0,0,0
2,facade,cdouble,1024,64,64,16,104.3541,104.0874,0.0013,878.03,3.363e-19,0,0,4
3,vendor,cdouble,1024,64,64,16,79.9298,79.9160,0.0001,1146.33,3.366e-19,0,0,0
3,facade,cdouble,1024,64,64,16,104.6851,103.8984,0.0038,875.25,3.363e-19,0,0,4
1,vendor,cdouble,1024,96,64,16,119.6728,119.6500,0.0001,1148.46,1.864e-19,0,0,0
1,facade,cdouble,1024,96,64,16,145.5070,145.3763,0.0004,944.55,8.115e-02,0,0,22
2,vendor,cdouble,1024,96,64,16,119.6544,119.6421,0.0001,1148.63,1.864e-19,0,0,0
2,facade,cdouble,1024,96,64,16,145.5579,145.3986,0.0005,944.22,3.411e-19,0,0,25
3,vendor,cdouble,1024,96,64,16,119.6334,119.6277,0.0000,1148.83,1.864e-19,0,0,0
