cfg,rep,variant,type,n,batch,nb,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
VV,1,blocked,cdouble,1024,256,64,16,460.5927,460.5770,0.0000,795.72,1.860e-19,0,0,0
VV,2,vendor,cdouble,1024,256,64,16,308.6182,308.6053,0.0000,1187.56,1.864e-19,0,0,0
VV,2,blocked,cdouble,1024,256,64,16,460.4538,460.4149,0.0000,795.96,1.860e-19,0,0,0
VV,3,vendor,cdouble,1024,256,64,16,308.6041,308.5948,0.0000,1187.62,1.864e-19,0,0,0
VV,3,blocked,cdouble,1024,256,64,16,460.6714,460.4601,0.0002,795.59,1.860e-19,0,0,0
Vn,1,vendor,cdouble,1024,256,64,16,308.6283,308.6091,0.0000,1187.53,1.864e-19,0,0,0
Vn,1,blocked,cdouble,1024,256,64,16,347.2184,347.1719,0.0001,1055.54,3.720e-19,0,0,74
Vn,2,vendor,cdouble,1024,256,64,16,308.6142,308.6034,0.0000,1187.58,1.864e-19,0,0,0
Vn,2,blocked,cdouble,1024,256,64,16,347.2654,347.0922,0.0002,1055.40,1.647e-01,0,0,89
Vn,3,vendor,cdouble,1024,256,64,16,308.6154,308.6032,0.0000,1187.57,1.864e-19,0,0,0
Vn,3,blocked,cdouble,1024,256,64,16,347.1722,347.0850,0.0001,1055.68,1.497e-03,0,0,81
nV,1,vendor,cdouble,1024,256,64,16,308.8243,308.6100,0.0003,1186.77,1.864e-19,0,0,0
nV,1,blocked,cdouble,1024,256,64,16,1036.2729,1036.2354,0.0000,353.68,1.860e-19,0,0,0
nV,2,vendor,cdouble,1024,256,64,16,308.6297,308.6012,0.0000,1187.52,1.864e-19,0,0,0
nV,2,blocked,cdouble,1024,256,64,16,1036.3188,1036.2629,0.0000,353.66,1.860e-19,0,0,0
nV,3,vendor,cdouble,1024,256,64,16,308.6498,308.6351,0.0000,1187.44,1.864e-19,0,0,0
nV,3,blocked,cdouble,1024,256,64,16,1036.3353,1036.3075,0.0000,353.65,1.860e-19,0,0,0
nn,1,vendor,cdouble,1024,256,64,16,308.6688,308.6313,0.0001,1187.37,1.864e-19,0,0,0
nn,1,blocked,cdouble,1024,256,64,16,951.7927,951.5851,0.0001,385.07,2.132e+00,0,0,60
nn,2,vendor,cdouble,1024,256,64,16,308.6784,308.6503,0.0000,1187.33,1.864e-19,0,0,0
nn,2,blocked,cdouble,1024,256,64,16,951.6595,951.4689,0.0001,385.12,1.860e-19,0,0,64
nn,3,vendor,cdouble,1024,256,64,16,308.6647,308.6352,0.0000,1187.39,1.864e-19,0,0,0
nn,3,blocked,cdouble,1024,256,64,16,951.8255,951.7059,0.0001,385.05,1.860e-19,0,0,64
VV,1,vendor,cdouble,512,256,64,16,43.6893,43.6891,0.0000,1048.61,1.489e-18,0,0,0
VV,1,blocked,cdouble,512,256,64,16,86.9912,86.9568,0.0002,526.64,7.443e-19,0,0,0
VV,2,vendor,cdouble,512,256,64,16,43.6925,43.6872,0.0001,1048.53,1.489e-18,0,0,0
VV,2,blocked,cdouble,512,256,64,16,86.9743,86.9646,0.0001,526.74,7.443e-19,0,0,0
VV,3,vendor,cdouble,512,256,64,16,43.7407,43.7355,0.0001,1047.38,1.489e-18,0,0,0
VV,3,blocked,cdouble,512,256,64,16,87.0192,87.0084,0.0001,526.47,7.443e-19,0,0,0
Vn,1,vendor,cdouble,512,256,64,16,43.6914,43.6867,0.0001,1048.56,1.489e-18,0,0,0
Vn,1,blocked,cdouble,512,256,64,16,48.6334,48.6159,0.0002,942.01,7.443e-19,0,0,45
Vn,2,vendor,cdouble,512,256,64,16,43.7025,43.6986,0.0000,1048.29,1.489e-18,0,0,0
Vn,2,blocked,cdouble,512,256,64,16,48.6468,48.6194,0.0003,941.75,7.443e-19,0,0,48
Vn,3,vendor,cdouble,512,256,64,16,43.7343,43.7268,0.0001,1047.53,1.489e-18,0,0,0
Vn,3,blocked,cdouble,512,256,64,16,48.6434,48.6246,0.0002,941.81,8.367e-01,0,0,49
nV,1,vendor,cdouble,512,256,64,16,43.7414,43.7400,0.0000,1047.36,1.489e-18,0,0,0
nV,1,blocked,cdouble,512,256,64,16,151.5119,151.3935,0.0004,302.37,7.443e-19,0,0,0
nV,2,vendor,cdouble,512,256,64,16,43.7218,43.6998,0.0003,1047.83,1.489e-18,0,0,0
nV,2,blocked,cdouble,512,256,64,16,151.3865,151.3715,0.0000,302.62,7.443e-19,0,0,0
nV,3,vendor,cdouble,512,256,64,16,43.7444,43.7388,0.0001,1047.29,1.489e-18,0,0,0
nV,3,blocked,cdouble,512,256,64,16,151.4159,151.4122,0.0000,302.56,7.443e-19,0,0,0
nn,1,vendor,cdouble,512,256,64,16,43.7487,43.7373,0.0001,1047.19,1.489e-18,0,0,0
nn,1,blocked,cdouble,512,256,64,16,119.7098,119.6704,0.0002,382.70,7.443e-19,0,0,40
nn,2,vendor,cdouble,512,256,64,16,43.6939,43.6914,0.0000,1048.50,1.489e-18,0,0,0
nn,2,blocked,cdouble,512,256,64,16,119.6401,119.6397,0.0000,382.92,7.443e-19,0,0,39
nn,3,vendor,cdouble,512,256,64,16,43.7439,43.7322,0.0001,1047.30,1.489e-18,0,0,0
nn,3,blocked,cdouble,512,256,64,16,119.7083,119.6940,0.0001,382.71,3.400e-01,0,0,23
VV,1,vendor,cdouble,1024,128,64,16,154.5331,154.5217,0.0000,1185.84,3.474e-19,0,0,0
VV,1,blocked,cdouble,1024,128,64,16,263.7132,263.7073,0.0000,694.89,1.860e-19,0,0,0
VV,2,vendor,cdouble,1024,128,64,16,154.6164,154.5910,0.0001,1185.20,3.474e-19,0,0,0
VV,2,blocked,cdouble,1024,128,64,16,263.7994,263.7653,0.0001,694.66,1.860e-19,0,0,0
VV,3,vendor,cdouble,1024,128,64,16,154.5557,154.5509,0.0000,1185.67,3.474e-19,0,0,0
VV,3,blocked,cdouble,1024,128,64,16,263.7172,263.7150,0.0000,694.88,1.860e-19,0,0,0
Vn,1,vendor,cdouble,1024,128,64,16,154.5824,154.5626,0.0001,1185.46,3.474e-19,0,0,0
Vn,1,blocked,cdouble,1024,128,64,16,181.4066,180.9792,0.0012,1010.17,3.471e-19,0,0,36
Vn,2,vendor,cdouble,1024,128,64,16,154.7616,154.5556,0.0007,1184.09,3.474e-19,0,0,0
Vn,2,blocked,cdouble,1024,128,64,16,181.1893,181.1200,0.0002,1011.38,3.471e-19,0,0,33
Vn,3,vendor,cdouble,1024,128,64,16,154.5635,154.5607,0.0000,1185.61,3.474e-19,0,0,0
Vn,3,blocked,cdouble,1024,128,64,16,181.2523,181.2440,0.0000,1011.03,3.471e-19,0,0,36
nV,1,vendor,cdouble,1024,128,64,16,154.6103,154.6080,0.0000,1185.25,3.474e-19,0,0,0
nV,1,blocked,cdouble,1024,128,64,16,546.6023,546.5943,0.0000,335.26,3.471e-19,0,0,0
nV,2,vendor,cdouble,1024,128,64,16,154.6029,154.5773,0.0001,1185.31,3.474e-19,0,0,0
nV,2,blocked,cdouble,1024,128,64,16,546.5896,546.5808,0.0000,335.26,3.471e-19,0,0,0
nV,3,vendor,cdouble,1024,128,64,16,154.6111,154.6009,0.0000,1185.24,3.474e-19,0,0,0
nV,3,blocked,cdouble,1024,128,64,16,546.5860,546.5792,0.0000,335.27,3.471e-19,0,0,0
nn,1,vendor,cdouble,1024,128,64,16,154.5773,154.5697,0.0000,1185.50,3.474e-19,0,0,0
nn,1,blocked,cdouble,1024,128,64,16,478.2215,478.0968,0.0001,383.19,1.860e-19,0,0,28
nn,2,vendor,cdouble,1024,128,64,16,154.6147,154.5833,0.0001,1185.22,3.474e-19,0,0,0
nn,2,blocked,cdouble,1024,128,64,16,478.2443,478.2422,0.0000,383.18,5.195e-19,0,0,26
nn,3,vendor,cdouble,1024,128,64,16,154.5559,154.5546,0.0000,1185.67,3.474e-19,0,0,0
nn,3,blocked,cdouble,1024,128,64,16,478.2855,478.0711,0.0002,383.14,8.911e-03,0,0,26
