arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,MB
vendor,cdouble,160,1024,384,T,vendor:auto,3.24839,3.22460,0.0166,312.1,0.329,0.00e+00,160,960
native:cta,cdouble,160,1024,384,T,native:cta,1.09282,1.09276,0.0006,927.8,0.977,0.00e+00,160,960
vendor,cdouble,160,1024,384,C,vendor:auto,3.20540,3.20982,0.0079,316.3,0.333,0.00e+00,160,960
native:cta,cdouble,160,1024,384,C,native:cta,1.09262,1.09248,0.0006,928.0,0.977,0.00e+00,160,960
vendor,cdouble,224,1024,384,T,vendor:auto,4.20579,4.20645,0.0056,336.9,0.355,0.00e+00,224,1344
native:cta,cdouble,224,1024,384,T,native:cta,1.51784,1.51809,0.0005,933.5,0.983,0.00e+00,224,1344
vendor,cdouble,224,1024,384,C,vendor:auto,4.49482,4.48893,0.0048,315.2,0.332,0.00e+00,224,1344
native:cta,cdouble,224,1024,384,C,native:cta,1.51777,1.51785,0.0005,933.6,0.983,0.00e+00,224,1344
vendor,cdouble,288,768,320,T,vendor:auto,3.50606,3.50671,0.0070,324.5,0.342,0.00e+00,288,1080
native:cta,cdouble,288,768,320,T,native:cta,1.21985,1.22034,0.0010,932.8,0.982,0.00e+00,288,1080
vendor,cdouble,288,768,320,C,vendor:auto,3.67471,3.67720,0.0049,309.6,0.326,0.00e+00,288,1080
native:cta,cdouble,288,768,320,C,native:cta,1.21963,1.22010,0.0012,933.0,0.982,0.00e+00,288,1080
vendor,cdouble,352,384,640,T,vendor:auto,4.24166,4.23599,0.0063,328.1,0.345,0.00e+00,352,1320
native:cta,cdouble,352,384,640,T,native:cta,1.48612,1.48578,0.0007,936.4,0.986,0.00e+00,352,1320
vendor,cdouble,352,384,640,C,vendor:auto,4.46629,4.46487,0.0033,311.6,0.328,0.00e+00,352,1320
native:cta,cdouble,352,384,640,C,native:cta,1.48490,1.48533,0.0007,937.2,0.987,0.00e+00,352,1320
vendor,cdouble,352,768,320,T,vendor:auto,4.26241,4.25908,0.0055,326.1,0.343,0.00e+00,352,1320
native:cta,cdouble,352,768,320,T,native:cta,1.48325,1.48354,0.0006,937.0,0.986,0.00e+00,352,1320
vendor,cdouble,352,768,320,C,vendor:auto,4.49301,4.49550,0.0023,309.3,0.326,0.00e+00,352,1320
native:cta,cdouble,352,768,320,C,native:cta,1.48352,1.48378,0.0008,936.9,0.986,0.00e+00,352,1320
vendor,cdouble,64,384,384,T,vendor:auto,0.42283,0.42301,0.0033,363.6,0.383,0.00e+00,64,144
native:cta,cdouble,64,384,384,T,native:cta,0.22420,0.22422,0.0011,685.8,0.722,0.00e+00,64,144
vendor,cdouble,64,384,384,C,vendor:auto,0.41993,0.42035,0.0046,366.1,0.385,0.00e+00,64,144
native:cta,cdouble,64,384,384,C,native:cta,0.22440,0.22429,0.0012,685.2,0.721,0.00e+00,64,144
vendor,cdouble,64,1024,192,T,vendor:auto,0.56471,0.56472,0.0038,362.4,0.382,0.00e+00,64,192
native:cta,cdouble,64,1024,192,T,native:cta,0.29651,0.29685,0.0027,690.3,0.727,0.00e+00,64,192
vendor,cdouble,64,1024,192,C,vendor:auto,0.56529,0.56498,0.0019,362.1,0.381,0.00e+00,64,192
native:cta,cdouble,64,1024,192,C,native:cta,0.29647,0.29648,0.0008,690.3,0.727,0.00e+00,64,192
vendor,cdouble,320,192,1024,T,vendor:auto,1.12905,1.12943,0.0024,899.0,0.946,0.00e+00,320,960
native:cta,cdouble,320,192,1024,T,native:cta,1.08717,1.08712,0.0004,933.6,0.983,0.00e+00,320,960
vendor,cdouble,320,192,1024,C,vendor:auto,1.24742,1.25092,0.0084,813.7,0.857,0.00e+00,320,960
native:cta,cdouble,320,192,1024,C,native:cta,1.08801,1.08792,0.0009,932.9,0.982,0.00e+00,320,960
vendor,cdouble,320,768,320,T,vendor:auto,4.05132,4.04441,0.0072,312.0,0.328,0.00e+00,320,1200
native:cta,cdouble,320,768,320,T,native:cta,1.35178,1.35172,0.0009,935.0,0.984,0.00e+00,320,1200
vendor,cdouble,320,768,320,C,vendor:auto,4.09889,4.10666,0.0080,308.3,0.325,0.00e+00,320,1200
native:cta,cdouble,320,768,320,C,native:cta,1.35146,1.35157,0.0005,935.2,0.984,0.00e+00,320,1200
