arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,foreign
vendor,float,16,512,512,N,vendor:auto,0.01149,0.01186,0.0952,1554.1,1.636,0.00e+00,16,16,512,0
native:direct,float,16,512,512,N,native:direct,0.01477,0.01482,0.0092,1209.3,1.273,0.00e+00,16,16,512,0
vendor,double,16,512,512,N,vendor:auto,0.01704,0.01713,0.0194,2096.1,2.206,0.00e+00,16,16,512,0
native:direct,double,16,512,512,N,native:direct,0.02880,0.02882,0.0047,1240.3,1.306,0.00e+00,16,16,512,0
vendor,cfloat,16,512,512,N,vendor:auto,0.01461,0.01465,0.0113,2444.4,2.573,0.00e+00,16,16,512,0
native:direct,cfloat,16,512,512,N,native:direct,0.02430,0.02435,0.0051,1470.1,1.547,0.00e+00,16,16,512,0
vendor,cdouble,16,512,512,N,vendor:auto,0.03426,0.03423,0.0035,2085.1,2.195,0.00e+00,16,16,512,0
native:direct,cdouble,16,512,512,N,native:direct,0.06235,0.06236,0.0018,1145.8,1.206,0.00e+00,16,16,512,0
vendor,float,512,16,512,T,vendor:auto,0.01108,0.01109,0.0189,1611.8,1.697,0.00e+00,512,16,512,0
native:direct,float,512,16,512,T,native:direct,0.02116,0.02118,0.0032,843.8,0.888,0.00e+00,512,16,512,0
native:cta,float,512,16,512,T,native:cta,0.00979,0.00979,0.0116,1824.5,1.921,0.00e+00,512,16,512,0
vendor,double,512,16,512,T,vendor:auto,0.01692,0.01699,0.0122,2110.9,2.222,0.00e+00,512,16,512,0
native:direct,double,512,16,512,T,native:direct,0.03096,0.03104,0.0067,1153.5,1.214,0.00e+00,512,16,512,0
native:cta,double,512,16,512,T,native:cta,0.01804,0.01820,0.0283,1979.7,2.084,0.00e+00,512,16,512,0
vendor,cfloat,512,16,512,T,vendor:auto,0.01478,0.01485,0.0179,2416.1,2.543,0.00e+00,512,16,512,0
native:direct,cfloat,512,16,512,T,native:direct,0.04668,0.04496,0.0658,765.1,0.805,0.00e+00,512,16,512,0
native:cta,cfloat,512,16,512,T,native:cta,0.01352,0.01352,0.0076,2641.0,2.780,0.00e+00,512,16,512,0
vendor,cdouble,512,16,512,T,vendor:auto,0.03474,0.03478,0.0025,2056.0,2.164,0.00e+00,512,16,512,0
native:direct,cdouble,512,16,512,T,native:direct,0.06611,0.06623,0.0052,1080.5,1.137,0.00e+00,512,16,512,0
native:cta,cdouble,512,16,512,T,native:cta,0.04647,0.04648,0.0020,1537.2,1.618,0.00e+00,512,16,512,0
vendor,float,512,16,512,C,vendor:auto,0.01083,0.01084,0.0172,1649.1,1.736,0.00e+00,512,16,512,0
native:direct,float,512,16,512,C,native:direct,0.02118,0.02113,0.0041,843.1,0.887,0.00e+00,512,16,512,0
native:cta,float,512,16,512,C,native:cta,0.00986,0.00985,0.0116,1811.0,1.906,0.00e+00,512,16,512,0
vendor,double,512,16,512,C,vendor:auto,0.01707,0.01704,0.0103,2092.0,2.202,0.00e+00,512,16,512,0
native:direct,double,512,16,512,C,native:direct,0.03093,0.03095,0.0029,1154.9,1.216,0.00e+00,512,16,512,0
native:cta,double,512,16,512,C,native:cta,0.01813,0.01810,0.0067,1970.1,2.074,0.00e+00,512,16,512,0
vendor,cfloat,512,16,512,C,vendor:auto,0.01458,0.01457,0.0093,2449.7,2.579,0.00e+00,512,16,512,0
native:direct,cfloat,512,16,512,C,native:direct,0.04708,0.04590,0.0678,758.6,0.799,0.00e+00,512,16,512,0
native:cta,cfloat,512,16,512,C,native:cta,0.01356,0.01352,0.0092,2633.8,2.772,0.00e+00,512,16,512,0
vendor,cdouble,512,16,512,C,vendor:auto,0.03496,0.03492,0.0031,2043.4,2.151,0.00e+00,512,16,512,0
native:direct,cdouble,512,16,512,C,native:direct,0.10144,0.10134,0.0057,704.2,0.741,0.00e+00,512,16,512,0
native:cta,cdouble,512,16,512,C,native:cta,0.04660,0.04666,0.0028,1532.8,1.613,0.00e+00,512,16,512,0
vendor,float,16,2048,512,N,vendor:auto,0.02396,0.02395,0.0071,2977.4,3.134,0.00e+00,16,16,2048,0
native:direct,float,16,2048,512,N,native:direct,0.04219,0.04218,0.0027,1691.0,1.780,0.00e+00,16,16,2048,0
vendor,double,16,2048,512,N,vendor:auto,0.15740,0.15739,0.0014,906.4,0.954,0.00e+00,16,16,2048,0
native:direct,double,16,2048,512,N,native:direct,0.22036,0.22098,0.0066,647.4,0.682,0.00e+00,16,16,2048,0
vendor,cfloat,16,2048,512,N,vendor:auto,0.14843,0.14839,0.0014,961.2,1.012,0.00e+00,16,16,2048,0
native:direct,cfloat,16,2048,512,N,native:direct,0.20544,0.20558,0.0038,694.5,0.731,0.00e+00,16,16,2048,0
vendor,cdouble,16,2048,512,N,vendor:auto,0.31648,0.31674,0.0028,901.6,0.949,0.00e+00,16,16,2048,0
native:direct,cdouble,16,2048,512,N,native:direct,0.52275,0.52319,0.0034,545.8,0.575,0.00e+00,16,16,2048,0
vendor,float,2048,16,512,T,vendor:auto,0.02170,0.02176,0.0072,3288.0,3.461,0.00e+00,2048,16,2048,0
native:direct,float,2048,16,512,T,native:direct,0.06965,0.06959,0.0052,1024.2,1.078,0.00e+00,2048,16,2048,0
native:cta,float,2048,16,512,T,native:cta,0.02391,0.02387,0.0053,2983.3,3.140,0.00e+00,2048,16,2048,0
vendor,double,2048,16,512,T,vendor:auto,0.15049,0.15971,0.1248,948.1,0.998,0.00e+00,2048,16,2048,0
native:direct,double,2048,16,512,T,native:direct,0.71587,0.71800,0.0074,199.3,0.210,0.00e+00,2048,16,2048,0
native:cta,double,2048,16,512,T,native:cta,0.15990,0.16017,0.0046,892.2,0.939,0.00e+00,2048,16,2048,0
vendor,cfloat,2048,16,512,T,vendor:auto,0.15731,0.15723,0.0014,907.0,0.955,0.00e+00,2048,16,2048,0
native:direct,cfloat,2048,16,512,T,native:direct,0.74586,0.74643,0.0048,191.3,0.201,0.00e+00,2048,16,2048,0
native:cta,cfloat,2048,16,512,T,native:cta,0.15682,0.15690,0.0017,909.8,0.958,0.00e+00,2048,16,2048,0
vendor,cdouble,2048,16,512,T,vendor:auto,0.31060,0.31084,0.0044,918.7,0.967,0.00e+00,2048,16,2048,0
native:direct,cdouble,2048,16,512,T,native:direct,1.36189,1.36206,0.0056,209.5,0.221,0.00e+00,2048,16,2048,0
native:cta,cdouble,2048,16,512,T,native:cta,0.33499,0.33565,0.0060,851.8,0.897,0.00e+00,2048,16,2048,0
vendor,float,2048,16,512,C,vendor:auto,0.02152,0.02160,0.0135,3314.3,3.489,0.00e+00,2048,16,2048,0
native:direct,float,2048,16,512,C,native:direct,0.07028,0.07029,0.0066,1015.0,1.068,0.00e+00,2048,16,2048,0
