arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,MB,foreign
native:cta,cdouble,128,128,128,T,native:cta,0.03830,0.03833,0.0028,889.8,0.937,0.00e+00,128,32,0
vendor,cdouble,128,128,256,T,vendor:auto,0.03659,0.03674,0.0085,1862.9,1.961,0.00e+00,128,64,0
native:cta,cdouble,128,128,256,T,native:cta,0.07084,0.07076,0.0022,962.2,1.013,0.00e+00,128,64,0
vendor,cdouble,128,128,512,T,vendor:auto,0.15621,0.15648,0.0037,872.6,0.919,0.00e+00,128,128,0
native:cta,cdouble,128,128,512,T,native:cta,0.15803,0.15797,0.0031,862.6,0.908,0.00e+00,128,128,0
vendor,cdouble,128,256,128,T,vendor:auto,0.03650,0.03673,0.0154,1860.1,1.958,0.00e+00,128,64,0
native:cta,cdouble,128,256,128,T,native:cta,0.07071,0.07074,0.0016,960.2,1.011,0.00e+00,128,64,0
vendor,cdouble,128,256,256,T,vendor:auto,0.15626,0.15615,0.0047,869.0,0.915,0.00e+00,128,128,0
native:cta,cdouble,128,256,256,T,native:cta,0.15693,0.15682,0.0030,865.3,0.911,0.00e+00,128,128,0
vendor,cdouble,128,256,512,T,vendor:auto,0.70913,0.70974,0.0168,383.0,0.403,0.00e+00,128,256,0
native:cta,cdouble,128,256,512,T,native:cta,0.30182,0.30191,0.0019,899.8,0.947,0.00e+00,128,256,0
vendor,cdouble,128,512,128,T,vendor:auto,0.15594,0.15601,0.0040,869.1,0.915,0.00e+00,128,128,0
native:cta,cdouble,128,512,128,T,native:cta,0.15640,0.15648,0.0028,866.6,0.912,0.00e+00,128,128,0
vendor,cdouble,128,512,256,T,vendor:auto,0.30025,0.30061,0.0033,902.8,0.950,0.00e+00,128,256,0
native:cta,cdouble,128,512,256,T,native:cta,0.30110,0.30105,0.0014,900.2,0.948,0.00e+00,128,256,0
vendor,cdouble,128,512,512,T,vendor:auto,1.48437,1.49837,0.0159,365.2,0.384,0.00e+00,128,512,0
native:cta,cdouble,128,512,512,T,native:cta,0.59077,0.59073,0.0011,917.6,0.966,0.00e+00,128,512,0
vendor,cdouble,192,128,128,T,vendor:auto,0.02997,0.02996,0.0223,1701.4,1.791,0.00e+00,192,48,0
native:cta,cdouble,192,128,128,T,native:cta,0.04638,0.04638,0.0027,1099.4,1.157,0.00e+00,192,48,0
vendor,cdouble,192,128,256,T,vendor:auto,0.12856,0.12832,0.0079,793.2,0.835,0.00e+00,192,96,0
native:cta,cdouble,192,128,256,T,native:cta,0.12016,0.12027,0.0046,848.6,0.893,0.00e+00,192,96,0
vendor,cdouble,192,128,512,T,vendor:auto,0.23259,0.23253,0.0024,876.8,0.923,0.00e+00,192,192,0
native:cta,cdouble,192,128,512,T,native:cta,0.22877,0.22869,0.0023,891.5,0.938,0.00e+00,192,192,0
vendor,cdouble,192,256,128,T,vendor:auto,0.12809,0.12803,0.0048,793.0,0.835,0.00e+00,192,96,0
native:cta,cdouble,192,256,128,T,native:cta,0.11999,0.12008,0.0036,846.6,0.891,0.00e+00,192,96,0
vendor,cdouble,192,256,256,T,vendor:auto,0.23937,0.23929,0.0022,848.7,0.893,0.00e+00,192,192,0
native:cta,cdouble,192,256,256,T,native:cta,0.23015,0.22989,0.0078,882.8,0.929,0.00e+00,192,192,0
vendor,cdouble,192,256,512,T,vendor:auto,1.17207,1.17242,0.0062,346.7,0.365,0.00e+00,192,384,0
native:cta,cdouble,192,256,512,T,native:cta,0.44385,0.44418,0.0016,915.5,0.964,0.00e+00,192,384,0
vendor,cdouble,192,512,128,T,vendor:auto,0.23932,0.23948,0.0030,847.3,0.892,0.00e+00,192,192,0
native:cta,cdouble,192,512,128,T,native:cta,0.22713,0.22722,0.0016,892.7,0.940,0.00e+00,192,192,0
vendor,cdouble,192,512,256,T,vendor:auto,0.45936,0.45979,0.0030,882.8,0.929,0.00e+00,192,384,0
native:cta,cdouble,192,512,256,T,native:cta,0.44358,0.44344,0.0015,914.2,0.962,0.00e+00,192,384,0
vendor,cdouble,192,512,512,T,vendor:auto,2.50563,2.50156,0.0036,323.7,0.341,0.00e+00,192,768,0
native:cta,cdouble,192,512,512,T,native:cta,0.87447,0.87485,0.0011,927.5,0.976,0.00e+00,192,768,0
vendor,cdouble,256,128,128,T,vendor:auto,0.03892,0.03859,0.0420,1744.3,1.836,0.00e+00,256,64,0
native:cta,cdouble,256,128,128,T,native:cta,0.05470,0.05468,0.0012,1241.3,1.307,0.00e+00,256,64,0
vendor,cdouble,256,128,256,T,vendor:auto,0.15699,0.15720,0.0048,864.9,0.910,0.00e+00,256,128,0
native:cta,cdouble,256,128,256,T,native:cta,0.15666,0.15658,0.0046,866.8,0.912,0.00e+00,256,128,0
vendor,cdouble,256,128,512,T,vendor:auto,0.30072,0.30054,0.0025,903.1,0.951,0.00e+00,256,256,0
native:cta,cdouble,256,128,512,T,native:cta,0.30090,0.30103,0.0026,902.6,0.950,0.00e+00,256,256,0
vendor,cdouble,256,256,128,T,vendor:auto,0.15785,0.15789,0.0032,857.0,0.902,0.00e+00,256,128,0
native:cta,cdouble,256,256,128,T,native:cta,0.15674,0.15673,0.0054,863.0,0.908,0.00e+00,256,128,0
vendor,cdouble,256,256,256,T,vendor:auto,0.30304,0.30252,0.0038,892.7,0.940,0.00e+00,256,256,0
native:cta,cdouble,256,256,256,T,native:cta,0.30021,0.30019,0.0020,901.2,0.949,0.00e+00,256,256,0
vendor,cdouble,256,256,512,T,vendor:auto,1.59043,1.59064,0.0071,340.2,0.358,0.00e+00,256,512,0
native:cta,cdouble,256,256,512,T,native:cta,0.58694,0.58685,0.0014,921.8,0.970,0.00e+00,256,512,0
vendor,cdouble,256,512,128,T,vendor:auto,0.30226,0.30233,0.0023,893.3,0.940,0.00e+00,256,256,0
native:cta,cdouble,256,512,128,T,native:cta,0.30002,0.29996,0.0034,900.0,0.947,0.00e+00,256,256,0
vendor,cdouble,256,512,256,T,vendor:auto,0.59002,0.59005,0.0029,915.3,0.963,0.00e+00,256,512,0
native:cta,cdouble,256,512,256,T,native:cta,0.58574,0.58589,0.0016,921.9,0.970,0.00e+00,256,512,0
vendor,cdouble,256,512,512,T,vendor:auto,3.32830,3.32668,0.0110,324.5,0.342,0.00e+00,256,1024,0
native:cta,cdouble,256,512,512,T,native:cta,1.22204,2.51253,0.8935,883.8,0.930,0.00e+00,256,1024,0
vendor,cdouble,320,128,128,T,vendor:auto,0.10654,0.10686,0.0165,796.0,0.838,0.00e+00,320,80,0
native:cta,cdouble,320,128,128,T,native:cta,0.09355,0.09346,0.0056,906.5,0.954,0.00e+00,320,80,0
vendor,cdouble,320,128,256,T,vendor:auto,0.21679,0.21777,0.0192,782.4,0.824,0.00e+00,320,160,0
native:cta,cdouble,320,128,256,T,native:cta,0.19286,0.19282,0.0040,879.4,0.926,0.00e+00,320,160,0
vendor,cdouble,320,128,512,T,vendor:auto,0.38626,0.38655,0.0020,878.2,0.924,0.00e+00,320,320,0
native:cta,cdouble,320,128,512,T,native:cta,0.37180,0.37175,0.0027,912.4,0.960,0.00e+00,320,320,0
vendor,cdouble,320,256,128,T,vendor:auto,0.21801,0.21853,0.0106,775.0,0.816,0.00e+00,320,160,0
native:cta,cdouble,320,256,128,T,native:cta,0.19152,0.19149,0.0030,882.2,0.929,0.00e+00,320,160,0
vendor,cdouble,320,256,256,T,vendor:auto,0.42105,0.42142,0.0075,802.5,0.845,0.00e+00,320,320,0
native:cta,cdouble,320,256,256,T,native:cta,0.37023,0.37025,0.0021,912.7,0.961,0.00e+00,320,320,0
vendor,cdouble,320,256,512,T,vendor:auto,2.09118,2.08343,0.0088,323.2,0.340,0.00e+00,320,640,0
native:cta,cdouble,320,256,512,T,native:cta,0.72771,0.72781,0.0010,928.7,0.978,0.00e+00,320,640,0
vendor,cdouble,320,512,128,T,vendor:auto,0.42105,0.42084,0.0041,801.0,0.843,0.00e+00,320,320,0
native:cta,cdouble,320,512,128,T,native:cta,0.36931,0.36917,0.0014,913.2,0.961,0.00e+00,320,320,0
vendor,cdouble,320,512,256,T,vendor:auto,0.81805,0.81870,0.0079,824.5,0.868,0.00e+00,320,640,0
native:cta,cdouble,320,512,256,T,native:cta,0.72668,0.72682,0.0012,928.2,0.977,0.00e+00,320,640,0
vendor,cdouble,320,512,512,T,vendor:auto,4.31398,4.31365,0.0068,312.7,0.329,0.00e+00,320,1280,0
native:cta,cdouble,320,512,512,T,native:cta,1.47426,1.79100,0.4714,915.0,0.963,0.00e+00,320,1280,0
vendor,cdouble,384,128,128,T,vendor:auto,0.12222,0.12205,0.0052,832.2,0.876,0.00e+00,384,96,0
native:cta,cdouble,384,128,128,T,native:cta,0.12142,0.12126,0.0071,837.7,0.882,0.00e+00,384,96,0
vendor,cdouble,384,128,256,T,vendor:auto,0.24239,0.24249,0.0067,839.3,0.883,0.00e+00,384,192,0
native:cta,cdouble,384,128,256,T,native:cta,0.22748,0.22799,0.0051,894.2,0.941,0.00e+00,384,192,0
vendor,cdouble,384,128,512,T,vendor:auto,0.45318,0.45326,0.0032,897.8,0.945,0.00e+00,384,384,0
native:cta,cdouble,384,128,512,T,native:cta,0.44356,0.44358,0.0025,917.2,0.965,0.00e+00,384,384,0
vendor,cdouble,384,256,128,T,vendor:auto,0.24230,0.24249,0.0067,836.3,0.880,0.00e+00,384,192,0
native:cta,cdouble,384,256,128,T,native:cta,0.22721,0.22713,0.0029,891.9,0.939,0.00e+00,384,192,0
vendor,cdouble,384,256,256,T,vendor:auto,0.45747,0.45741,0.0021,885.9,0.933,0.00e+00,384,384,0
native:cta,cdouble,384,256,256,T,native:cta,0.44101,0.44126,0.0025,919.0,0.967,0.00e+00,384,384,0
vendor,cdouble,384,256,512,T,vendor:auto,0.89948,0.90011,0.0024,901.1,0.949,0.00e+00,384,768,0
native:cta,cdouble,384,256,512,T,native:cta,0.87041,0.87060,0.0012,931.2,0.980,0.00e+00,384,768,0
vendor,cdouble,384,512,128,T,vendor:auto,0.45095,0.45133,0.0032,897.0,0.944,0.00e+00,384,384,0
native:cta,cdouble,384,512,128,T,native:cta,0.43977,0.43995,0.0021,919.8,0.968,0.00e+00,384,384,0
vendor,cdouble,384,512,256,T,vendor:auto,0.89429,0.89566,0.0034,904.6,0.952,0.00e+00,384,768,0
native:cta,cdouble,384,512,256,T,native:cta,0.86816,0.86828,0.0014,931.8,0.981,0.00e+00,384,768,0
vendor,cdouble,384,512,512,T,vendor:auto,1.77742,1.78000,0.0027,910.3,0.958,0.00e+00,384,1536,0
native:cta,cdouble,384,512,512,T,native:cta,1.72465,1.72494,0.0006,938.1,0.988,0.00e+00,384,1536,0
vendor,cdouble,448,128,128,T,vendor:auto,0.13794,0.13813,0.0042,860.0,0.905,0.00e+00,448,112,0
native:cta,cdouble,448,128,128,T,native:cta,0.13792,0.13820,0.0067,860.1,0.905,0.00e+00,448,112,0
vendor,cdouble,448,128,256,T,vendor:auto,0.27925,0.27843,0.0070,849.6,0.894,0.00e+00,448,224,0
native:cta,cdouble,448,128,256,T,native:cta,0.26382,0.26412,0.0043,899.3,0.947,0.00e+00,448,224,0
vendor,cdouble,448,128,512,T,vendor:auto,0.52320,0.52355,0.0045,906.9,0.955,0.00e+00,448,448,0
native:cta,cdouble,448,128,512,T,native:cta,0.51381,0.51403,0.0029,923.5,0.972,0.00e+00,448,448,0
vendor,cdouble,448,256,128,T,vendor:auto,0.28501,0.28559,0.0087,829.2,0.873,0.00e+00,448,224,0
native:cta,cdouble,448,256,128,T,native:cta,0.26280,0.26319,0.0037,899.3,0.947,0.00e+00,448,224,0
vendor,cdouble,448,256,256,T,vendor:auto,0.53011,0.53050,0.0032,891.6,0.939,0.00e+00,448,448,0
native:cta,cdouble,448,256,256,T,native:cta,0.51123,0.51139,0.0024,924.5,0.973,0.00e+00,448,448,0
vendor,cdouble,448,256,512,T,vendor:auto,1.04331,1.04309,0.0008,906.0,0.954,0.00e+00,448,896,0
native:cta,cdouble,448,256,512,T,native:cta,1.01319,1.01303,0.0017,933.0,0.982,0.00e+00,448,896,0
vendor,cdouble,448,512,128,T,vendor:auto,0.52426,0.52440,0.0050,899.8,0.947,0.00e+00,448,448,0
native:cta,cdouble,448,512,128,T,native:cta,0.51051,0.51076,0.0017,924.0,0.973,0.00e+00,448,448,0
vendor,cdouble,448,512,256,T,vendor:auto,1.03913,1.03882,0.0029,907.9,0.956,0.00e+00,448,896,0
native:cta,cdouble,448,512,256,T,native:cta,1.01087,1.01079,0.0009,933.3,0.982,0.00e+00,448,896,0
vendor,cdouble,448,512,512,T,vendor:auto,2.05635,2.05558,0.0015,917.6,0.966,0.00e+00,448,1792,0
native:cta,cdouble,448,512,512,T,native:cta,2.00702,2.00677,0.0007,940.2,0.990,0.00e+00,448,1792,0
vendor,cdouble,512,128,128,T,vendor:auto,0.15537,0.15555,0.0044,872.3,0.918,0.00e+00,512,128,0
native:cta,cdouble,512,128,128,T,native:cta,0.15646,0.15713,0.0094,866.2,0.912,0.00e+00,512,128,0
vendor,cdouble,512,128,256,T,vendor:auto,0.30678,0.30734,0.0090,883.6,0.930,0.00e+00,512,256,0
native:cta,cdouble,512,128,256,T,native:cta,0.29995,0.29966,0.0034,903.7,0.951,0.00e+00,512,256,0
vendor,cdouble,512,128,512,T,vendor:auto,0.58917,0.59017,0.0036,920.1,0.969,0.00e+00,512,512,0
native:cta,cdouble,512,128,512,T,native:cta,0.58583,0.58625,0.0025,925.4,0.974,0.00e+00,512,512,0
vendor,cdouble,512,256,128,T,vendor:auto,0.32391,0.32446,0.0059,833.6,0.877,0.00e+00,512,256,0
native:cta,cdouble,512,256,128,T,native:cta,0.29903,0.29999,0.0049,902.9,0.950,0.00e+00,512,256,0
vendor,cdouble,512,256,256,T,vendor:auto,0.60768,0.60832,0.0045,888.7,0.935,0.00e+00,512,512,0
native:cta,cdouble,512,256,256,T,native:cta,0.58543,0.58537,0.0022,922.4,0.971,0.00e+00,512,512,0
vendor,cdouble,512,256,512,T,vendor:auto,1.19582,1.19624,0.0015,903.2,0.951,0.00e+00,512,1024,0
native:cta,cdouble,512,256,512,T,native:cta,1.15582,1.15579,0.0014,934.4,0.984,0.00e+00,512,1024,0
vendor,cdouble,512,512,128,T,vendor:auto,0.58672,0.58672,0.0035,918.6,0.967,0.00e+00,512,512,0
native:cta,cdouble,512,512,128,T,native:cta,0.58330,0.58369,0.0026,924.0,0.973,0.00e+00,512,512,0
vendor,cdouble,512,512,256,T,vendor:auto,1.16877,1.16906,0.0019,922.3,0.971,0.00e+00,512,1024,0
native:cta,cdouble,512,512,256,T,native:cta,1.15383,1.15469,0.0019,934.2,0.983,0.00e+00,512,1024,0
vendor,cdouble,512,512,512,T,vendor:auto,2.32579,2.32447,0.0034,926.9,0.976,0.00e+00,512,2048,0
native:cta,cdouble,512,512,512,T,native:cta,2.29152,2.29122,0.0005,940.8,0.990,0.00e+00,512,2048,0
vendor,cdouble,32,128,128,C,vendor:auto,0.01293,0.01294,0.0065,674.1,0.710,0.00e+00,32,8,0
native:cta,cdouble,32,128,128,C,native:cta,0.02585,0.02581,0.0040,337.2,0.355,0.00e+00,32,8,0
vendor,cdouble,32,128,256,C,vendor:auto,0.01718,0.01728,0.0290,1014.9,1.068,0.00e+00,32,16,0
native:cta,cdouble,32,128,256,C,native:cta,0.04588,0.04591,0.0034,380.0,0.400,0.00e+00,32,16,0
vendor,cdouble,32,128,512,C,vendor:auto,0.02476,0.02487,0.0138,1408.0,1.482,0.00e+00,32,32,0
native:cta,cdouble,32,128,512,C,native:cta,0.08569,0.08566,0.0018,406.9,0.428,0.00e+00,32,32,0
vendor,cdouble,32,256,128,C,vendor:auto,0.01850,0.01859,0.0109,938.7,0.988,0.00e+00,32,16,0
native:cta,cdouble,32,256,128,C,native:cta,0.04725,0.04728,0.0023,367.6,0.387,0.00e+00,32,16,0
vendor,cdouble,32,256,256,C,vendor:auto,0.02475,0.02491,0.0201,1403.3,1.477,0.00e+00,32,32,0
native:cta,cdouble,32,256,256,C,native:cta,0.08562,0.08560,0.0015,405.7,0.427,0.00e+00,32,32,0
vendor,cdouble,32,256,512,C,vendor:auto,0.03987,0.03992,0.0042,1742.2,1.834,0.00e+00,32,64,0
native:cta,cdouble,32,256,512,C,native:cta,0.16676,0.16673,0.0008,416.6,0.439,0.00e+00,32,64,0
vendor,cdouble,32,512,128,C,vendor:auto,0.02653,0.02665,0.0125,1306.8,1.376,0.00e+00,32,32,0
native:cta,cdouble,32,512,128,C,native:cta,0.08572,0.08572,0.0014,404.4,0.426,0.00e+00,32,32,0
vendor,cdouble,32,512,256,C,vendor:auto,0.04002,0.04003,0.0035,1732.5,1.824,0.00e+00,32,64,0
native:cta,cdouble,32,512,256,C,native:cta,0.16544,0.16551,0.0011,419.1,0.441,0.00e+00,32,64,0
vendor,cdouble,32,512,512,C,vendor:auto,0.16122,0.16189,0.0117,860.1,0.905,0.00e+00,32,128,0
native:cta,cdouble,32,512,512,C,native:cta,0.32571,0.32569,0.0006,425.8,0.448,0.00e+00,32,128,0
vendor,cdouble,48,128,128,C,vendor:auto,0.01467,0.01458,0.0124,882.2,0.929,0.00e+00,48,12,0
native:cta,cdouble,48,128,128,C,native:cta,0.03408,0.03408,0.0040,379.8,0.400,0.00e+00,48,12,0
vendor,cdouble,48,128,256,C,vendor:auto,0.02139,0.02137,0.0127,1210.1,1.274,0.00e+00,48,24,0
native:cta,cdouble,48,128,256,C,native:cta,0.06232,0.06235,0.0015,415.4,0.437,0.00e+00,48,24,0
vendor,cdouble,48,128,512,C,vendor:auto,0.03239,0.03222,0.0138,1598.5,1.683,0.00e+00,48,48,0
native:cta,cdouble,48,128,512,C,native:cta,0.11867,0.11868,0.0009,436.3,0.459,0.00e+00,48,48,0
vendor,cdouble,48,256,128,C,vendor:auto,0.02149,0.02146,0.0131,1199.9,1.263,0.00e+00,48,24,0
native:cta,cdouble,48,256,128,C,native:cta,0.06378,0.06378,0.0018,404.3,0.426,0.00e+00,48,24,0
vendor,cdouble,48,256,256,C,vendor:auto,0.03206,0.03206,0.0113,1609.0,1.694,0.00e+00,48,48,0
native:cta,cdouble,48,256,256,C,native:cta,0.11866,0.11865,0.0006,434.6,0.458,0.00e+00,48,48,0
vendor,cdouble,48,256,512,C,vendor:auto,0.18386,0.18445,0.0279,561.1,0.591,0.00e+00,48,96,0
native:cta,cdouble,48,256,512,C,native:cta,0.23334,0.23324,0.0012,442.1,0.465,0.00e+00,48,96,0
vendor,cdouble,48,512,128,C,vendor:auto,0.03364,0.03375,0.0109,1530.3,1.611,0.00e+00,48,48,0
native:cta,cdouble,48,512,128,C,native:cta,0.11910,0.11946,0.0086,432.2,0.455,0.00e+00,48,48,0
vendor,cdouble,48,512,256,C,vendor:auto,0.18495,0.18334,0.0283,556.7,0.586,0.00e+00,48,96,0
native:cta,cdouble,48,512,256,C,native:cta,0.23474,0.23477,0.0008,438.6,0.462,0.00e+00,48,96,0
vendor,cdouble,48,512,512,C,vendor:auto,0.32465,0.32292,0.0525,634.3,0.668,0.00e+00,48,192,0
