arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,call
vendor,cdouble,2048,1,512,N,vendor:auto,0.04959,0.04966,0.0037,676.7,0.712,0.00e+00,2048,2048,1,call2
native:direct,cdouble,2048,1,512,N,native:direct,0.02647,0.02649,0.0039,1267.9,1.335,0.00e+00,2048,2048,1,call2
vendor,cdouble,2048,1,512,C,vendor:auto,0.03939,0.03932,0.0042,852.0,0.897,0.00e+00,2048,1,2048,call1
native:cta,cdouble,2048,1,512,C,native:cta,0.01561,0.01612,0.0833,2149.5,2.263,0.00e+00,2048,1,2048,call1
vendor,cdouble,2048,2,512,N,vendor:auto,0.04683,0.04731,0.0241,1075.1,1.132,0.00e+00,2048,2048,2,call2
native:direct,cdouble,2048,2,512,N,native:direct,0.03297,0.03307,0.0121,1527.3,1.608,0.00e+00,2048,2048,2,call2
vendor,cdouble,2048,2,512,C,vendor:auto,0.03592,0.03609,0.0125,1401.8,1.476,0.00e+00,2048,2,2048,call1
native:cta,cdouble,2048,2,512,C,native:cta,0.02352,0.02386,0.0286,2141.0,2.254,0.00e+00,2048,2,2048,call1
vendor,cdouble,2048,4,512,N,vendor:auto,0.09346,0.09341,0.0051,897.9,0.945,0.00e+00,2048,2048,4,call2
native:direct,cdouble,2048,4,512,N,native:direct,0.07228,0.07237,0.0044,1161.1,1.222,0.00e+00,2048,2048,4,call2
vendor,cdouble,2048,4,512,C,vendor:auto,0.09470,0.09468,0.0049,886.2,0.933,0.00e+00,2048,4,2048,call1
native:cta,cdouble,2048,4,512,C,native:cta,0.08740,0.08742,0.0058,960.2,1.011,0.00e+00,2048,4,2048,call1
vendor,cdouble,2048,8,512,N,vendor:auto,0.17219,0.17216,0.0021,877.3,0.923,0.00e+00,2048,2048,8,call2
native:direct,cdouble,2048,8,512,N,native:direct,0.17079,0.17079,0.0021,884.5,0.931,0.00e+00,2048,2048,8,call2
