arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,MB,foreign
vendor,cdouble,80,512,128,T,vendor:auto,0.22355,0.22333,0.0056,380.7,0.401,0.00e+00,80,80,0
native:cta,cdouble,80,512,128,T,native:cta,0.12349,0.12346,0.0007,689.1,0.725,0.00e+00,80,80,0
vendor,cdouble,80,512,256,T,vendor:auto,0.48068,0.47960,0.0130,354.1,0.373,0.00e+00,80,160,0
native:cta,cdouble,80,512,256,T,native:cta,0.23631,0.23634,0.0007,720.2,0.758,0.00e+00,80,160,0
vendor,cdouble,80,512,512,T,vendor:auto,0.92136,0.92269,0.0135,369.4,0.389,0.00e+00,80,320,0
native:cta,cdouble,80,512,512,T,native:cta,0.46186,0.46181,0.0004,737.0,0.776,0.00e+00,80,320,0
vendor,cdouble,128,128,128,T,vendor:auto,0.02280,0.02296,0.0195,1494.9,1.574,0.00e+00,128,32,0
native:cta,cdouble,128,128,128,T,native:cta,0.03838,0.03845,0.0037,887.9,0.935,0.00e+00,128,32,0
vendor,cdouble,128,128,256,T,vendor:auto,0.03657,0.03659,0.0047,1863.7,1.962,0.00e+00,128,64,0
native:cta,cdouble,128,128,256,T,native:cta,0.07068,0.07068,0.0014,964.3,1.015,0.00e+00,128,64,0
vendor,cdouble,128,128,512,T,vendor:auto,0.15646,0.15662,0.0037,871.3,0.917,0.00e+00,128,128,0
native:cta,cdouble,128,128,512,T,native:cta,0.15725,0.15722,0.0029,866.9,0.912,0.00e+00,128,128,0
vendor,cdouble,128,256,128,T,vendor:auto,0.03661,0.03668,0.0089,1854.7,1.952,0.00e+00,128,64,0
native:cta,cdouble,128,256,128,T,native:cta,0.07067,0.07069,0.0017,960.8,1.011,0.00e+00,128,64,0
vendor,cdouble,128,256,256,T,vendor:auto,0.15265,0.15280,0.0035,889.6,0.936,0.00e+00,128,128,0
native:cta,cdouble,128,256,256,T,native:cta,0.15700,0.15722,0.0041,864.9,0.910,0.00e+00,128,128,0
vendor,cdouble,128,256,512,T,vendor:auto,0.71008,0.71236,0.0172,382.5,0.403,0.00e+00,128,256,0
native:cta,cdouble,128,256,512,T,native:cta,0.30273,0.30311,0.0036,897.1,0.944,0.00e+00,128,256,0
vendor,cdouble,128,512,128,T,vendor:auto,0.15591,0.15612,0.0048,869.3,0.915,0.00e+00,128,128,0
native:cta,cdouble,128,512,128,T,native:cta,0.15683,0.15688,0.0030,864.2,0.910,0.00e+00,128,128,0
vendor,cdouble,128,512,256,T,vendor:auto,0.30011,0.30032,0.0016,903.2,0.951,0.00e+00,128,256,0
native:cta,cdouble,128,512,256,T,native:cta,0.30166,0.30145,0.0025,898.6,0.946,0.00e+00,128,256,0
