route,mode,type,n,nb,j,m2,ib,batch,med_ms,min_ms,rel_sd,gflops
vendor,panel,cdouble,1024,77,924,23,77,128,6.726537,6.726234,0.0026,10.38
native,panel,cdouble,1024,77,0,947,77,128,3.053415,2.973779,0.0113,941.49
native,panel,cdouble,1024,77,308,639,77,128,2.085704,2.061552,0.0088,930.04
native,panel,cdouble,1024,77,616,331,77,128,1.202299,1.200951,0.0039,835.73
native,panel,cdouble,1024,77,924,23,77,128,0.159550,0.159456,0.0005,437.60
default,panel,cdouble,2048,77,0,1971,77,128,5.858692,5.843340,0.0021,1021.26
default,panel,cdouble,2048,77,616,1355,77,128,4.199296,4.189702,0.0008,979.52
default,panel,cdouble,2048,77,1309,662,77,128,2.189525,2.158259,0.0077,917.82
default,panel,cdouble,2048,77,1925,46,77,128,0.225328,0.225068,0.0009,619.72
vendor,panel,cdouble,2048,77,0,1971,77,128,23.618639,23.617046,0.0003,253.33
vendor,panel,cdouble,2048,77,616,1355,77,128,17.662657,17.643351,0.0012,232.88
vendor,panel,cdouble,2048,77,1309,662,77,128,9.256441,9.234925,0.0023,217.10
vendor,panel,cdouble,2048,77,1925,46,77,128,6.727455,6.726516,0.0001,20.76
native,panel,cdouble,2048,77,0,1971,77,128,5.875321,5.858680,0.0016,1018.37
native,panel,cdouble,2048,77,616,1355,77,128,4.199490,4.188832,0.0021,979.48
native,panel,cdouble,2048,77,1309,662,77,128,2.161234,2.147954,0.0089,929.84
native,panel,cdouble,2048,77,1925,46,77,128,0.224849,0.224768,0.0002,621.04
