routemode,mode,type,n,nb,W,batch,med_ms,min_ms,rel_sd,gflops,staged_ms,leaf_ms,panel_ms,trail_ms,residual,info_nonzero
native,blocked,double,1024,32,128,128,52.681344,52.663424,0.0004,869.62,53.167338,1.455101,2.726595,48.985463,1.137e-15,0
vtrsm,blocked,double,1024,32,128,128,59.342627,59.328432,0.0002,772.01,59.894722,1.485277,9.355995,49.053246,1.137e-15,0
nativeT,blocked,double,1024,32,128,128,52.701824,52.667309,0.0003,869.29,53.189530,1.456994,2.730241,49.002099,1.137e-15,4
default,blocked,double,1024,48,128,128,50.677698,50.657127,0.0002,904.01,50.999935,1.399535,5.473306,44.126953,inf,127
native,blocked,double,1024,48,128,128,50.690516,50.120842,0.0047,903.78,51.010628,1.333411,5.553347,44.123721,inf,128
vtrsm,blocked,double,1024,48,128,128,55.455865,55.332259,0.0015,826.12,55.659528,1.429019,10.020639,44.209514,8.139e-16,0
nativeT,blocked,double,1024,48,128,128,50.715849,50.691498,0.0003,903.33,51.216694,1.474640,5.583016,44.158852,inf,125
default,blocked,double,1024,64,128,128,46.993834,46.985114,0.0002,974.87,47.234498,1.424302,4.107384,41.702646,9.479e-16,0
native,blocked,double,1024,64,128,128,46.999715,46.974122,0.0003,974.75,47.231487,1.428549,4.110755,41.692015,9.479e-16,2
vtrsm,blocked,double,1024,64,128,128,53.402893,53.371980,0.0003,857.87,53.626390,1.426389,10.466075,41.733721,9.479e-16,0
nativeT,blocked,double,1024,64,128,128,47.034246,47.002217,0.0005,974.03,47.383521,1.460017,4.136524,41.786696,9.479e-16,8
default,blocked,double,1024,80,128,128,47.255700,47.249536,0.0002,969.47,47.487776,1.550761,6.621213,39.315504,inf,127
native,blocked,double,1024,80,128,128,47.296097,47.264767,0.0003,968.64,47.517776,1.544672,6.652212,39.320691,inf,126
vtrsm,blocked,double,1024,80,128,128,53.537840,53.522614,0.0002,855.71,53.765828,1.554441,12.811532,39.399694,8.139e-16,0
nativeT,blocked,double,1024,80,128,128,47.225242,47.213679,0.0001,970.10,47.392755,1.507914,6.595397,39.289275,inf,125
default,blocked,double,1024,96,128,128,44.658321,44.636598,0.0002,1025.86,44.815076,1.590731,5.519645,37.704543,1.017e-15,1
native,blocked,double,1024,96,128,128,44.663563,44.653334,0.0002,1025.74,44.846355,1.606156,5.534725,37.705265,6.753e+11,4
vtrsm,blocked,double,1024,96,128,128,51.077555,51.051703,0.0023,896.93,51.237022,1.601709,11.879131,37.755996,1.017e-15,0
nativeT,blocked,double,1024,96,128,128,44.666547,44.648476,0.0003,1025.67,44.905601,1.634070,5.545252,37.725955,1.017e-15,1
default,blocked,double,1024,109,128,128,46.100474,46.032070,0.0007,993.76,46.255357,1.770929,7.226594,37.257645,6.167e+163,102
native,blocked,double,1024,109,128,128,46.298490,46.258598,0.0005,989.51,46.453963,1.770008,7.427583,37.256197,2.495e+100,100
vtrsm,blocked,double,1024,109,128,128,53.682101,53.650166,0.0003,853.41,53.839690,1.772001,14.757458,37.310054,1.017e-15,0
nativeT,blocked,double,1024,109,128,128,46.316620,46.284998,0.0005,989.13,46.536489,1.804018,7.455656,37.276475,9.511e+146,97
default,blocked,cfloat,512,32,128,128,4.189991,4.182354,0.0012,5466.95,4.458138,0.454557,0.486100,3.517315,4.032e-07,0
native,blocked,cfloat,512,32,128,128,7.151401,7.144389,0.0005,3203.08,7.380024,0.467233,0.490996,6.421628,4.032e-07,0
vtrsm,blocked,cfloat,512,32,128,128,7.935643,7.924810,0.0007,2886.53,8.173447,0.463115,1.301552,6.408571,4.032e-07,0
default,blocked,cfloat,512,48,128,128,3.286564,3.281118,0.0012,6969.74,3.457607,0.421057,0.555840,2.480528,3.777e-07,0
native,blocked,cfloat,512,48,128,128,6.130706,6.122564,0.0006,3736.35,6.315945,0.449230,0.652581,5.213855,3.777e-07,0
vtrsm,blocked,cfloat,512,48,128,128,7.667874,7.651051,0.0051,2987.33,7.825385,0.440066,2.170950,5.214191,3.777e-07,0
default,blocked,cfloat,512,64,128,128,2.648818,2.647153,0.0083,8647.82,2.854221,0.426451,0.538953,1.888618,4.032e-07,0
native,blocked,cfloat,512,64,128,128,5.639784,5.630371,0.0009,4061.59,5.747011,0.422294,0.721825,4.602725,4.032e-07,2
vtrsm,blocked,cfloat,512,64,128,128,7.226916,7.224192,0.0002,3169.61,7.337611,0.417945,2.351534,4.567921,4.032e-07,0
default,blocked,cfloat,512,80,128,128,2.518340,2.513811,0.0012,9095.87,2.620082,0.437795,0.605311,1.576821,3.777e-07,0
native,blocked,cfloat,512,80,128,128,5.378281,5.366410,0.0012,4259.07,5.472440,0.453928,0.896234,4.122102,3.777e-07,1
vtrsm,blocked,cfloat,512,80,128,128,7.818778,7.810433,0.0006,2929.68,7.950136,0.451086,3.398089,4.100799,3.777e-07,0
default,blocked,cfloat,512,96,128,128,2.267104,2.259130,0.0064,10103.86,2.352730,0.435966,0.580124,1.336469,4.032e-07,1
native,blocked,cfloat,512,96,128,128,5.146483,5.134269,0.0010,4450.90,5.224064,0.446877,0.957894,3.819139,4.032e-07,2
vtrsm,blocked,cfloat,512,96,128,128,7.877129,7.875297,0.0001,2907.97,7.959153,0.444313,3.763700,3.750949,4.032e-07,0
default,blocked,cfloat,512,109,128,128,2.303042,2.298950,0.0008,9946.19,2.399875,0.474141,0.684123,1.241407,4.032e-07,2
native,blocked,cfloat,512,109,128,128,5.342603,5.337544,0.0006,4287.52,5.402308,0.480394,1.161675,3.760090,4.032e-07,3
vtrsm,blocked,cfloat,512,109,128,128,9.111672,9.102927,0.0006,2513.97,9.183859,0.477828,5.003059,3.702817,4.032e-07,0
default,blocked,cfloat,1024,32,128,128,24.274071,24.268179,0.0004,7549.29,25.110830,1.035860,1.702412,22.372064,5.060e-07,0
native,blocked,cfloat,1024,32,128,128,43.426520,43.021436,0.0043,4219.82,43.576804,0.989781,1.600748,40.986075,5.060e-07,1
vtrsm,blocked,cfloat,1024,32,128,128,45.023573,44.696000,0.0032,4070.13,45.459485,1.049930,3.493871,40.915320,5.060e-07,0
default,blocked,cfloat,1024,48,128,128,18.148524,18.127530,0.0007,10097.35,18.467791,0.885306,2.052097,15.530215,inf,70
native,blocked,cfloat,1024,48,128,128,42.754832,42.663799,0.0016,4286.11,43.106168,0.726687,2.598654,39.780614,inf,127
vtrsm,blocked,cfloat,1024,48,128,128,41.658975,40.987813,0.0072,4398.86,41.618549,1.096625,5.496284,35.025085,5.060e-07,0
