mode,type,n,ib,j,m2,batch,maxrel,items_diff,resid_native_0,resid_native_last,resid_vendor_0,resid_vendor_last
trsmdiff,cdouble,1024,48,0,976,8,3.266e-16,0,2.484e-16,3.241e-16,2.484e-16,2.486e-16
trsmdiff,cdouble,1024,48,0,976,64,2.760e+02,2,3.143e-16,3.176e-16,2.484e-16,2.491e-16
trsmdiff,cdouble,1024,48,0,976,128,8.334e+17,51,8.111e+12,1.515e+03,2.489e-16,2.495e-16
trsmdiff,cdouble,1024,64,0,960,8,2.148e-16,0,1.756e-16,1.761e-16,8.095e-17,1.114e-16
trsmdiff,cdouble,1024,64,0,960,64,1.182e+02,2,1.623e-16,1.759e-16,8.800e-17,1.112e-16
trsmdiff,cdouble,1024,64,0,960,128,2.187e-16,0,1.762e-16,1.585e-16,1.114e-16,1.112e-16
trsmdiff,cdouble,1024,96,0,928,8,3.293e-16,0,3.245e-16,3.146e-16,2.489e-16,2.487e-16
trsmdiff,cdouble,1024,96,0,928,64,6.802e+02,1,3.146e-16,3.246e-16,2.487e-16,2.490e-16
trsmdiff,cdouble,1024,96,0,928,128,3.311e-16,0,3.149e-16,3.238e-16,2.489e-16,2.483e-16
trsmdiff,cdouble,1024,128,0,896,8,2.188e-16,0,1.758e-16,1.756e-16,8.789e-17,8.782e-17
trsmdiff,cdouble,1024,128,0,896,64,2.201e-16,0,1.760e-16,1.760e-16,1.113e-16,1.113e-16
trsmdiff,cdouble,1024,128,0,896,128,2.197e-16,0,1.620e-16,1.761e-16,1.111e-16,8.803e-17
