arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,foreign
native:direct,double,1,2048,512,N,native:direct,0.01006,0.01004,0.0074,1667.8,1.756,0.00e+00,1,1,2048,0
vendor,cfloat,1,2048,512,N,vendor:auto,0.01391,0.01395,0.0082,1206.4,1.270,0.00e+00,1,1,2048,0
native:direct,cfloat,1,2048,512,N,native:direct,0.00964,0.01039,0.1762,1740.4,1.832,0.00e+00,1,1,2048,0
vendor,cdouble,1,2048,512,N,vendor:auto,0.05959,0.05951,0.0055,563.2,0.593,0.00e+00,1,1,2048,0
native:direct,cdouble,1,2048,512,N,native:direct,0.01453,0.01463,0.0215,2309.2,2.431,0.00e+00,1,1,2048,0
vendor,float,2048,1,512,T,vendor:auto,0.01236,0.01281,0.1097,678.6,0.714,0.00e+00,2048,1,2048,0
native:direct,float,2048,1,512,T,native:direct,0.08694,0.08698,0.0018,96.5,0.102,0.00e+00,2048,1,2048,0
native:cta,float,2048,1,512,T,native:cta,0.00819,0.00821,0.0085,1024.0,1.078,0.00e+00,2048,1,2048,0
vendor,double,2048,1,512,T,vendor:auto,0.02177,0.02173,0.0051,770.7,0.811,0.00e+00,2048,1,2048,0
native:direct,double,2048,1,512,T,native:direct,0.12571,0.12570,0.0008,133.5,0.141,0.00e+00,2048,1,2048,0
native:cta,double,2048,1,512,T,native:cta,0.00996,0.00998,0.0070,1685.7,1.774,0.00e+00,2048,1,2048,0
vendor,cfloat,2048,1,512,T,vendor:auto,0.01388,0.01395,0.0299,1208.9,1.273,0.00e+00,2048,1,2048,0
native:direct,cfloat,2048,1,512,T,native:direct,0.17077,0.17087,0.0022,98.3,0.103,0.00e+00,2048,1,2048,0
native:cta,cfloat,2048,1,512,T,native:cta,0.00971,0.00967,0.0097,1727.5,1.818,0.00e+00,2048,1,2048,0
vendor,cdouble,2048,1,512,T,vendor:auto,0.05946,0.05942,0.0071,564.5,0.594,0.00e+00,2048,1,2048,0
native:direct,cdouble,2048,1,512,T,native:direct,0.26038,0.26039,0.0003,128.9,0.136,0.00e+00,2048,1,2048,0
native:cta,cdouble,2048,1,512,T,native:cta,0.01563,0.01564,0.0059,2146.8,2.260,0.00e+00,2048,1,2048,0
vendor,float,2048,1,512,C,vendor:auto,0.01232,0.01234,0.0111,680.9,0.717,0.00e+00,2048,1,2048,0
native:direct,float,2048,1,512,C,native:direct,0.08701,0.08700,0.0010,96.4,0.102,0.00e+00,2048,1,2048,0
native:cta,float,2048,1,512,C,native:cta,0.00813,0.00815,0.0082,1032.4,1.087,0.00e+00,2048,1,2048,0
vendor,double,2048,1,512,C,vendor:auto,0.02157,0.02166,0.0113,778.0,0.819,0.00e+00,2048,1,2048,0
native:direct,double,2048,1,512,C,native:direct,0.12605,0.12603,0.0005,133.1,0.140,0.00e+00,2048,1,2048,0
native:cta,double,2048,1,512,C,native:cta,0.00999,0.00999,0.0088,1679.8,1.768,0.00e+00,2048,1,2048,0
vendor,cfloat,2048,1,512,C,vendor:auto,0.01342,0.01346,0.0077,1250.7,1.317,0.00e+00,2048,1,2048,0
native:direct,cfloat,2048,1,512,C,native:direct,0.17085,0.17088,0.0008,98.2,0.103,0.00e+00,2048,1,2048,0
native:cta,cfloat,2048,1,512,C,native:cta,0.00965,0.00965,0.0084,1739.5,1.831,0.00e+00,2048,1,2048,0
vendor,cdouble,2048,1,512,C,vendor:auto,0.03913,0.03927,0.0117,857.7,0.903,0.00e+00,2048,1,2048,0
native:direct,cdouble,2048,1,512,C,native:direct,0.26059,0.26059,0.0009,128.8,0.136,0.00e+00,2048,1,2048,0
native:cta,cdouble,2048,1,512,C,native:cta,0.01581,0.01575,0.0081,2122.7,2.234,0.00e+00,2048,1,2048,0
vendor,float,4,1024,512,N,vendor:auto,0.01043,0.01042,0.0151,1006.4,1.059,0.00e+00,4,4,1024,0
native:direct,float,4,1024,512,N,native:direct,0.01014,0.01015,0.0131,1035.3,1.090,0.00e+00,4,4,1024,0
vendor,double,4,1024,512,N,vendor:auto,0.01534,0.01550,0.0266,1368.5,1.441,0.00e+00,4,4,1024,0
native:direct,double,4,1024,512,N,native:direct,0.01257,0.01268,0.0262,1669.4,1.757,0.00e+00,4,4,1024,0
vendor,cfloat,4,1024,512,N,vendor:auto,0.01242,0.01241,0.0090,1689.7,1.779,0.00e+00,4,4,1024,0
native:direct,cfloat,4,1024,512,N,native:direct,0.01161,0.01161,0.0067,1807.9,1.903,0.00e+00,4,4,1024,0
