variant,type,m,n,batch,route,leaf,nb,qr,orth,qrQ,dF,dtau,dimag
cta,cfloat,129,33,8,route=native:cta,leaf=1,nb=32,qr=3.637e-07,orth=4.630e-07,qrQ=3.144e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,cfloat,129,33,8,route=native:cta,leaf=1,nb=32,qr=3.781e-07,orth=4.922e-07,qrQ=3.812e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
cta,cdouble,129,33,8,route=native:cta,leaf=1,nb=32,qr=1.772e-15,orth=1.131e-15,qrQ=7.876e-16,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,cdouble,129,33,8,route=native:cta,leaf=1,nb=32,qr=1.709e-15,orth=1.131e-15,qrQ=8.559e-16,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,float,200,200,4,route=native:blocked,leaf=1,nb=32,qr=7.288e-07,orth=1.258e-06,qrQ=7.049e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,double,200,200,4,route=native:blocked,leaf=1,nb=16,qr=3.374e-15,orth=2.461e-15,qrQ=2.078e-15,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,cfloat,200,200,4,route=native:blocked,leaf=1,nb=32,qr=7.289e-07,orth=1.209e-06,qrQ=8.427e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,cdouble,200,200,4,route=native:blocked,leaf=2,nb=32,qr=2.613e-15,orth=2.244e-15,qrQ=2.332e-15,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,float,256,256,4,route=native:blocked,leaf=1,nb=32,qr=6.587e-07,orth=1.231e-06,qrQ=7.305e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,double,256,256,4,route=native:blocked,leaf=1,nb=16,qr=2.450e-15,orth=3.336e-15,qrQ=1.910e-15,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,cfloat,256,256,4,route=native:blocked,leaf=1,nb=32,qr=7.607e-07,orth=1.130e-06,qrQ=8.927e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,cdouble,256,256,4,route=native:blocked,leaf=2,nb=32,qr=2.436e-15,orth=2.985e-15,qrQ=2.795e-15,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,float,300,200,4,route=native:blocked,leaf=1,nb=32,qr=6.479e-07,orth=7.732e-07,qrQ=9.366e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,double,300,200,4,route=native:blocked,leaf=1,nb=16,qr=3.022e-15,orth=1.917e-15,qrQ=1.975e-15,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,cfloat,300,200,4,route=native:blocked,leaf=1,nb=32,qr=7.234e-07,orth=7.287e-07,qrQ=8.269e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,cdouble,300,200,4,route=native:blocked,leaf=2,nb=32,qr=2.623e-15,orth=1.858e-15,qrQ=1.781e-15,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,float,512,128,4,route=native:blocked,leaf=1,nb=32,qr=9.174e-07,orth=6.654e-07,qrQ=7.808e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,double,512,128,4,route=native:blocked,leaf=1,nb=16,qr=5.442e-15,orth=2.030e-15,qrQ=2.643e-15,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,cfloat,512,128,4,route=native:blocked,leaf=2,nb=32,qr=7.180e-07,orth=6.569e-07,qrQ=9.513e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,cdouble,512,128,4,route=native:blocked,leaf=2,nb=32,qr=3.897e-15,orth=2.111e-15,qrQ=1.981e-15,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
cta,float,128,128,64,route=native:cta,leaf=1,nb=32,qr=4.189e-07,orth=1.246e-06,qrQ=4.758e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,float,128,128,64,route=native:cta,leaf=1,nb=32,qr=5.634e-07,orth=1.219e-06,qrQ=5.107e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,double,128,128,64,route=native:blocked,leaf=1,nb=16,qr=2.388e-15,orth=1.888e-15,qrQ=1.252e-15,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,cfloat,128,128,64,route=native:blocked,leaf=1,nb=32,qr=5.621e-07,orth=1.109e-06,qrQ=6.167e-07,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
blocked,cdouble,128,128,64,route=native:blocked,leaf=1,nb=32,qr=1.737e-15,orth=2.152e-15,qrQ=1.517e-15,dF=-1.000e+00,dtau=-1.000e+00,dimag=0.000e+00
threw=0 vendor_build=0
