typ,tag,transA,m,nnzrow,nrhs,batch,transB,beta,pattern,t_vendor,t_native,ratio,relsd,sd_v,sd_n,chk_v,chk_n,agree,gbs_v,gbs_n,roof_v,roof_n,fp_mb,l2res
float,cfedge,0,2048,16,8,512,1,0,1,0.707341,0.357231,0.5050336400689343,0.0007157919588995972,0.0007157919588995972,0.0006962833572674264,71614.4,71614.4,True,290.557,575.323,0.2882509920634921,0.5707569444444445,205.522944,False
float,cfedge,0,2048,16,9,512,1,0,0,0.59363,0.239883,0.40409514343951625,0.004646973733028185,0.0006037952933645536,0.004646973733028185,17641.5,17641.5,True,360.345,891.734,0.3574851190476191,0.884656746031746,213.911552,False
float,cfedge,0,2048,16,9,512,1,0,1,0.864518,0.408517,0.4725372982401755,0.0006761065022997818,0.00036827688955001515,0.0006761065022997818,80546.1,80546.1,True,247.435,523.63,0.24547123015873015,0.5194742063492064,213.911552,False
float,cfedge,0,2048,16,12,512,1,0,0,0.669573,0.270351,0.40376628089842337,0.002088719228523253,0.002088719228523253,0.0006324666822020262,23546.4,23546.4,True,357.059,884.323,0.35422519841269845,0.8773045634920634,239.077376,False
float,cfedge,0,2048,16,12,512,1,0,1,0.966879,0.481846,0.49835191373481064,0.026115470498376734,0.026115470498376734,0.001727074625502754,107426.0,107426.0,True,247.267,496.17,0.24530456349206348,0.4922321428571429,239.077376,False
float,cfedge,0,2048,16,16,512,1,0,0,0.868197,0.473346,0.5452057539936213,0.011991748416546015,0.011991748416546015,0.0017460420073265647,31309.6,31309.6,True,314.021,575.968,0.31152876984126987,0.5713968253968253,272.631808,False
float,cfedge,0,2048,16,16,512,1,0,1,1.28737,0.617894,0.47996613250269937,0.0355317430109448,0.0355317430109448,0.003109271169488618,142831.0,142831.0,True,211.775,441.228,0.21009424603174603,0.4377261904761905,272.631808,False
float,cfedge,0,2048,16,17,512,1,0,0,0.969125,0.348759,0.35986998581194374,0.000857594221591642,0.000857594221591642,0.0007385615855074707,33370.2,33370.2,True,289.973,805.773,0.287671626984127,0.7993779761904762,281.020416,False
float,cfedge,0,2048,16,17,512,1,0,1,1.50748,0.729782,0.4841072518375037,0.006628732964090645,0.004947442088783931,0.006628732964090645,151655.0,151655.0,True,186.417,385.074,0.1849375,0.38201785714285713,281.020416,False
float,cfedge,0,2048,16,20,512,1,0,0,1.04061,0.383244,0.3682878311759448,0.005030398388494014,0.0014328038362114528,0.005030398388494014,39082.6,39082.6,True,294.239,798.933,0.2919037698412698,0.792592261904762,306.18624,False
float,cfedge,0,2048,16,20,512,1,0,1,1.87837,0.809293,0.43084855486405765,0.011809826601737565,0.0017650888802525594,0.011809826601737565,178284.0,178284.0,True,163.006,378.338,0.1617123015873016,0.3753353174603175,306.18624,False
float,cfedge,0,2048,16,25,512,1,0,0,1.14166,0.439952,0.38536166634549696,0.003923405280576063,0.0014786363715992505,0.003923405280576063,48901.2,48901.2,True,304.933,791.29,0.30251289682539684,0.7850099206349206,348.12928,False
float,cfedge,0,2048,16,25,512,1,0,1,2.12437,1.07673,0.5068467357381248,0.00281923044774456,0.0011769795280483157,0.00281923044774456,222847.0,222847.0,True,163.874,323.32,0.1625734126984127,0.32075396825396824,348.12928,False
float,cfedge,0,2048,16,32,512,1,0,0,1.7883,1.67089,0.9343454677626797,0.005349155240620269,0.0005336140468601465,0.005349155240620269,62656.9,62656.9,True,227.507,243.493,0.22570138888888888,0.24156051587301586,406.849536,False
float,cfedge,0,2048,16,32,512,1,0,1,2.52603,1.68769,0.6681195393562229,0.009473244577459492,0.009473244577459492,0.0054127179754575785,285972.0,285972.0,True,161.063,241.068,0.1597847222222222,0.23915476190476193,406.849536,False
float,cfedge,0,2048,16,50,512,1,0,0,2.0589,1.17571,0.5710379328767788,0.00893880227305843,0.00893880227305843,0.002318513919248794,98451.4,98451.4,True,270.944,474.475,0.2687936507936508,0.4707093253968254,557.84448,False
float,cfedge,0,2048,16,50,512,1,0,1,4.30563,2.24443,0.5212779546779449,0.006430580426093278,0.006430580426093278,0.00126748439470155,446853.0,446853.0,True,129.561,248.546,0.1285327380952381,0.24657341269841268,557.84448,False
