type,side,n,q,batch,route,nb,ms,sd_pct
complex<float>,Left,64,256,512,native,128,0.691787,2.8952408761656403
complex<float>,Left,64,1024,512,native,128,2.64852,0.41645145213175655
complex<float>,Left,64,4096,512,native,128,10.3867,0.22291295599179725
complex<float>,Left,64,256,512,native,256,0.692309,2.2376857732602065
complex<float>,Left,64,1024,512,native,256,2.6584,0.7502332229912729
complex<float>,Left,64,4096,512,native,256,10.4002,0.17538316570835177
complex<float>,Left,128,256,128,vendor,-,3.83197,0.746553339405058
complex<float>,Left,128,1024,128,vendor,-,25.3746,0.3773040757292726
complex<float>,Left,128,4096,128,vendor,-,114.336,0.29987580464595576
complex<float>,Left,128,256,128,native,32,0.549651,3.536116553958785
complex<float>,Left,128,1024,128,native,32,2.06343,0.4517735033415236
complex<float>,Left,128,4096,128,native,32,7.82475,0.19483433975526374
complex<float>,Left,128,256,128,native,64,0.554863,3.539504346117871
complex<float>,Left,128,1024,128,native,64,2.06982,0.5519851967803965
complex<float>,Left,128,4096,128,native,64,7.92119,0.17133031779315985
complex<float>,Left,128,256,128,native,128,0.549453,3.394539660353115
complex<float>,Left,128,1024,128,native,128,2.06668,0.38228221108250915
complex<float>,Left,128,4096,128,native,128,7.82555,0.20967216361789265
complex<float>,Left,128,256,128,native,256,0.551638,3.5869537631562727
complex<float>,Left,128,1024,128,native,256,2.07866,0.32951372518834243
complex<float>,Left,128,4096,128,native,256,7.80796,0.2208579449689804
complex<float>,Left,128,256,512,vendor,-,27.4927,0.5880979314508942
complex<float>,Left,128,1024,512,vendor,-,116.378,0.3824245132241489
complex<float>,Left,128,4096,512,vendor,-,490.275,0.33157921574626487
complex<float>,Left,128,256,512,native,32,2.24431,0.39534199820880367
complex<float>,Left,128,1024,512,native,32,7.81269,0.35727387109945485
complex<float>,Left,128,4096,512,native,32,30.4357,0.049827340918723734
complex<float>,Left,128,256,512,native,64,2.23878,0.33339586739206173
complex<float>,Left,128,1024,512,native,64,7.91343,0.17410402316062693
complex<float>,Left,128,4096,512,native,64,30.8287,0.15366719971974166
complex<float>,Left,128,256,512,native,128,2.22897,2.229007119880483
complex<float>,Left,128,1024,512,native,128,7.82398,0.20583641573725905
complex<float>,Left,128,4096,512,native,128,30.4122,0.09278381702080087
complex<float>,Left,128,256,512,native,256,2.23416,2.1365390124252515
complex<float>,Left,128,1024,512,native,256,7.81028,0.28344054246454675
complex<float>,Left,128,4096,512,native,256,30.4411,0.11852758277460407
complex<float>,Left,256,256,128,vendor,-,14.7059,3.9419620696455167
complex<float>,Left,256,1024,128,vendor,-,132.297,0.2166368096026365
complex<float>,Left,256,4096,128,vendor,-,551.39,0.1751874353905584
complex<float>,Left,256,256,128,native,32,1.83968,3.1220049138980692
complex<float>,Left,256,1024,128,native,32,6.67368,0.2838523872885724
complex<float>,Left,256,4096,128,native,32,25.3681,0.12399667298694031
complex<float>,Left,256,256,128,native,64,1.87944,0.25414431958455713
complex<float>,Left,256,1024,128,native,64,6.63456,0.22592907442241839
complex<float>,Left,256,4096,128,native,64,25.7062,0.1601668080074068
complex<float>,Left,256,256,128,native,128,1.81518,4.338809374276932
complex<float>,Left,256,1024,128,native,128,6.71402,0.33277678648559283
