type,side,route,n,q,batch,ms,sd_pct
float,Right,vendor,32,4096,128,0.575514,0.49935014613024187
float,Right,vendor,32,256,512,0.100865,3.9773063005006692
float,Right,vendor,32,1024,512,0.566278,0.35680708062117905
float,Right,vendor,32,4096,512,2.39284,0.6818968255294963
float,Right,vendor,32,256,2048,0.616616,1.5130843182791234
float,Right,vendor,32,1024,2048,2.341,0.5835540367364374
float,Right,vendor,32,4096,2048,9.43106,0.3126859547071061
float,Right,vendor,64,256,128,0.0778211,2.6829870048097493
float,Right,vendor,64,1024,128,0.250864,0.1425924006633076
float,Right,vendor,64,4096,128,1.69928,0.5967762817193164
float,Right,vendor,64,256,512,0.252529,3.669835939634656
float,Right,vendor,64,1024,512,1.69405,0.4349818482335232
float,Right,vendor,64,4096,512,6.5739,0.3853344285736017
float,Right,vendor,64,256,2048,1.7706,2.011549757144471
float,Right,vendor,64,1024,2048,6.49613,0.25850006080543336
float,Right,vendor,64,4096,2048,25.9638,0.28235119666612746
float,Right,vendor,128,256,128,0.163979,3.6915641637038883
float,Right,vendor,128,1024,128,0.862358,0.3131008235558782
float,Right,vendor,128,4096,128,3.8089,0.35716873638058233
float,Right,vendor,128,256,512,0.883488,1.059757461335072
float,Right,vendor,128,1024,512,3.88476,0.29212358034988006
float,Right,vendor,128,4096,512,14.8409,0.16202521410426593
float,Right,vendor,128,256,2048,4.09982,1.6839763696942793
float,Right,vendor,128,1024,2048,15.1034,0.17225459168134327
float,Right,vendor,256,256,128,0.353106,1.7586985211239685
float,Right,vendor,256,1024,128,2.10539,0.28683996789193456
float,Right,vendor,256,4096,128,8.51548,0.23853147444418868
float,Right,vendor,256,256,512,2.23568,0.9344047448650971
float,Right,vendor,256,1024,512,8.73725,0.18611233511688463
float,Right,vendor,256,4096,512,33.2599,0.23251302619671135
float,Right,vendor,256,256,2048,9.36088,1.4427276068061978
float,Right,vendor,256,1024,2048,34.1066,0.13023901532254753
float,Right,vendor,512,256,128,1.01609,1.14481000698757
float,Right,vendor,512,1024,128,4.63441,0.24392317468674543
float,Right,vendor,512,4096,128,18.6993,0.1540383864636644
float,Right,vendor,512,256,512,5.05901,1.1931741585804339
float,Right,vendor,512,1024,512,18.7944,0.16183490827054867
float,Right,vendor,512,256,2048,20.7811,0.1345650615222486
float,Right,native,8,256,128,0.00893699,3.076942012914863
float,Right,native,8,1024,128,0.0104775,5.192326413743736
float,Right,native,8,4096,128,0.0167361,1.43372709293085
float,Right,native,8,256,512,0.0104506,5.577564924501941
float,Right,native,8,1024,512,0.0166167,3.0577792221078792
float,Right,native,8,4096,512,0.136123,0.8742828177457153
float,Right,native,8,256,2048,0.0167356,3.5017029565716196
float,Right,native,8,1024,2048,0.13627,0.40161737726572244
float,Right,native,8,4096,2048,0.592489,0.3760272342608892
float,Right,native,16,256,128,0.0114544,3.964415421148205
float,Right,native,16,1024,128,0.0145864,6.317179016069764
