# ORDER axis, batch FIXED at 32
op,type,n,nrhs,batch,vendor_ms,native_ms,speedup,vendor_GFLOPs,native_GFLOPs,vendor_route,native_route,vendor_resid,native_resid,vendor_ws,native_ws
getri,cdouble,256,1,32,17.0192,4.8867,3.483,42.1,146.5,vendor:auto|vendor:auto,native:blocked|native:blocked,1.79e-15,1.79e-15,512,0
getri,cdouble,512,1,32,126.7546,31.4129,4.035,45.2,182.3,vendor:auto|vendor:auto,native:blocked|native:blocked,2.50e-15,2.39e-15,512,0
getri,cdouble,1024,1,32,977.8593,222.7889,4.389,46.9,205.6,vendor:auto|vendor:auto,native:blocked|native:blocked,3.47e-15,3.25e-15,512,0
getri,cdouble,2048,1,32,7670.9565,1674.7848,4.580,47.8,218.8,vendor:auto|vendor:auto,native:blocked|native:blocked,5.18e-15,4.94e-15,512,0
getri,cfloat,32,1,32,0.0365,0.0452,0.808,38.3,30.9,vendor:auto|vendor:auto,native:cta|native:blocked,5.97e-07,2.26e-07,512,0
getri,cfloat,64,1,32,0.1010,0.1017,0.993,110.8,110.0,vendor:auto|vendor:auto,native:cta|native:blocked,3.50e-07,4.21e-07,512,0
getri,cfloat,128,1,32,0.4974,0.2538,1.960,179.9,352.5,vendor:auto|vendor:auto,native:blocked|native:blocked,4.38e-07,4.64e-07,512,0
getri,cfloat,256,1,32,3.1330,0.7082,4.424,228.5,1010.8,vendor:auto|vendor:auto,native:blocked|native:blocked,4.58e-07,3.84e-07,512,0
getri,cfloat,512,1,32,22.7659,2.5470,8.938,251.5,2248.4,vendor:auto|vendor:auto,native:blocked|native:blocked,5.76e-07,4.46e-07,512,0
getri,cfloat,1024,1,32,220.2717,12.8249,17.175,208.0,3572.2,vendor:auto|vendor:auto,native:blocked|native:blocked,9.42e-07,8.38e-07,512,0
getri,cfloat,2048,1,32,1739.1525,67.3944,25.806,210.7,5438.2,vendor:auto|vendor:auto,native:blocked|native:blocked,1.14e-06,7.40e-07,512,0
getri,double,32,1,32,0.0489,0.0656,0.745,28.6,21.3,vendor:auto|vendor:auto,native:cta|native:blocked,7.94e-16,5.97e-16,512,0
getri,double,64,1,32,0.1692,0.1318,1.284,66.1,84.8,vendor:auto|vendor:auto,native:blocked|native:blocked,9.08e-16,6.81e-16,512,0
getri,double,128,1,32,0.8979,0.3281,2.737,99.7,272.7,vendor:auto|vendor:auto,native:blocked|native:blocked,1.93e-15,1.59e-15,512,0
getri,double,256,1,32,5.8244,1.2504,4.658,122.9,572.5,vendor:auto|vendor:auto,native:blocked|native:blocked,2.55e-15,2.22e-15,512,0
getri,double,512,1,32,34.7681,7.3089,4.757,164.7,783.5,vendor:auto|vendor:auto,native:blocked|native:blocked,3.11e-15,3.00e-15,512,0
getri,double,1024,1,32,238.8440,52.9936,4.507,191.8,864.5,vendor:auto|vendor:auto,native:blocked|native:blocked,4.22e-15,4.55e-15,512,0
