# level3_vendor_available=0 factorization_vendor_available=0
op,type,N,nb,j0,batch,m,n,k,vendor,route,variant
G,double,512,64,256,512,192,192,64,vendor_present,Native:RegisterTiled,Tiled16
G,double,512,64,256,512,192,192,64,vendor_free,Native:RegisterTiled,Tiled16
T,double,512,64,256,512,64,192,64,vendor_present,Native:Blocked,-
T,double,512,64,256,512,64,192,64,vendor_free,Native:Blocked,-
G,double,512,64,384,512,64,64,64,vendor_present,Native:RegisterTiled,Tiled16
G,double,512,64,384,512,64,64,64,vendor_free,Native:RegisterTiled,Tiled16
T,double,512,64,384,512,64,64,64,vendor_present,Native:Blocked,-
T,double,512,64,384,512,64,64,64,vendor_free,Native:Blocked,-
SOLVE_L,double,512,-,-,512,512,1,512,vendor_present,Native:Blocked,-
SOLVE_U,double,512,-,-,512,512,1,512,vendor_present,Native:Blocked,-
SOLVE_L,double,512,-,-,512,512,1,512,vendor_free,Native:Blocked,-
SOLVE_U,double,512,-,-,512,512,1,512,vendor_free,Native:Blocked,-
SOLVE_L,double,512,-,-,512,512,512,512,vendor_present,Native:Blocked,-
SOLVE_U,double,512,-,-,512,512,512,512,vendor_present,Native:Blocked,-
SOLVE_L,double,512,-,-,512,512,512,512,vendor_free,Native:Blocked,-
SOLVE_U,double,512,-,-,512,512,512,512,vendor_free,Native:Blocked,-
G,double,1024,64,0,128,960,960,64,vendor_present,Native:RegisterTiled,Tiled16
G,double,1024,64,0,128,960,960,64,vendor_free,Native:RegisterTiled,Tiled16
T,double,1024,64,0,128,64,960,64,vendor_present,Native:Blocked,-
T,double,1024,64,0,128,64,960,64,vendor_free,Native:Blocked,-
G,double,1024,64,512,128,448,448,64,vendor_present,Native:RegisterTiled,Tiled16
G,double,1024,64,512,128,448,448,64,vendor_free,Native:RegisterTiled,Tiled16
T,double,1024,64,512,128,64,448,64,vendor_present,Native:Blocked,-
T,double,1024,64,512,128,64,448,64,vendor_free,Native:Blocked,-
G,double,1024,64,896,128,64,64,64,vendor_present,Native:RegisterTiled,Tiled16
G,double,1024,64,896,128,64,64,64,vendor_free,Native:RegisterTiled,Tiled16
T,double,1024,64,896,128,64,64,64,vendor_present,Native:Blocked,-
T,double,1024,64,896,128,64,64,64,vendor_free,Native:Blocked,-
SOLVE_L,double,1024,-,-,128,1024,1,1024,vendor_present,Native:Blocked,-
SOLVE_U,double,1024,-,-,128,1024,1,1024,vendor_present,Native:Blocked,-
SOLVE_L,double,1024,-,-,128,1024,1,1024,vendor_free,Native:Blocked,-
SOLVE_U,double,1024,-,-,128,1024,1,1024,vendor_free,Native:Blocked,-
SOLVE_L,double,1024,-,-,128,1024,1024,1024,vendor_present,Native:Blocked,-
SOLVE_U,double,1024,-,-,128,1024,1024,1024,vendor_present,Native:Blocked,-
SOLVE_L,double,1024,-,-,128,1024,1024,1024,vendor_free,Native:Blocked,-
SOLVE_U,double,1024,-,-,128,1024,1024,1024,vendor_free,Native:Blocked,-
G,double,2048,64,0,32,1984,1984,64,vendor_present,Vendor:Auto,Tiled16
G,double,2048,64,0,32,1984,1984,64,vendor_free,Native:RegisterTiled,Tiled16
T,double,2048,64,0,32,64,1984,64,vendor_present,Native:Blocked,-
T,double,2048,64,0,32,64,1984,64,vendor_free,Native:Blocked,-
G,double,2048,64,1024,32,960,960,64,vendor_present,Vendor:Auto,Tiled16
G,double,2048,64,1024,32,960,960,64,vendor_free,Native:RegisterTiled,Tiled16
T,double,2048,64,1024,32,64,960,64,vendor_present,Native:Blocked,-
T,double,2048,64,1024,32,64,960,64,vendor_free,Native:Blocked,-
G,double,2048,64,1920,32,64,64,64,vendor_present,Vendor:Auto,Tiled16
G,double,2048,64,1920,32,64,64,64,vendor_free,Native:RegisterTiled,Tiled16
T,double,2048,64,1920,32,64,64,64,vendor_present,Native:Blocked,-
T,double,2048,64,1920,32,64,64,64,vendor_free,Native:Blocked,-
SOLVE_L,double,2048,-,-,32,2048,1,2048,vendor_present,Native:Blocked,-
SOLVE_U,double,2048,-,-,32,2048,1,2048,vendor_present,Native:Blocked,-
SOLVE_L,double,2048,-,-,32,2048,1,2048,vendor_free,Native:Blocked,-
SOLVE_U,double,2048,-,-,32,2048,1,2048,vendor_free,Native:Blocked,-
SOLVE_L,double,2048,-,-,32,2048,2048,2048,vendor_present,Native:Blocked,-
SOLVE_U,double,2048,-,-,32,2048,2048,2048,vendor_present,Native:Blocked,-
SOLVE_L,double,2048,-,-,32,2048,2048,2048,vendor_free,Native:Blocked,-
SOLVE_U,double,2048,-,-,32,2048,2048,2048,vendor_free,Native:Blocked,-
G,cfloat,128,32,0,4096,96,96,32,vendor_present,Vendor:Auto,Tiled64x64RegisterK16Wide
G,cfloat,128,32,0,4096,96,96,32,vendor_free,Native:RegisterTiled,Tiled64x64RegisterK16Wide
T,cfloat,128,32,0,4096,32,96,32,vendor_present,Native:CTA,-
T,cfloat,128,32,0,4096,32,96,32,vendor_free,Native:CTA,-
G,cfloat,128,32,64,4096,32,32,32,vendor_present,Vendor:Auto,Tiled64x64RegisterK16Wide
G,cfloat,128,32,64,4096,32,32,32,vendor_free,Native:RegisterTiled,Tiled64x64RegisterK16Wide
T,cfloat,128,32,64,4096,32,32,32,vendor_present,Native:CTA,-
T,cfloat,128,32,64,4096,32,32,32,vendor_free,Native:CTA,-
