laswp,op,type,n,nrhs,batch,med_ms,mean_ms,relsd,GFLOPs,resid,ws_bytes,route,extra,ntpiv,flag
list,getrs_trsm,cfloat,64,1,8192,2.6550,2.6551,0.0001,25.28,2.978e-07,0,native:blocked|native:blocked,3.209e-07,58,ok
gather,getrs_trsm,cfloat,64,1,8192,2.6293,2.6303,0.0010,25.52,2.978e-07,6291456,native:blocked|native:blocked,3.209e-07,58,ok
-,getrs,cfloat,64,64,8192,11.2719,11.3177,0.0085,381.03,3.068e-07,0,vendor:auto,3.209e-07,58,ok
list,getrs_trsm,cfloat,64,64,8192,9.0719,9.0666,0.0008,473.44,3.050e-07,0,native:blocked|native:blocked,3.209e-07,58,ok
gather,getrs_trsm,cfloat,64,64,8192,5.9378,5.9380,0.0006,723.32,3.050e-07,270532608,native:blocked|native:blocked,3.209e-07,58,ok
-,getrf,cfloat,128,1,4096,6.9875,6.9872,0.0014,819.56,3.720e-07,16384,vendor:auto,0,124,ok
-,getri,cfloat,128,1,4096,13.6142,13.6056,0.0012,841.27,3.770e-07,16384,vendor:auto,3.720e-07,124,ok
list,getri_trsm,cfloat,128,1,4096,27.1932,27.1859,0.0010,421.18,3.578e-07,0,native:blocked|native:blocked,3.720e-07,124,ok
gather,getri_trsm,cfloat,128,1,4096,12.8641,12.8705,0.0013,890.32,3.578e-07,2097152,native:blocked|native:blocked,3.720e-07,124,ok
-,getrs,cfloat,128,1,4096,1.0575,1.0578,0.0010,126.91,5.601e-07,0,vendor:auto,3.720e-07,124,ok
list,getrs_trsm,cfloat,128,1,4096,3.1598,3.1592,0.0003,42.48,3.515e-07,0,native:blocked|native:blocked,3.720e-07,124,ok
gather,getrs_trsm,cfloat,128,1,4096,3.0951,3.0952,0.0002,43.36,3.515e-07,6291456,native:blocked|native:blocked,3.720e-07,124,ok
-,getrs,cfloat,128,64,4096,16.3295,16.3289,0.0007,526.04,3.994e-07,0,vendor:auto,3.720e-07,124,ok
list,getrs_trsm,cfloat,128,64,4096,13.9903,13.9943,0.0008,613.99,3.773e-07,0,native:blocked|native:blocked,3.720e-07,124,ok
gather,getrs_trsm,cfloat,128,64,4096,7.4830,7.4825,0.0009,1147.93,3.773e-07,270532608,native:blocked|native:blocked,3.720e-07,124,ok
-,getrf,cfloat,256,1,2048,39.5983,39.6118,0.0017,578.47,3.350e-07,8192,vendor:auto,0,250,ok
-,getri,cfloat,256,1,2048,60.4914,60.4104,0.0028,757.35,4.976e-07,8192,vendor:auto,3.350e-07,250,ok
list,getri_trsm,cfloat,256,1,2048,66.8409,66.8490,0.0006,685.40,4.781e-07,0,native:blocked|native:blocked,3.350e-07,250,ok
gather,getri_trsm,cfloat,256,1,2048,29.5644,29.5951,0.0042,1549.60,4.781e-07,2097152,native:blocked|native:blocked,3.350e-07,250,ok
-,getrs,cfloat,256,1,2048,1.7341,1.7339,0.0006,154.80,4.012e-07,0,vendor:auto,3.350e-07,250,ok
list,getrs_trsm,cfloat,256,1,2048,4.0993,4.0988,0.0002,65.48,3.946e-07,0,native:blocked|native:blocked,3.350e-07,250,ok
gather,getrs_trsm,cfloat,256,1,2048,3.9611,3.9611,0.0002,67.77,3.946e-07,6291456,native:blocked|native:blocked,3.350e-07,250,ok
-,getrs,cfloat,256,64,2048,14.0666,14.0660,0.0004,1221.33,4.648e-07,0,vendor:auto,3.350e-07,250,ok
list,getrs_trsm,cfloat,256,64,2048,15.0306,15.0389,0.0018,1142.99,3.696e-07,0,native:blocked|native:blocked,3.350e-07,250,ok
gather,getrs_trsm,cfloat,256,64,2048,9.1699,9.1677,0.0006,1873.52,3.696e-07,270532608,native:blocked|native:blocked,3.350e-07,250,ok
-,getrf,cfloat,512,1,512,76.8228,76.9013,0.0016,596.35,5.946e-07,2048,vendor:auto,0,505,ok
-,getri,cfloat,512,1,512,106.7774,106.7597,0.0023,858.10,6.910e-07,2048,vendor:auto,5.946e-07,505,ok
list,getri_trsm,cfloat,512,1,512,79.4856,79.4633,0.0009,1152.74,6.166e-07,0,native:blocked|native:blocked,5.946e-07,505,ok
gather,getri_trsm,cfloat,512,1,512,35.4449,35.4465,0.0008,2585.03,6.166e-07,1048576,native:blocked|native:blocked,5.946e-07,505,ok
-,getrs,cfloat,512,1,512,1.9456,1.9460,0.0008,137.97,5.765e-07,0,vendor:auto,5.946e-07,505,ok
list,getrs_trsm,cfloat,512,1,512,3.5920,3.5919,0.0003,74.73,4.933e-07,0,native:blocked|native:blocked,5.946e-07,505,ok
gather,getrs_trsm,cfloat,512,1,512,3.3006,3.3010,0.0005,81.33,4.933e-07,3145728,native:blocked|native:blocked,5.946e-07,505,ok
-,getrs,cfloat,512,64,512,7.0865,7.0907,0.0016,2424.32,5.757e-07,0,vendor:auto,5.946e-07,505,ok
list,getrs_trsm,cfloat,512,64,512,7.8044,7.8017,0.0010,2201.31,4.786e-07,0,native:blocked|native:blocked,5.946e-07,505,ok
gather,getrs_trsm,cfloat,512,64,512,6.1674,6.1682,0.0004,2785.60,4.786e-07,135266304,native:blocked|native:blocked,5.946e-07,505,ok
-,getrf,cfloat,1024,1,128,122.7172,122.6885,0.0007,746.64,6.164e-07,512,vendor:auto,0,1019,ok
-,getri,cfloat,1024,1,128,277.8567,277.8594,0.0001,659.52,8.377e-07,512,vendor:auto,6.164e-07,1019,ok
list,getri_trsm,cfloat,1024,1,128,86.5249,86.5396,0.0004,2117.91,7.808e-07,0,native:blocked|native:blocked,6.164e-07,1019,ok
gather,getri_trsm,cfloat,1024,1,128,45.9117,45.8751,0.0015,3991.40,7.808e-07,524288,native:blocked|native:blocked,6.164e-07,1019,ok
-,getrs,cfloat,1024,1,128,2.4816,2.4819,0.0006,108.17,6.215e-07,0,vendor:auto,6.164e-07,1019,ok
list,getrs_trsm,cfloat,1024,1,128,2.9963,2.9968,0.0005,89.59,5.575e-07,0,native:blocked|native:blocked,6.164e-07,1019,ok
gather,getrs_trsm,cfloat,1024,1,128,2.8836,2.8864,0.0016,93.09,5.575e-07,1572864,native:blocked|native:blocked,6.164e-07,1019,ok
-,getrs,cfloat,1024,64,128,7.5954,7.5970,0.0014,2261.87,6.885e-07,0,vendor:auto,6.164e-07,1019,ok
list,getrs_trsm,cfloat,1024,64,128,6.3922,6.3923,0.0017,2687.64,6.661e-07,0,native:blocked|native:blocked,6.164e-07,1019,ok
gather,getrs_trsm,cfloat,1024,64,128,4.8454,4.8475,0.0007,3545.60,6.661e-07,67633152,native:blocked|native:blocked,6.164e-07,1019,ok
-,getrf,cfloat,2048,1,32,564.0225,564.0444,0.0001,324.90,1.060e-06,512,vendor:auto,0,2041,ok
