== discarded, relative sd > 10% ==
   (none)
== flagged BAD/THREW ==
   (none)

== 1. cuBLAS getrf: ms and GFLOP/s at saturating batch (2n^3/3 per item) ==
type          n   batch       med_ms      GFLOP/s      resid
float        64    8192       0.3047       1.3381     0.23x  native:blocked|native:blocked
float       128    4096       0.6586       1.6168     0.41x  native:blocked|native:blocked
float       256    2048       1.3472       2.2096     0.61x  native:blocked|native:blocked
float       512     512       1.4636       2.2177     0.66x  native:blocked|native:blocked
float      1024     128       1.8920       2.2275     0.85x  native:blocked|native:blocked
float      2048      32       2.9403       3.1334     0.94x  native:blocked|native:blocked
double       32    8192       0.7165       3.7654     0.19x  native:cta|native:cta
double       64    8192       1.6468       7.9999     0.21x  native:blocked|native:blocked
double      128    4096       2.1036       9.0012     0.23x  native:blocked|native:blocked
double      256    2048       2.7696      10.9043     0.25x  native:blocked|native:blocked
double      512     512       2.5187       7.9832     0.32x  native:blocked|native:blocked
double     1024     128       3.7561       5.6207     0.67x  native:blocked|native:blocked
double     2048      32       6.2035       5.4217     1.14x  native:blocked|native:blocked
cfloat       32    8192       0.1185       1.2043     0.10x  native:cta|native:cta
cfloat       64    8192       0.4375       2.6293     0.17x  native:blocked|native:blocked
cfloat      128    4096       1.0575       3.0951     0.34x  native:blocked|native:blocked
cfloat      256    2048       1.7341       3.9611     0.44x  native:blocked|native:blocked
cfloat      512     512       1.9456       3.3006     0.59x  native:blocked|native:blocked
cfloat     1024     128       2.4816       2.8836     0.86x  native:blocked|native:blocked
cfloat     2048      32       3.5326       4.0782     0.87x  native:blocked|native:blocked
cdouble      32    8192       1.2969      13.9825     0.09x  native:cta|native:cta
cdouble      64    8192       3.4398      28.3268     0.12x  native:blocked|native:blocked
cdouble     128    4096       4.1054      29.0086     0.14x  native:blocked|native:blocked
cdouble     256    2048       5.4480      30.4948     0.18x  native:blocked|native:blocked
cdouble     512     512       4.5244      17.2225     0.26x  native:blocked|native:blocked
cdouble    1024     128       6.7209       5.8584     1.15x  native:blocked|native:blocked
cdouble    2048      32      11.1185      10.3587     1.07x  native:blocked|native:blocked

== getrs: cuBLAS vs routed-trsm composition (laswp=list, nrhs=64) ==
type          n   batch    vendor_ms      comp_ms  speedup  trsm route
float        32    8192       2.0515       1.5054     1.36x  native:cta|native:cta
float        64    8192       8.3635       3.7655     2.22x  native:blocked|native:blocked
float       128    4096       8.7145       5.6003     1.56x  native:blocked|native:blocked
float       256    2048       8.8956       8.2929     1.07x  native:blocked|native:blocked
float       512     512       4.8226       3.5316     1.37x  native:blocked|native:blocked
float      1024     128       6.5375       3.6665     1.78x  native:blocked|native:blocked
float      2048      32      12.1735       7.9825     1.53x  native:blocked|native:blocked
double       32    8192       6.0904       4.8743     1.25x  native:cta|native:cta
double       64    8192      16.7830      12.4732     1.35x  native:blocked|native:blocked
double      128    4096      23.8649      19.9011     1.20x  native:blocked|native:blocked
double      256    2048      26.7932      26.9439     0.99x  native:blocked|native:blocked
double      512     512      19.7914      18.8346     1.05x  native:blocked|native:blocked
double     1024     128      20.2379      16.1843     1.25x  native:blocked|native:blocked
double     2048      32      26.1352      20.7420     1.26x  native:blocked|native:blocked
cfloat       32    8192       3.9526       3.8171     1.04x  native:cta|native:cta
cfloat       64    8192      11.2719       9.0719     1.24x  native:blocked|native:blocked
cfloat      128    4096      16.3295      13.9903     1.17x  native:blocked|native:blocked
cfloat      256    2048      14.0666      15.0306     0.94x  native:blocked|native:blocked
cfloat      512     512       7.0865       7.8044     0.91x  native:blocked|native:blocked
cfloat     1024     128       7.5954       6.3922     1.19x  native:blocked|native:blocked
cfloat     2048      32      13.1872      10.4372     1.26x  native:blocked|native:blocked
cdouble      32    8192      14.4914      16.7359     0.87x  native:cta|native:cta
cdouble      64    8192      43.1840      45.6334     0.95x  native:blocked|native:blocked
cdouble     128    4096      56.5898      61.7921     0.92x  native:blocked|native:blocked
cdouble     256    2048      80.8683      89.8626     0.90x  native:blocked|native:blocked
cdouble     512     512      67.8588      72.4543     0.94x  native:blocked|native:blocked
cdouble    1024     128      64.4179      60.2917     1.07x  native:blocked|native:blocked
cdouble    2048      32      71.3627      65.2357     1.09x  native:blocked|native:blocked

== getrs: cuBLAS vs routed-trsm composition (laswp=gather, nrhs=64) ==
type          n   batch    vendor_ms      comp_ms  speedup  trsm route
float        32    8192       2.0515       0.8111     2.53x  native:cta|native:cta
float        64    8192       8.3635       2.2358     3.74x  native:blocked|native:blocked
float       128    4096       8.7145       3.0542     2.85x  native:blocked|native:blocked
float       256    2048       8.8956       4.1686     2.13x  native:blocked|native:blocked
float       512     512       4.8226       3.3054     1.46x  native:blocked|native:blocked
float      1024     128       6.5375       3.0448     2.15x  native:blocked|native:blocked
float      2048      32      12.1735       6.3026     1.93x  native:blocked|native:blocked
double       32    8192       6.0904       4.2008     1.45x  native:cta|native:cta
double       64    8192      16.7830      10.1151     1.66x  native:blocked|native:blocked
double      128    4096      23.8649      13.6699     1.75x  native:blocked|native:blocked
double      256    2048      26.7932      20.5141     1.31x  native:blocked|native:blocked
double      512     512      19.7914      17.5319     1.13x  native:blocked|native:blocked
double     1024     128      20.2379      15.5739     1.30x  native:blocked|native:blocked
double     2048      32      26.1352      19.0379     1.37x  native:blocked|native:blocked
cfloat       32    8192       3.9526       2.4148     1.64x  native:cta|native:cta
cfloat       64    8192      11.2719       5.9378     1.90x  native:blocked|native:blocked
cfloat      128    4096      16.3295       7.4830     2.18x  native:blocked|native:blocked
cfloat      256    2048      14.0666       9.1699     1.53x  native:blocked|native:blocked
cfloat      512     512       7.0865       6.1674     1.15x  native:blocked|native:blocked
cfloat     1024     128       7.5954       4.8454     1.57x  native:blocked|native:blocked
cfloat     2048      32      13.1872       6.6495     1.98x  native:blocked|native:blocked
cdouble      32    8192      14.4914      15.2244     0.95x  native:cta|native:cta
cdouble      64    8192      43.1840      37.9602     1.14x  native:blocked|native:blocked
cdouble     128    4096      56.5898      52.4492     1.08x  native:blocked|native:blocked
cdouble     256    2048      80.8683      81.1037     1.00x  native:blocked|native:blocked
cdouble     512     512      67.8588      69.4741     0.98x  native:blocked|native:blocked
cdouble    1024     128      64.4179      58.5970     1.10x  native:blocked|native:blocked
cdouble    2048      32      71.3627      61.3404     1.16x  native:blocked|native:blocked

== workspace, bytes ==
type          n   batch  nrhs         vendor     comp(list)   comp(gather)
float        32    8192     1          32768              0        1048576
float        64    8192     1          32768              0        2097152
float       128    4096     1          16384              0        2097152
float       256    2048     1           8192              0        2097152
float       512     512     1           2048              0        1048576
float      1024     128     1            512              0         524288
float      2048      32     1            512              0         262144
double       32    8192     1          32768              0        1048576
double       64    8192     1          32768              0        2097152
double      128    4096     1          16384              0        2097152
double      256    2048     1           8192              0        2097152
double      512     512     1           2048              0        1048576
double     1024     128     1            512              0         524288
double     2048      32     1            512              0         262144
cfloat       32    8192     1          32768              0        1048576
cfloat       64    8192     1          32768              0        2097152
cfloat      128    4096     1          16384              0        2097152
cfloat      256    2048     1           8192              0        2097152
cfloat      512     512     1           2048              0        1048576
cfloat     1024     128     1            512              0         524288
cfloat     2048      32     1            512              0         262144
cdouble      32    8192     1          32768              0        1048576
cdouble      64    8192     1          32768              0        2097152
cdouble     128    4096     1          16384              0        2097152
cdouble     256    2048     1           8192              0        2097152
cdouble     512     512     1           2048              0        1048576
cdouble    1024     128     1            512              0         524288
cdouble    2048      32     1            512              0         262144
float        32    8192     1              0              0        2097152
float        64    8192     1              0              0        4194304
float       128    4096     1              0              0        4194304
float       256    2048     1              0              0        4194304
float       512     512     1              0              0        2097152
float      1024     128     1              0              0        1048576
float      2048      32     1              0              0         524288
double       32    8192     1              0              0        3145728
double       64    8192     1              0              0        6291456
double      128    4096     1              0              0        6291456
double      256    2048     1              0              0        6291456
double      512     512     1              0              0        3145728
double     1024     128     1              0              0        1572864
double     2048      32     1              0              0         786432
cfloat       32    8192     1              0              0        3145728
cfloat       64    8192     1              0              0        6291456
cfloat      128    4096     1              0              0        6291456
cfloat      256    2048     1              0              0        6291456
cfloat      512     512     1              0              0        3145728
cfloat     1024     128     1              0              0        1572864
cfloat     2048      32     1              0              0         786432
cdouble      32    8192     1              0              0        5242880
cdouble      64    8192     1              0              0       10485760
cdouble     128    4096     1              0              0       10485760
cdouble     256    2048     1              0              0       10485760
cdouble     512     512     1              0              0        5242880
cdouble    1024     128     1              0              0        2621440
cdouble    2048      32     1              0              0        1310720
float        32    8192    64              0              0       68157440
float        64    8192    64              0              0      136314880
float       128    4096    64              0              0      136314880
float       256    2048    64              0              0      136314880
float       512     512    64              0              0       68157440
float      1024     128    64              0              0       34078720
float      2048      32    64              0              0       17039360
double       32    8192    64              0              0      135266304
double       64    8192    64              0              0      270532608
double      128    4096    64              0              0      270532608
double      256    2048    64              0              0      270532608
double      512     512    64              0              0      135266304
double     1024     128    64              0              0       67633152
double     2048      32    64              0              0       33816576
cfloat       32    8192    64              0              0      135266304
cfloat       64    8192    64              0              0      270532608
cfloat      128    4096    64              0              0      270532608
cfloat      256    2048    64              0              0      270532608
cfloat      512     512    64              0              0      135266304
cfloat     1024     128    64              0              0       67633152
cfloat     2048      32    64              0              0       33816576
cdouble      32    8192    64              0              0      269484032
cdouble      64    8192    64              0              0      538968064
cdouble     128    4096    64              0              0      538968064
cdouble     256    2048    64              0              0      538968064
cdouble     512     512    64              0              0      269484032
cdouble    1024     128    64              0              0      134742016
cdouble    2048      32    64              0              0       67371008

== geomean speedups (composition over cuBLAS), and win counts ==
  getri        laswp=list    nrhs=1    cells=28  geomean 0.97x  wins 10  worst 0.15x  best 27.41x
  getri        laswp=gather  nrhs=1    cells=28  geomean 1.60x  wins 18  worst 0.23x  best 74.87x
  getrs        laswp=list    nrhs=1    cells=28  geomean 0.36x  wins 3  worst 0.09x  best 1.15x
  getrs        laswp=gather  nrhs=1    cells=28  geomean 0.36x  wins 3  worst 0.09x  best 1.15x
  getrs        laswp=list    nrhs=64   cells=28  geomean 1.17x  wins 20  worst 0.87x  best 2.22x
  getrs        laswp=gather  nrhs=64   cells=28  geomean 1.55x  wins 25  worst 0.95x  best 3.74x
