n,batch,beta,tA,tB,arm,rep,gflops
512,512,0,1,1,vendor,1,1245.7
512,512,0,1,1,vendor,2,1245.2
512,512,0,1,1,vendor,3,1245.7
512,512,0,1,1,sycl,1,1390.3
512,512,0,1,1,sycl,2,1390.3
512,512,0,1,1,sycl,3,1389.9
512,512,1,1,1,vendor,1,1243.3
512,512,1,1,1,vendor,2,1243.2
512,512,1,1,1,vendor,3,1243.3
512,512,1,1,1,sycl,1,1390.4
512,512,1,1,1,sycl,2,1390.5
512,512,1,1,1,sycl,3,1393.7
512,512,0,2,0,vendor,1,1245.7
512,512,0,2,0,vendor,2,1245.7
512,512,0,2,0,vendor,3,1245.7
512,512,0,2,0,sycl,1,1379.2
512,512,0,2,0,sycl,2,1379.1
512,512,0,2,0,sycl,3,1379.4
512,512,1,2,0,vendor,1,1243.5
512,512,1,2,0,vendor,2,1243.6
512,512,1,2,0,vendor,3,1243.0
512,512,1,2,0,sycl,1,1379.6
512,512,1,2,0,sycl,2,1379.6
512,512,1,2,0,sycl,3,1379.6
