suite,scalar,m,n,k,batch,trans,calls,origin,algo
trmm_tests,complex<float>,512,512,512,4,NC,8,vendor,auto
trmm_tests,complex<double>,129,96,129,5,TN,8,vendor,auto
trmm_tests,complex<double>,64,48,64,2,TN,8,vendor,auto
trmm_tests,complex<double>,512,512,512,4,NC,8,vendor,auto
trmm_tests,complex<float>,512,512,512,4,NT,8,vendor,auto
gemm_tests,complex<double>,8,8,8,1,NN,7,vendor,auto
gemm_tests,complex<float>,8,8,8,1,NN,7,vendor,auto
ormqr_blocked_tests,complex<double>,32,64,32,1,CN,7,vendor,auto
ormqr_blocked_tests,complex<float>,32,64,32,1,CN,7,vendor,auto
syev_blocked_tests,complex<float>,31,320,31,1,CN,7,vendor,auto
syev_two_stage_tests,complex<double>,31,1,1,3,NC,7,vendor,auto
syev_two_stage_tests,complex<float>,31,1,1,3,NC,7,vendor,auto
ormqr_blocked_tests,complex<double>,64,64,32,1,NC,6,vendor,auto
ormqr_blocked_tests,complex<float>,64,64,32,1,NC,6,vendor,auto
syev_blocked_tests,complex<double>,32,32,16,8,NN,6,vendor,auto
syev_blocked_tests,complex<float>,32,32,16,4,NN,6,vendor,auto
syev_blocked_tests,complex<double>,32,32,16,4,NN,6,vendor,auto
syev_blocked_tests,complex<float>,32,32,16,8,NN,6,vendor,auto
syev_blocked_tests,complex<double>,32,32,16,1,NN,6,vendor,auto
syev_blocked_tests,complex<float>,32,32,16,1,NN,6,vendor,auto
syev_blocked_tests,complex<double>,224,224,32,4,NC,6,vendor,auto
gemm_tests,complex<double>,7,5,3,1,NN,5,native,register_tiled
gemm_tests,complex<float>,7,5,3,1,NN,5,native,register_tiled
gemm_tests,complex<float>,128,128,128,2,NN,4,native,register_tiled
gemm_tests,complex<double>,128,128,128,2,NN,4,native,register_tiled
her2k_tests,complex<double>,32,32,24,3,NC,4,vendor,auto
her2k_tests,complex<float>,32,32,24,3,NC,4,vendor,auto
ormqr_blocked_tests,complex<double>,32,64,32,8,NN,4,vendor,auto
ormqr_blocked_tests,complex<float>,32,64,32,8,NN,4,vendor,auto
ormqr_tests,complex<double>,4,4,4,1,NN,4,vendor,auto
ormqr_tests,complex<float>,4,4,4,1,NN,4,vendor,auto
ormqr_tests,complex<double>,4,4,4,1,CN,4,vendor,auto
ormqr_tests,complex<float>,4,4,4,1,CN,4,vendor,auto
syev_blocked_tests,complex<double>,96,96,16,8,NC,4,vendor,auto
syev_blocked_tests,complex<double>,96,96,16,4,NC,4,vendor,auto
syev_blocked_tests,complex<float>,96,96,16,8,NC,4,vendor,auto
syev_blocked_tests,complex<double>,16,32,32,1,CN,4,vendor,auto
syev_blocked_tests,complex<float>,16,32,32,1,CN,4,vendor,auto
syev_blocked_tests,complex<double>,16,32,32,4,CN,4,vendor,auto
syev_blocked_tests,complex<float>,16,32,32,8,CN,4,vendor,auto
syev_blocked_tests,complex<double>,16,32,32,8,CN,4,vendor,auto
syev_blocked_tests,complex<float>,16,32,32,4,CN,4,vendor,auto
syev_blocked_tests,complex<double>,288,288,32,4,NC,4,vendor,auto
syev_blocked_tests,complex<float>,96,96,16,4,NC,4,vendor,auto
trmm_tests,complex<double>,512,512,512,4,TN,4,vendor,auto
trmm_tests,complex<float>,512,512,512,4,CN,4,vendor,auto
trmm_tests,complex<float>,512,512,512,4,TN,4,vendor,auto
trmm_tests,complex<double>,512,512,512,4,CN,4,vendor,auto
syev_blocked_tests,complex<float>,224,224,32,1,NC,3,vendor,auto
syev_blocked_tests,complex<float>,224,224,32,4,NC,3,vendor,auto
gemm_tests,complex<double>,256,256,256,128,NN,2,vendor,auto
gemm_tests,complex<double>,24,20,16,3,TT,2,native,register_tiled
gemm_tests,complex<float>,256,256,256,128,NN,2,vendor,auto
gemm_tests,complex<float>,24,20,16,3,TT,2,native,register_tiled
gemm_tests,complex<float>,96,80,64,2,TT,2,native,register_tiled
gemm_tests,complex<float>,256,256,256,2,NN,2,native,register_tiled
gemm_tests,complex<float>,32,32,32,4,NN,2,native,register_tiled
gemm_tests,complex<float>,18,14,12,2,CN,2,native,register_tiled
gemm_tests,complex<double>,96,80,64,2,TT,2,native,register_tiled
gemm_tests,complex<double>,256,256,256,2,NN,2,native,register_tiled
gemm_tests,complex<double>,32,32,32,4,NN,2,native,register_tiled
gemm_tests,complex<double>,18,14,12,2,CN,2,native,register_tiled
hemm_tests,complex<double>,64,64,64,4,CN,2,vendor,auto
hemm_tests,complex<float>,64,64,64,4,NN,2,vendor,auto
hemm_tests,complex<float>,64,64,64,4,CN,2,vendor,auto
hemm_tests,complex<double>,64,64,64,4,NN,2,vendor,auto
her2k_tests,complex<double>,65,65,40,4,NC,2,vendor,auto
her2k_tests,complex<float>,65,65,40,4,NC,2,vendor,auto
her2k_tests,complex<double>,65,65,40,4,CN,2,vendor,auto
her2k_tests,complex<float>,65,65,40,4,CN,2,vendor,auto
herk_tests,complex<double>,65,65,40,4,NC,2,vendor,auto
herk_tests,complex<float>,65,65,40,4,NC,2,vendor,auto
herk_tests,complex<double>,65,65,40,4,CN,2,vendor,auto
herk_tests,complex<float>,65,65,40,4,CN,2,vendor,auto
ormqr_blocked_tests,complex<float>,32,64,32,8,CN,2,vendor,auto
ormqr_blocked_tests,complex<double>,32,64,32,8,CN,2,vendor,auto
ormqr_tests,complex<double>,4,4,4,3,NN,2,vendor,auto
ormqr_tests,complex<double>,4,4,4,3,CN,2,vendor,auto
ormqr_tests,complex<float>,4,4,4,3,NN,2,vendor,auto
ormqr_tests,complex<float>,4,4,4,3,CN,2,vendor,auto
syev_blocked_tests,complex<double>,32,32,16,8,NC,2,vendor,auto
syev_blocked_tests,complex<double>,32,32,16,4,NC,2,vendor,auto
syev_blocked_tests,complex<float>,32,32,16,8,NC,2,vendor,auto
syev_blocked_tests,complex<float>,32,32,16,4,NC,2,vendor,auto
syev_blocked_tests,complex<float>,288,288,32,4,NC,2,vendor,auto
syev_blocked_tests,complex<float>,288,288,32,1,NC,2,vendor,auto
syev_blocked_tests,complex<float>,32,32,16,1,NC,2,vendor,auto
syev_blocked_tests,complex<double>,32,32,16,1,NC,2,vendor,auto
gemm_tests,complex<double>,10,10,10,3,NN,1,vendor,auto
gemm_tests,complex<float>,32,32,32,1,NN,1,vendor,auto
gemm_tests,complex<float>,10,10,10,3,NN,1,vendor,auto
gemm_tests,complex<double>,2,2,3,1,NN,1,vendor,auto
gemm_tests,complex<float>,1024,1024,1024,128,NN,1,vendor,auto
gemm_tests,complex<double>,32,32,32,1,NN,1,vendor,auto
gemm_tests,complex<float>,2,2,3,1,NN,1,vendor,auto
gemm_tests,complex<double>,1024,1024,1024,128,NN,1,vendor,auto
orgqr_tests,complex<double>,4,4,4,3,CN,1,vendor,auto
orgqr_tests,complex<double>,4,4,4,1,CN,1,vendor,auto
orgqr_tests,complex<float>,4,4,4,3,CN,1,vendor,auto
orgqr_tests,complex<float>,4,4,4,1,CN,1,vendor,auto
ritz_values_tests,complex<double>,5,5,5,1,NN,1,vendor,auto
ritz_values_tests,complex<float>,10,3,10,2,NN,1,vendor,auto
ritz_values_tests,complex<float>,5,5,5,1,NN,1,vendor,auto
ritz_values_tests,complex<double>,10,3,10,2,NN,1,vendor,auto
