op,type,n,nrhs,batch,med_ms,mean_ms,relsd,GFLOPs,resid,ws,route,extra,ntpiv,extra2,flag,foreign
getrf,double,512,1,128,17.6863,17.5903,0.0168,647.58,3.159e-15,512,vendor:auto,0,503,0,0,ok,0
getrf,double,512,1,256,32.8970,32.9151,0.0049,696.31,3.159e-15,1024,vendor:auto,0,504,0,0,ok,0
getrf,double,512,1,512,60.8837,60.8549,0.0048,752.47,3.342e-15,2048,vendor:auto,0,505,0,0,ok,0
getrf,double,512,1,1024,114.8847,114.8693,0.0042,797.55,3.159e-15,4096,vendor:auto,0,504,0,0,ok,0
getrf,double,1024,1,128,112.9449,112.9703,0.0055,811.24,4.368e-15,512,vendor:auto,0,1019,0,0,ok,0
getrf,double,1024,1,256,203.3542,203.2285,0.0047,901.15,4.293e-15,1024,vendor:auto,0,1014,0,0,ok,0
getrf,double,1024,1,512,374.6221,374.4916,0.0013,978.33,4.293e-15,2048,vendor:auto,0,1015,0,0,ok,0
getrf,double,2048,1,128,731.1588,731.1063,0.0042,1002.53,1.123e-14,512,vendor:auto,0,2045,0,0,ok,0
getrf,cfloat,128,1,128,0.2711,0.2713,0.0032,660.09,3.720e-07,512,vendor:auto,0,122,0,0,ok,0
getrf,cfloat,128,1,256,0.4378,0.4370,0.0048,817.54,3.720e-07,1024,vendor:auto,0,119,0,0,ok,0
getrf,cfloat,128,1,512,0.9363,0.9553,0.0653,764.50,3.720e-07,2048,vendor:auto,0,116,0,0,ok,0
getrf,cfloat,128,1,1024,1.9118,1.9108,0.0040,748.84,3.720e-07,4096,vendor:auto,0,124,0,0,ok,0
getrf,cfloat,256,1,128,1.4783,1.4964,0.0386,968.47,3.164e-07,512,vendor:auto,0,246,0,0,ok,0
getrf,cfloat,256,1,256,3.8629,3.8974,0.0308,741.22,3.560e-07,1024,vendor:auto,0,251,0,0,ok,0
getrf,cfloat,256,1,512,10.4453,10.5432,0.0159,548.25,4.126e-07,2048,vendor:auto,0,251,0,0,ok,0
getrf,cfloat,256,1,1024,20.6393,20.6041,0.0131,554.92,3.696e-07,4096,vendor:auto,0,249,0,0,ok,0
getrf,cfloat,512,1,128,17.3383,17.3486,0.0128,660.57,5.946e-07,512,vendor:auto,0,503,0,0,ok,0
getrf,cfloat,512,1,256,32.0840,32.0708,0.0019,713.95,5.946e-07,1024,vendor:auto,0,504,0,0,ok,0
getrf,cfloat,512,1,512,78.5442,78.6408,0.0038,583.28,5.946e-07,2048,vendor:auto,0,505,0,0,ok,0
getrf,cfloat,512,1,1024,155.6057,155.5585,0.0034,588.83,5.957e-07,4096,vendor:auto,0,504,0,0,ok,0
getrf,cfloat,1024,1,128,124.3752,124.3131,0.0019,736.69,6.164e-07,512,vendor:auto,0,1019,0,0,ok,0
getrf,cfloat,1024,1,256,231.6287,231.6359,0.0021,791.15,6.056e-07,1024,vendor:auto,0,1014,0,0,ok,0
getrf,cfloat,1024,1,512,568.3872,568.4797,0.0011,644.81,6.056e-07,2048,vendor:auto,0,1015,0,0,ok,0
getrf,cfloat,2048,1,128,989.2502,989.6503,0.0061,740.97,7.954e-07,512,vendor:auto,0,2045,0,0,ok,0
getrf,cdouble,128,1,128,1.0201,1.0380,0.0536,175.43,1.485e-15,512,vendor:auto,0,122,0,0,ok,0
getrf,cdouble,128,1,256,1.6785,1.6973,0.0351,213.23,1.485e-15,1024,vendor:auto,0,119,0,0,ok,0
getrf,cdouble,128,1,512,3.4108,3.4468,0.0243,209.87,1.485e-15,2048,vendor:auto,0,116,0,0,ok,0
getrf,cdouble,128,1,1024,6.3640,6.4580,0.0316,224.96,1.485e-15,4096,vendor:auto,0,124,0,0,ok,0
getrf,cdouble,256,1,128,6.6514,6.7372,0.0272,215.24,1.579e-15,512,vendor:auto,0,246,0,0,ok,0
getrf,cdouble,256,1,256,11.6761,11.8443,0.0194,245.23,2.084e-15,1024,vendor:auto,0,251,0,0,ok,0
getrf,cdouble,256,1,512,23.0059,22.9176,0.0094,248.92,1.579e-15,2048,vendor:auto,0,251,0,0,ok,0
getrf,cdouble,256,1,1024,43.9902,44.0567,0.0045,260.36,1.956e-15,4096,vendor:auto,0,249,0,0,ok,0
getrf,cdouble,512,1,128,48.5198,48.6521,0.0046,236.05,2.955e-15,512,vendor:auto,0,503,0,0,ok,0
getrf,cdouble,512,1,256,84.8904,84.7861,0.0029,269.84,2.955e-15,1024,vendor:auto,0,504,0,0,ok,0
getrf,cdouble,512,1,512,165.5884,165.2438,0.0046,276.67,2.955e-15,2048,vendor:auto,0,505,0,0,ok,0
getrf,cdouble,512,1,1024,323.3836,323.3701,0.0019,283.34,2.955e-15,4096,vendor:auto,0,504,0,0,ok,0
getrf,cdouble,1024,1,128,357.1409,357.0796,0.0005,256.55,4.409e-15,512,vendor:auto,0,1019,0,0,ok,0
getrf,cdouble,1024,1,256,638.3006,638.4192,0.0005,287.09,3.472e-15,1024,vendor:auto,0,1014,0,0,ok,0
