op,type,n,nrhs,batch,med_ms,mean_ms,relsd,GFLOPs,resid,ws,route,extra,ntpiv,extra2,flag,foreign
getrf,double,256,1,128,3.4043,3.4266,0.0211,420.55,1.960e-15,4608,native:blocked,0,246,0,0,ok,0
getrf,double,256,1,256,6.9677,7.1016,0.0345,410.94,2.828e-15,9216,native:blocked,0,251,0,0,ok,0
getrf,double,256,1,512,15.5415,15.7616,0.0162,368.47,1.855e-15,18432,native:blocked,0,251,0,0,ok,0
getrf,double,256,1,1024,36.2619,36.3622,0.0072,315.85,1.858e-15,36864,native:blocked,0,249,0,0,ok,0
getrf,double,512,1,128,19.4124,19.4354,0.0122,590.00,3.050e-15,4608,native:blocked,0,503,0,0,ok,0
getrf,double,512,1,256,41.4344,41.5554,0.0057,552.84,3.050e-15,9216,native:blocked,0,504,0,0,ok,0
getrf,double,512,1,512,92.5477,92.4169,0.0024,495.02,3.127e-15,18432,native:blocked,0,505,0,0,ok,0
getrf,double,512,1,1024,191.1177,191.0818,0.0019,479.42,3.290e-15,36864,native:blocked,0,504,0,0,ok,0
getrf,double,1024,1,128,122.6405,122.7139,0.0023,747.11,4.368e-15,4608,native:blocked,0,1019,0,0,ok,0
getrf,double,1024,1,256,261.8469,261.8253,0.0002,699.84,4.183e-15,9216,native:blocked,0,1014,0,0,ok,0
getrf,double,1024,1,512,545.3625,545.3570,0.0010,672.04,4.183e-15,18432,native:blocked,0,1015,0,0,ok,0
getrf,double,2048,1,128,820.1319,820.0778,0.0008,893.77,1.123e-14,4608,native:blocked,0,2045,0,0,ok,0
getrf,cfloat,128,1,128,0.7299,0.7298,0.0007,245.19,1.876e-07,4608,native:blocked,0,122,0,0,ok,0
getrf,cfloat,128,1,256,0.9274,0.9271,0.0012,385.92,3.697e-07,9216,native:blocked,0,119,0,0,ok,0
getrf,cfloat,128,1,512,1.5638,1.5634,0.0012,457.74,3.660e-07,18432,native:blocked,0,116,0,0,ok,0
getrf,cfloat,128,1,1024,3.3938,3.4154,0.0212,421.84,2.479e-07,36864,native:blocked,0,124,0,0,ok,0
getrf,cfloat,256,1,128,2.1996,2.2181,0.0277,650.88,3.173e-07,4608,native:blocked,0,246,0,0,ok,0
getrf,cfloat,256,1,256,4.2092,4.2610,0.0285,680.25,3.173e-07,9216,native:blocked,0,251,0,0,ok,0
getrf,cfloat,256,1,512,9.3578,9.5079,0.0244,611.97,3.520e-07,18432,native:blocked,0,251,0,0,ok,0
getrf,cfloat,256,1,1024,23.1553,23.0174,0.0110,494.63,3.173e-07,36864,native:blocked,0,249,0,0,ok,0
getrf,cfloat,512,1,128,12.5081,12.7080,0.0182,915.66,3.812e-07,4608,native:blocked,0,503,0,0,ok,0
getrf,cfloat,512,1,256,27.3358,27.2749,0.0071,837.97,3.614e-07,9216,native:blocked,0,504,0,0,ok,0
getrf,cfloat,512,1,512,64.3559,64.3419,0.0009,711.87,4.947e-07,18432,native:blocked,0,505,0,0,ok,0
getrf,cfloat,512,1,1024,135.1702,135.1711,0.0012,677.86,3.995e-07,36864,native:blocked,0,504,0,0,ok,0
getrf,cfloat,1024,1,128,75.3239,75.4038,0.0017,1216.43,4.964e-07,4608,native:blocked,0,1019,0,0,ok,0
getrf,cfloat,1024,1,256,167.2286,167.2104,0.0010,1095.82,4.964e-07,9216,native:blocked,0,1014,0,0,ok,0
getrf,cfloat,1024,1,512,361.3340,361.2346,0.0008,1014.31,4.964e-07,18432,native:blocked,0,1015,0,0,ok,0
getrf,cfloat,2048,1,128,452.1727,452.0203,0.0007,1621.08,7.342e-07,4608,native:blocked,0,2045,0,0,ok,0
getrf,cdouble,128,1,128,2.1161,2.1530,0.0361,84.57,1.474e-15,4608,native:blocked,0,122,0,0,ok,0
getrf,cdouble,128,1,256,3.7417,3.7614,0.0160,95.66,1.474e-15,9216,native:blocked,0,119,0,0,ok,0
getrf,cdouble,128,1,512,8.2900,8.4020,0.0248,86.35,1.474e-15,18432,native:blocked,0,116,0,0,ok,0
getrf,cdouble,128,1,1024,17.4022,17.2520,0.0140,82.27,1.474e-15,36864,native:blocked,0,124,0,0,ok,0
getrf,cdouble,256,1,128,9.3763,9.4904,0.0220,152.69,1.488e-15,4608,native:blocked,0,246,0,0,ok,0
getrf,cdouble,256,1,256,19.4625,19.3412,0.0157,147.12,1.762e-15,9216,native:blocked,0,251,0,0,ok,0
getrf,cdouble,256,1,512,40.3591,40.4432,0.0046,141.89,1.439e-15,18432,native:blocked,0,251,0,0,ok,0
getrf,cdouble,256,1,1024,85.2555,85.2949,0.0031,134.34,1.627e-15,36864,native:blocked,0,249,0,0,ok,0
getrf,cdouble,512,1,128,56.4288,56.2894,0.0041,202.97,2.876e-15,4608,native:blocked,0,503,0,0,ok,0
getrf,cdouble,512,1,256,113.4357,113.6881,0.0028,201.93,2.876e-15,9216,native:blocked,0,504,0,0,ok,0
getrf,cdouble,512,1,512,235.9641,236.0134,0.0008,194.15,2.876e-15,18432,native:blocked,0,505,0,0,ok,0
getrf,cdouble,512,1,1024,476.9906,477.2601,0.0011,192.09,2.876e-15,36864,native:blocked,0,504,0,0,ok,0
getrf,cdouble,1024,1,128,371.3771,371.4698,0.0005,246.72,4.412e-15,4608,native:blocked,0,1019,0,0,ok,0
getrf,cdouble,1024,1,256,771.1554,771.3274,0.0009,237.63,3.396e-15,9216,native:blocked,0,1014,0,0,ok,0
