type,n,batch,armA,armB,modeA,modeB,A_ms,B_ms,ratio,relsdA,relsdB,resA,resB,bitdiff,route,ntpiv,flag,foreign
cfloat,512,256,inloop,defer_gather,0,2,27.3738,21.0065,1.3031,0.0078,0.0108,4.176e-07,4.176e-07,0,native:blocked,502,ok,0
cfloat,512,512,inloop,defer_gather,0,2,64.1139,46.4686,1.3797,0.0019,0.0058,3.955e-07,3.955e-07,0,native:blocked,502,ok,0
cfloat,512,1024,inloop,defer_gather,0,2,135.1266,96.6509,1.3981,0.0010,0.0022,3.614e-07,3.614e-07,0,native:blocked,502,ok,0
cfloat,1024,128,inloop,defer_gather,0,2,75.2574,58.5672,1.2850,0.0033,0.0024,4.964e-07,4.964e-07,0,native:blocked,1016,ok,0
cfloat,1024,256,inloop,defer_gather,0,2,168.9335,126.5929,1.3345,0.0016,0.0019,6.102e-07,6.102e-07,0,native:blocked,1016,ok,0
cfloat,1024,512,inloop,defer_gather,0,2,362.3672,272.2971,1.3308,0.0009,0.0005,4.964e-07,4.964e-07,0,native:blocked,1016,ok,0
cfloat,2048,128,inloop,defer_gather,0,2,452.0986,359.3902,1.2580,0.0005,0.0008,7.359e-07,7.359e-07,0,native:blocked,2041,ok,0
cdouble,128,128,inloop,defer_gather,0,2,2.1228,1.9223,1.1043,0.0244,0.0004,1.474e-15,1.474e-15,0,native:blocked,125,ok,0
cdouble,128,256,inloop,defer_gather,0,2,3.7538,3.5313,1.0630,0.0164,0.0324,1.676e-15,1.676e-15,0,native:blocked,125,ok,0
cdouble,128,512,inloop,defer_gather,0,2,8.2961,7.9433,1.0444,0.0090,0.0310,1.474e-15,1.474e-15,0,native:blocked,125,ok,0
cdouble,128,1024,inloop,defer_gather,0,2,16.9975,16.6951,1.0181,0.0089,0.0133,1.474e-15,1.474e-15,0,native:blocked,125,ok,0
cdouble,256,128,inloop,defer_gather,0,2,9.3916,8.7536,1.0729,0.0226,0.0178,1.413e-15,1.413e-15,0,native:blocked,249,ok,0
cdouble,256,256,inloop,defer_gather,0,2,19.3898,18.0818,1.0723,0.0133,0.0126,1.873e-15,1.873e-15,0,native:blocked,249,ok,0
cdouble,256,512,inloop,defer_gather,0,2,40.3125,37.2649,1.0818,0.0066,0.0034,1.490e-15,1.490e-15,0,native:blocked,249,ok,0
cdouble,256,1024,inloop,defer_gather,0,2,85.0359,76.6477,1.1094,0.0017,0.0012,1.464e-15,1.464e-15,0,native:blocked,249,ok,0
cdouble,512,128,inloop,defer_gather,0,2,56.4429,52.6533,1.0720,0.0042,0.0043,3.404e-15,3.404e-15,0,native:blocked,502,ok,0
cdouble,512,256,inloop,defer_gather,0,2,113.6053,105.0410,1.0815,0.0019,0.0012,2.876e-15,2.876e-15,0,native:blocked,502,ok,0
cdouble,512,512,inloop,defer_gather,0,2,236.0471,214.0099,1.1030,0.0003,0.0016,2.876e-15,2.876e-15,0,native:blocked,502,ok,0
cdouble,512,1024,inloop,defer_gather,0,2,477.6390,430.2896,1.1100,0.0014,0.0010,2.876e-15,2.876e-15,0,native:blocked,502,ok,0
cdouble,1024,128,inloop,defer_gather,0,2,371.4056,350.9697,1.0582,0.0004,0.0008,3.522e-15,3.522e-15,0,native:blocked,1016,ok,0
cdouble,1024,256,inloop,defer_gather,0,2,771.8586,722.6009,1.0682,0.0008,0.0007,3.625e-15,3.625e-15,0,native:blocked,1016,ok,0
